	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3
OM4_B_B_1	0	0.0139230815572062	0.0233957656087185	0.00479583600647406	0.00598935820628917	0.0176481638050879	0.010299584008067	0.0165359258433991	0.00654350116111557	0.0147737979323512	0.0114258826468252	0.0249905780680167	0.0274567463045621	0.0347858114518419	0.00984535150121782	0.0107034283561609	0.0178016686435464	0.0192226203761633	0.0181674936207507	0.0207429770053675	0.0104463520531489	0.00727019235206254	0.00953704268728641	0.00642562063242896	0.0123555311050632	0.0246871301453313	0.0400080788245769	0.0503936414076984	0.0212529920623233	0.0122056207618401	0.013335736081529	0.0279852388380095	0.0127690409546716	0.0142703548700293	0.0271512755967636	0.0211015109568962	0.0195895951528645	0.032495754574241	0.0133486568856025	0.0134116056124272	0.0236533993457194	0.0153250448965023	0.0218801831573665	0.0328110157264603	0.00634132670444425	0.0053870443900794	0.0135113926715783	0.0648291567710938	0.0581238518073221	0.0764901784051279	0.0118267089392874	0.0109469331704095	0.0245416711389605	0.0144821448417773	0.0168767219851993	0.016618727148007	0.0170796122912897	0.0190794934031616	0.0111719689206706	0.0117053936078971	0.0396825260115989	0.00527422624997082	0.00387968776495254	0.0310323413500193	0.0165008860656538	0.0308367860350535	0.0300403826820325	0.0143311593866415	0.0110299687277377	0.00138515573823569	0.00990708197090123	0.0194566267236309	0.0715347025686652	0.0816968641922756	0.0707909696365391
OM4_B_B_2	0.0139230815572062	0	0.0106857589648802	0.0138401015123014	0.00883957767348554	0.00464919321199666	0.00424721560965447	0.00345802457869744	0.010991748564914	0.00401519669721902	0.00294841081755966	0.0122617219731512	0.0144937459861957	0.0221185860664691	0.00775101843899942	0.00424971049493505	0.0059757712264622	0.00700581230552679	0.00450833037934376	0.00694057934048077	0.0112015957818396	0.0143652128053387	0.00644390677520809	0.0096499612807777	0.00507128267800123	0.0121137691761179	0.0533765512709406	0.0637535877274079	0.0332129931983884	0.00684272660953709	0.00124299320438642	0.0143456672230002	0.00628104457627685	0.0057084495242325	0.0148032078559609	0.0089089801327252	0.00612873255085072	0.0189526012251996	0.0056513661632186	0.00254807357857005	0.0103084579460933	0.00616140722830917	0.010343641833546	0.0195286643505935	0.0125921195151997	0.0102241410101725	0.00557519169123518	0.0524083054073456	0.0457745607256872	0.0638075345968129	0.00311610286340684	0.00698884425840226	0.010668671520397	0.00201795059902526	0.00470534014720956	0.00279297455338076	0.00498614129332043	0.00646629808505251	0.0230792178680951	0.00231991321825024	0.02674211742249	0.0190319620861077	0.0140779274947801	0.0177198343399791	0.00286866054486927	0.0172868452312147	0.0179205884521006	0.00438276664448478	0.00356902736385476	0.0129047605641666	0.0061313382764911	0.00819514040911434	0.0848707047220947	0.0950040626901681	0.0840736749783087
OM4_B_B_3	0.0233957656087185	0.0106857589648802	0	0.0240733428527276	0.0190413526892645	0.00628968761476609	0.0140167838215426	0.00794396942947064	0.021281535910947	0.0110202215302062	0.0123187936185493	0.0058294497837497	0.0063361313618931	0.0119647304448685	0.0158393133982592	0.0148470171085186	0.00577071011345206	0.00963116642791819	0.00769613193213663	0.00606231163786527	0.0209123291027097	0.0245182622664798	0.0140902303556807	0.0197081048610069	0.0113702174327573	0.00696619381296811	0.063263962090415	0.0737225370037874	0.0433289283371538	0.0145290895792762	0.0107407062008676	0.00608316187430166	0.0117418220571078	0.0107054662500355	0.00762447720024618	0.00628884924444957	0.00565062351213132	0.0102404840098125	0.0104824860538478	0.010153520560204	0.00300131996678181	0.00848967262862733	0.00435669710055851	0.0102217313414232	0.0231967514282644	0.0185665966580218	0.0144590607357623	0.0432117859015586	0.0368968480693675	0.054039015543322	0.013314014038123	0.0134958094164817	0.00566740914318354	0.00994250623526365	0.0103561185819503	0.00923044430120702	0.0102881788544382	0.0047311028371714	0.033378205077555	0.0128703774733058	0.0171627790439011	0.0282548528153776	0.0243018143987969	0.00836640265126511	0.00807600040793427	0.00829471369026712	0.00750427055706076	0.00909702913840663	0.0126606839632551	0.0222385964165917	0.0162355331951183	0.00468002916575574	0.0948021212188773	0.104959350157133	0.0940012088876063
OM4_C_1A_1	0.00479583600647406	0.0138401015123014	0.0240733428527276	0	0.00647361036641927	0.017892164192224	0.0110043315323522	0.0170061608198849	0.00330375426588991	0.0140436615607113	0.0117896816173756	0.0247426822944421	0.0273157068259232	0.035146778269336	0.00956205560157744	0.00980630687890424	0.0184813395800471	0.0180821688107234	0.0182009152187697	0.0207022195908753	0.00677262531519498	0.00754988504266553	0.0110021183682717	0.00453337089485714	0.0133348467834465	0.0242046250410699	0.0402977465863833	0.0503763405856536	0.0214196945189085	0.0112251195505064	0.0136663330205383	0.0278558369346577	0.0135929787076264	0.0144700916129786	0.0269162806045753	0.0208497687184038	0.0194392203280678	0.0322351161697583	0.0145616077819436	0.0141569663084949	0.0241089936001497	0.0167646694573515	0.0224392837905154	0.0327371905842335	0.00336572205490281	0.00803257546443575	0.0116897496262617	0.0644050369443004	0.0575758404235687	0.0763709603282574	0.0119273503192205	0.012045158807959	0.0243592491214128	0.014935265281219	0.0158061616316705	0.01617431330174	0.0160000205209701	0.0194799303507307	0.00933084091964004	0.0116109138794395	0.0396243987777475	0.00837923447370614	0.00405273071678008	0.0315420055297852	0.0166807632327609	0.0307531059678756	0.0308030502819473	0.0154792122549397	0.0114535069567535	0.00491012433133081	0.00839915150299268	0.0207541432079005	0.071589477862119	0.0816682428927805	0.070915606123219
OM4_C_1A_2	0.00598935820628917	0.00883957767348554	0.0190413526892645	0.00647361036641927	0	0.0131527503898672	0.00510399830618211	0.0114905907372291	0.00530791253128881	0.0106354779898796	0.00706835658553166	0.0208231388961599	0.0231804587308875	0.0307042256669647	0.00805361255366452	0.00560819651182946	0.0137829100717717	0.0147912772561903	0.0128358582922411	0.0154736295396951	0.00865961392243101	0.00611864490390647	0.00702806065016543	0.00476108601825863	0.00919576287846229	0.0205624157235938	0.0445915860842783	0.0550439777600165	0.0244829874587767	0.00948967687407887	0.00839483878885418	0.0231693613502321	0.0101721448066686	0.0111619789193184	0.023229873371722	0.0171259693356248	0.0149080157416906	0.0277881552878759	0.0102866590423589	0.00892558320500734	0.0187702421488581	0.0119022445316332	0.0182505907197338	0.0283231104461555	0.00505981393934791	0.0058175680754223	0.00928175841285131	0.0610069556890008	0.0543230235494339	0.0725071722840185	0.00625035106764892	0.00889492468944719	0.0193183373311501	0.00935978542074387	0.0122624275753606	0.0113820108256854	0.0125288251150608	0.0148114704393487	0.0149835640406702	0.00654220122640815	0.0354721482093882	0.0107314172666351	0.00532543115358515	0.0261322238194101	0.0114328048538548	0.0261044103872095	0.0261849791734328	0.0104170288280268	0.00695596683282543	0.00554980418607646	0.00593604032326059	0.0154354206730886	0.0761337822626564	0.086292114310714	0.075307298452912
OM4_C_1A_3	0.0176481638050879	0.00464919321199666	0.00628968761476609	0.017892164192224	0.0131527503898672	0	0.00834224478821604	0.00333028444123926	0.015022520958024	0.00500430303663899	0.00627748303141312	0.00801643502096899	0.0101501471404518	0.01757855936515	0.00999577848125364	0.00863123501244953	0.00205107392281641	0.00557043739926897	0.00391787905565219	0.00468593838540994	0.0147031860709562	0.0188464212631503	0.0086658266259526	0.0134922877963452	0.00600616463356661	0.00814531275032313	0.0575048560286207	0.0678683085644142	0.0376176569430234	0.0086483885837371	0.00487030727370085	0.0103708397603014	0.0066173692410651	0.00538333606261765	0.0105110186495043	0.00498462741547216	0.00233475822033335	0.0148994448406088	0.00564390006068004	0.00452687066072849	0.006640177969742	0.00479402201167868	0.00583504962775558	0.0152507290160519	0.0170297800677712	0.013124735643386	0.008394762480771	0.0480930569895	0.0415192004330445	0.0594162258096083	0.00758758660410136	0.00824603892476784	0.00760251080696434	0.0045895610863457	0.0049236926623167	0.00380463495752996	0.00496038308685465	0.00183512480303146	0.0272154884918032	0.00680222190799235	0.0223538430203466	0.0227169017363588	0.0183634752501091	0.0139459206554653	0.00282022958700509	0.0131949481075385	0.0133079490033916	0.0042436313267866	0.00664907550749685	0.0164909104829287	0.00994761686341948	0.00483310844656487	0.0890032970962583	0.0991375703242106	0.0882369240735808
OM4_C_1C_1	0.010299584008067	0.00424721560965447	0.0140167838215426	0.0110043315323522	0.00510399830618211	0.00834224478821604	0	0.00642951510078366	0.00879126516990141	0.00717697324943808	0.00309081896184736	0.0162593535005827	0.0184672380446861	0.0257955694536271	0.00736338527370498	0.00368571831265945	0.00902148825325024	0.0110384036984228	0.00796723025092461	0.010594495304289	0.0105352337646573	0.0105876005571155	0.00488169918636533	0.00751185634203113	0.00561927979937433	0.0161728393002833	0.0495742409951824	0.0600711652614876	0.0293691335257598	0.00789921185695193	0.00351323333557403	0.0182816477915665	0.00709242222193034	0.00775554235134754	0.0187375418350532	0.0127841596388372	0.0101949785868605	0.0229526177782271	0.00646688284180172	0.0040654843446675	0.0136998076289792	0.00746442570361411	0.0136435232846137	0.0234569932314341	0.00967982047019269	0.00721614315351798	0.00741629580659892	0.056411118475974	0.049811866589913	0.0677103457319691	0.00192789077781849	0.00664828435040434	0.0144630907670542	0.00431583516407727	0.00858968043159296	0.00689441886083304	0.00886930149993568	0.00999067466369065	0.0199723034426698	0.00243885875637394	0.0306518811063917	0.0151784428306479	0.0104174347332349	0.0210580377405461	0.00648933399847067	0.0211952791820453	0.0212733528089447	0.00576453126244921	0.00338375715143082	0.0094469045076968	0.00558460150843293	0.0104929934486884	0.0811388057971937	0.0913058548836074	0.0802966266755167
OM4_C_1C_2	0.0165359258433991	0.00345802457869744	0.00794396942947064	0.0170061608198849	0.0114905907372291	0.00333028444123926	0.00642951510078366	0	0.0143104475122886	0.00632773688034366	0.00562564557877325	0.0108381993219033	0.0126660894346207	0.0197216874956678	0.0105993377871197	0.00761029201622411	0.0045051891816629	0.00775028886068448	0.00221990594198316	0.00445411449554347	0.0146558557119354	0.0167001648605011	0.00839864556769297	0.0129248396509745	0.00648718890540561	0.0110626336682852	0.0559890729118841	0.0664870866643051	0.0356469111789381	0.00972608727764136	0.00337936036442703	0.0120270312623881	0.00775918484139752	0.00720255165473054	0.0134113016062352	0.00821200664659228	0.00478472613583885	0.0167491056476404	0.00634889401372207	0.00348288090041151	0.00728178418549992	0.00535545634660922	0.00875489260170217	0.0172816482880564	0.0156658868389143	0.0124989297687568	0.00874546843027269	0.0505358691863318	0.0440473280742498	0.0615958556601208	0.00547592325989869	0.00884840619471242	0.00824088015156908	0.00213219153011294	0.00628915955579541	0.00321862959119135	0.00649083553950367	0.00473290608175994	0.0261809864851629	0.00544554351467861	0.0245618379408202	0.021443973232271	0.0168153410054148	0.014660656898101	0.00114199030376697	0.0149120285592182	0.0154150267337142	0.00409420856918121	0.00619570878659588	0.0155411879606941	0.00956952039887703	0.00547283313786864	0.0875429932821036	0.0977049012845754	0.0866931722742754
OM4_C_1C_3	0.00654350116111557	0.010991748564914	0.021281535910947	0.00330375426588991	0.00530791253128881	0.015022520958024	0.00879126516990141	0.0143104475122886	0	0.0109497929132224	0.00917884752571809	0.0216744283459937	0.024249964274213	0.0321956729523172	0.00717256394078393	0.00685844071955406	0.0157796865970443	0.0148492499718983	0.0153452384935023	0.0177624646397345	0.00410716150809604	0.00854790768728984	0.0090945318100433	0.00187880540794696	0.0109826706586752	0.0210940529191277	0.0435397005205027	0.0535824250366389	0.024386739027806	0.00834942408002811	0.0109929290718347	0.0247734475803905	0.0112473361924752	0.0117869483043085	0.0238728290475039	0.0178251509356334	0.0164131667370614	0.0291019471986763	0.0122742707688975	0.0116226140078242	0.0212607303461016	0.014478378939694	0.0196721183307361	0.0296529500048864	0.00362088395221583	0.00745646467005669	0.00840273586782645	0.0613131732150935	0.0544753401624954	0.0732897146663248	0.00940810302581731	0.00997321200464825	0.0213248369105891	0.0123121345643017	0.012590795116523	0.0131567216139091	0.0127827725536398	0.0166438044406241	0.0123878743160034	0.00887673707197716	0.0365491524048456	0.0111624328797636	0.00595119554204433	0.0286622631161941	0.0138596015852482	0.0276683519369246	0.0280125261400435	0.0130776305040019	0.00888919319252573	0.00602452624982703	0.00523399859288987	0.0182865297357932	0.0747868576980752	0.0848476940638226	0.0741156694493734
OM4_C_1D_2	0.0147737979323512	0.00401519669721902	0.0110202215302062	0.0140436615607113	0.0106354779898796	0.00500430303663899	0.00717697324943808	0.00632773688034366	0.0109497929132224	0	0.00446999921941021	0.0107324659679325	0.0133025051165129	0.021305302142694	0.00617296611637998	0.00546048467448848	0.00610504654309368	0.0045339542610275	0.00688676488134848	0.00841728879168672	0.00994070753363143	0.0164843472461808	0.00703582287318281	0.0095255409731684	0.00515466323733964	0.0102161060069218	0.0542303839337844	0.0643651106238633	0.0347351908483129	0.00410788237981114	0.00472915470712385	0.0140816681365671	0.00523399003148524	0.00354423310243253	0.0130058569589449	0.00693358314101411	0.00585386432713109	0.018285293620092	0.00582905636877136	0.00508725881939223	0.0113420197964074	0.00710774890657195	0.0092707140476711	0.0187421828497622	0.0134882242149523	0.0108188300966747	0.00376352958284501	0.0506586240453994	0.043892709532056	0.0624586762654347	0.00650020555892197	0.0063630834899913	0.0113642025176883	0.00575932082001365	0.00256446920211946	0.00449174542807786	0.00263393869939678	0.00638351466579775	0.0232955328667236	0.00494380658589498	0.0256110473291724	0.0200339329516398	0.0153598223646712	0.0184850256348256	0.00536708483820575	0.0168894628452621	0.0173925750004689	0.00594996154513354	0.00459658867504529	0.0135826918707647	0.00579833903894484	0.00945551509584337	0.0855628152212278	0.0956374252167784	0.0848828035538865
