	OM4_B_B	OM4_C_1A	OM4_C_1C	OM4_C_1D	OM4_C_1E	OM4_C_1F	OM4_C_1G	OM4_C_1H	OM4_C_2A	OM4_C_2B	OM4_C_2C	OM4_C_2D	OM4_C_2E	OM4_C_2F	OM4_C_2G	OM4_C_3A	OM4_C_3B	OM4_C_3C	OM4_C_3D	OM4_C_3E	OM4_C_3F	OM4_C_3G	OM4_C_3H	OM4_H_4A	OM4_H_4B	OM4_H_4E	OM4_H_4F
OM4_B_B	0	NA	NA	NA	NA	0.0220076332437592	0.00620117575349814	0.0104190051734642	NA	0.0270510012935164	0.0235816608868044	0.0143497619974775	NA	NA	0.0307104939694823	0.0290553084212215	NA	0.00457030610151937	0.0128419347994984	0.0316083414389553	NA	0.0334403098574191	0.011782599089273	NA	NA	0.0164845051410264	0.0305478689702768
OM4_C_1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM4_C_1C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM4_C_1D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM4_C_1E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM4_C_1F	0.0220076332437592	NA	NA	NA	NA	0	0.0172525433415601	0.0323993178773276	NA	0.00514599221417029	0.00588175287789278	0.011250884480768	NA	NA	0.011138752423013	0.00723361784799493	NA	0.020879817966476	0.0168023244599098	0.00961865005436383	NA	0.0148353825544039	0.0120510392565076	NA	NA	0.0381555156497357	0.0111697912570547
OM4_C_1G	0.00620117575349814	NA	NA	NA	NA	0.0172525433415601	0	0.0157239652131971	NA	0.022041872820322	0.0178878469558458	0.00824427323499109	NA	NA	0.0271237060529331	0.0239378883596001	NA	0.00856271844938341	0.0136583812943975	0.0266423528905208	NA	0.0302624232160931	0.00991177234623824	NA	NA	0.0224319529434482	0.0247456252171001
OM4_C_1H	0.0104190051734642	NA	NA	NA	NA	0.0323993178773276	0.0157239652131971	0	NA	0.0374075357447505	0.0336012167975554	0.0238599111333391	NA	NA	0.0409887021237228	0.0393868769548841	NA	0.0130175349043686	0.0215231663560326	0.0419798368681059	NA	0.0435673174284814	0.0219240244516351	NA	NA	0.00756952358271949	0.0404586275263192
OM4_C_2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM4_C_2B	0.0270510012935164	NA	NA	NA	NA	0.00514599221417029	0.022041872820322	0.0374075357447505	NA	0	0.0062835390007296	0.0151947756456132	NA	NA	0.00961520270809119	0.00210162733073333	NA	0.026024243220953	0.0216347189076206	0.00460183751237603	NA	0.0133380889423719	0.0171453845708355	NA	NA	0.043271814081913	0.00763945189276242
