Sample	JSDistance_OM4_B_B	S1038_OM4_0.01_selected	S1038_OM4_0.01_JSD	S1050_OM4_0.01_selected	S1050_OM4_0.01_JSD	S1062_OM4_0.01_selected	S1062_OM4_0.01_JSD	S1070_OM4_0.01_selected	S1070_OM4_0.01_JSD	S1074_OM4_0.01_selected	S1074_OM4_0.01_JSD	S1149_OM4_0.01_selected	S1149_OM4_0.01_JSD	S1163_OM4_0.01_selected	S1163_OM4_0.01_JSD	S1181_OM4_0.01_selected	S1181_OM4_0.01_JSD	S1230_OM4_0.01_selected	S1230_OM4_0.01_JSD	S1292_OM4_0.01_selected	S1292_OM4_0.01_JSD	S1316_OM4_0.01_selected	S1316_OM4_0.01_JSD	S1322_OM4_0.01_selected	S1322_OM4_0.01_JSD	S1330_OM4_0.01_selected	S1330_OM4_0.01_JSD	S1334_OM4_0.01_selected	S1334_OM4_0.01_JSD	S1377_OM4_0.01_selected	S1377_OM4_0.01_JSD	S1411_OM4_0.01_selected	S1411_OM4_0.01_JSD	S293_OM4_0.01_selected	S293_OM4_0.01_JSD	S321_OM4_0.01_selected	S321_OM4_0.01_JSD	S438_OM4_0.01_selected	S438_OM4_0.01_JSD	S498_OM4_0.01_selected	S498_OM4_0.01_JSD	S506_OM4_0.01_selected	S506_OM4_0.01_JSD	S538_OM4_0.01_selected	S538_OM4_0.01_JSD	S542_OM4_0.01_selected	S542_OM4_0.01_JSD	S574_OM4_0.01_selected	S574_OM4_0.01_JSD	S598_OM4_0.01_selected	S598_OM4_0.01_JSD	S600_OM4_0.01_selected	S600_OM4_0.01_JSD	S644_OM4_0.01_selected	S644_OM4_0.01_JSD	S686_OM4_0.01_selected	S686_OM4_0.01_JSD	S771_OM4_0.01_selected	S771_OM4_0.01_JSD
OM4_B_B	0	OM4_B_B_3	0	OM4_B_B_3	0	OM4_B_B_2	0	OM4_B_B_3	0	OM4_B_B_3	0	OM4_B_B_1	0	OM4_B_B_3	0	OM4_B_B_2	0	OM4_B_B_2	0	OM4_B_B_2	0	OM4_B_B_2	0	OM4_B_B_1	0	OM4_B_B_3	0	OM4_B_B_2	0	OM4_B_B_2	0	OM4_B_B_1	0	OM4_B_B_1	0	OM4_B_B_2	0	OM4_B_B_1	0	OM4_B_B_1	0	OM4_B_B_3	0	OM4_B_B_2	0	OM4_B_B_3	0	OM4_B_B_3	0	OM4_B_B_3	0	OM4_B_B_1	0	OM4_B_B_1	0	OM4_B_B_2	0	OM4_B_B_1	0
OM4_C_1A	0.737289113199193	OM4_C_1A_1	0.0535281859706905	OM4_C_1A_2	0.00747834775863623	NA	NA	NA	NA	OM4_C_1A_2	0.00508411002155428	OM4_C_1A_2	0.00955037024328533	OM4_C_1A_3	0.00860711062957632	OM4_C_1A_2	0.10830145469234	OM4_C_1A_2	0.00883957767348554	OM4_C_1A_2	0.0109832764980623	OM4_C_1A_1	0.125496440493964	NA	NA	OM4_C_1A_1	0.0606345458649905	OM4_C_1A_3	0.0354015576229424	OM4_C_1A_2	0.0466889137768058	OM4_C_1A_2	0.00901947757856122	OM4_C_1A_3	0.0331160795551155	OM4_C_1A_1	0.00985270538811641	OM4_C_1A_3	0.0169243167302142	OM4_C_1A_3	0.0048172690314875	OM4_C_1A_2	0.0177282063933095	OM4_C_1A_3	0.00735168605597797	OM4_C_1A_3	0.0280750545125206	OM4_C_1A_1	0.0186330326341601	OM4_C_1A_3	0.0410697633818909	OM4_C_1A_1	0.00734872107516912	OM4_C_1A_2	0.0106810369786035	OM4_C_1A_2	0.0170285071240893	OM4_C_1A_2	0.0350493655136436
OM4_C_1C	0.535296634090228	OM4_C_1C_2	0.0300438994693461	OM4_C_1C_2	0.00876684675317361	NA	NA	NA	NA	OM4_C_1C_2	0.0344714682418857	OM4_C_1C_2	0.00318007736577053	OM4_C_1C_3	0.0048793699878617	OM4_C_1C_2	0.00675918786183387	OM4_C_1C_1	0.00424721560965447	OM4_C_1C_1	0.0169819180865834	OM4_C_1C_2	0.0144741086205823	NA	NA	OM4_C_1C_2	0.0785686050213239	OM4_C_1C_2	0.0131351773554654	OM4_C_1C_2	0.0342785796214546	OM4_C_1C_2	0.00993211585657064	OM4_C_1C_3	0.0101269963930077	OM4_C_1C_2	0.0126774613081425	OM4_C_1C_2	0.0830006833855083	NA	NA	OM4_C_1C_3	0.0463494516043137	OM4_C_1C_2	0.0156850357915636	OM4_C_1C_3	0.019637450774679	OM4_C_1C_1	0.00297465079817556	OM4_C_1C_1	0.00482716465761228	OM4_C_1C_2	0.0172528250367907	OM4_C_1C_2	0.0179684234213656	NA	NA	OM4_C_1C_3	0.0450779210675632
OM4_C_1D	0.64481557661589	OM4_C_1D_2	0.0351601842115571	OM4_C_1D_1	0.00432996868024292	NA	NA	NA	NA	OM4_C_1D_2	0.195145818282725	OM4_C_1D_1	0.0177838587165054	OM4_C_1D_3	0.0133611194830978	OM4_C_1D_1	0.00636571235164894	OM4_C_1D_2	0.00401519669721902	OM4_C_1D_2	0.0150684717982406	OM4_C_1D_1	0.0062297306633197	OM4_C_1D_2	0.0141406124222367	OM4_C_1D_2	0.0851322621366293	OM4_C_1D_1	0.0135968600400354	OM4_C_1D_1	0.0145261845140222	OM4_C_1D_2	0.00796265524662129	OM4_C_1D_1	0.00419619371978593	OM4_C_1D_1	0.00739832751776566	NA	NA	NA	NA	OM4_C_1D_2	0.0235848170422257	OM4_C_1D_1	0.0283012367042414	OM4_C_1D_2	0.0339305730911708	OM4_C_1D_2	0.0182536236373721	OM4_C_1D_3	0.0235133387924362	OM4_C_1D_1	0.00692287812588368	OM4_C_1D_2	0.00596930574578725	OM4_C_1D_2	0.0259844029746168	OM4_C_1D_3	0.0339422440205034
OM4_C_1E	0.773046877491261	OM4_C_1E_3	0.0494812773189796	NA	NA	NA	NA	OM4_C_1E_3	0.0157580431774179	OM4_C_1E_2	0.100402465945382	OM4_C_1E_2	0.0124458809452019	OM4_C_1E_3	0.0166708160155583	OM4_C_1E_3	0.0301675346796107	OM4_C_1E_2	0.0144937459861957	OM4_C_1E_1	0.00152959992261638	OM4_C_1E_1	0.0097682126280332	NA	NA	OM4_C_1E_3	0.049863547151991	OM4_C_1E_3	0.0658316559854328	OM4_C_1E_1	0.0225390504510486	OM4_C_1E_2	0.0204294676937886	OM4_C_1E_2	0.0298876082759932	OM4_C_1E_1	0.01073313663557	OM4_C_1E_2	0.00271984305050927	OM4_C_1E_3	0.0255284517461181	OM4_C_1E_3	0.0395145230045382	OM4_C_1E_1	0.0162677563074024	OM4_C_1E_3	0.06100708082402	OM4_C_1E_1	0.00716567179423127	OM4_C_1E_1	0.0212334552026393	OM4_C_1E_2	0.00763381254677622	OM4_C_1E_3	0.039540088301449	OM4_C_1E_2	0.0395794118302073	OM4_C_1E_1	0.0628547400705491
OM4_C_1F	0.64976537335752	OM4_C_1F_1	0.0318075337966532	OM4_C_1F_1	0.0288243800751171	OM4_C_1F_2	0.0220076332437592	OM4_C_1F_1	0.00721979723719043	OM4_C_1F_2	0.106290333810145	OM4_C_1F_2	0.0148611994213209	OM4_C_1F_3	0.0217040911656953	OM4_C_1F_1	0.0117527857894343	OM4_C_1F_1	0.00775101843899942	OM4_C_1F_1	0.0148184163899158	OM4_C_1F_1	0.00326191366093382	OM4_C_1F_1	0.00721773595591392	OM4_C_1F_1	0.0785526567208851	OM4_C_1F_1	0.0199871948136929	OM4_C_1F_1	0.0120008307015771	OM4_C_1F_3	0.0258097978476696	OM4_C_1F_1	0.00201457647858504	OM4_C_1F_1	0.0192763414332094	OM4_C_1F_1	0.0378963285543831	OM4_C_1F_2	0.027848908011447	OM4_C_1F_3	0.0270958449295863	OM4_C_1F_3	0.0152370739491607	OM4_C_1F_3	0.0370312317767315	OM4_C_1F_3	0.0146689462763127	OM4_C_1F_3	0.00733874507368254	OM4_C_1F_3	0.0127981780675905	OM4_C_1F_1	0.013749315861748	NA	NA	OM4_C_1F_1	0.0209425638761805
OM4_C_1G	0.62124344692674	OM4_C_1G_3	0.0730052492936601	OM4_C_1G_1	0.00145694876288314	OM4_C_1G_1	0.00620117575349814	OM4_C_1G_1	0.0414718783276242	OM4_C_1G_1	0.0839391178673019	OM4_C_1G_2	0.00410429786178944	OM4_C_1G_3	0.016845217147319	OM4_C_1G_2	0.0194621570740405	OM4_C_1G_2	0.00450833037934376	OM4_C_1G_1	0.00408027876660837	OM4_C_1G_1	0.0590459635983144	OM4_C_1G_1	0.00701487886789197	OM4_C_1G_3	0.0311508499901105	OM4_C_1G_3	0.0363209065610185	OM4_C_1G_2	0.0330531262848374	OM4_C_1G_1	0.00624803067610633	OM4_C_1G_3	0.00494765072670419	OM4_C_1G_1	0.0153619680737533	OM4_C_1G_2	0.0114862053510897	OM4_C_1G_2	0.0152894318721285	OM4_C_1G_1	0.013629577820503	OM4_C_1G_2	0.0021762659292261	OM4_C_1G_3	0.0500351757531975	OM4_C_1G_1	0.0243062322065381	OM4_C_1G_1	0.00880488454728403	OM4_C_1G_2	0.0186165847173515	NA	NA	OM4_C_1G_1	0.0110395238076291	OM4_C_1G_1	0.0176415389089873
OM4_C_1H	0.660531852941361	OM4_C_1H_2	0.0751046588738337	OM4_C_1H_2	0.0153955813276596	OM4_C_1H_2	0.0104190051734642	OM4_C_1H_2	0.0997092968565558	OM4_C_1H_1	0.0221917423974251	OM4_C_1H_1	0.0107193667087381	OM4_C_1H_3	0.0168347267483652	OM4_C_1H_2	0.00205583204792747	OM4_C_1H_1	0.0112015957818396	OM4_C_1H_1	0.00863007559930276	OM4_C_1H_1	0.00902783383844145	OM4_C_1H_3	0.00694383327543533	OM4_C_1H_2	0.079545818549773	OM4_C_1H_2	0.0395509305134392	NA	NA	OM4_C_1H_1	0.0130190662089136	OM4_C_1H_2	0.0128429612998182	OM4_C_1H_1	0.016738961190111	OM4_C_1H_2	0.025612860602791	OM4_C_1H_2	0.0105726927111726	OM4_C_1H_3	0.019691790204711	OM4_C_1H_1	0.015809520832371	OM4_C_1H_3	0.0448141291784392	OM4_C_1H_1	0.0150083056878224	OM4_C_1H_3	0.0100435319073901	OM4_C_1H_1	0.0174139326590218	OM4_C_1H_2	0.0516338027665988	NA	NA	NA	NA
OM4_C_2A	0.402982037436565	OM4_C_2A_2	0.020757670208585	OM4_C_2A_1	0.00618008190295551	NA	NA	OM4_C_2A_1	0.0123888706908922	OM4_C_2A_3	0.0103847441473363	OM4_C_2A_2	0.00197889379769894	OM4_C_2A_3	0.00436416174916658	OM4_C_2A_2	0.00859228567560198	OM4_C_2A_1	0.0096499612807777	OM4_C_2A_1	0.0110845832977555	OM4_C_2A_3	0.0202770404507432	OM4_C_2A_2	0.0100537126230057	OM4_C_2A_2	0.0739675811033498	OM4_C_2A_2	0.0195188923022683	NA	NA	OM4_C_2A_2	0.00510131047111002	OM4_C_2A_1	0.00520627926086389	NA	NA	OM4_C_2A_1	0.044318957817878	OM4_C_2A_3	0.00283375627752383	OM4_C_2A_1	0.0359373374155942	OM4_C_2A_3	0.0133280711019954	OM4_C_2A_3	0.031454135457607	OM4_C_2A_3	0.0107201871515878	OM4_C_2A_2	0.00512752340770984	OM4_C_2A_3	0.00686840211194514	OM4_C_2A_1	0.0107813929860109	OM4_C_2A_2	0.0110780017575039	OM4_C_2A_1	0.0110282029890979
OM4_C_2B	0.65293722236101	OM4_C_2B_1	0.0362235023003502	OM4_C_2B_1	0.0161825952674078	OM4_C_2B_3	0.0270510012935164	NA	NA	OM4_C_2B_3	0.0374004773508073	OM4_C_2B_1	0.0222409529491856	OM4_C_2B_3	0.0238069187637095	OM4_C_2B_1	0.00430758942316441	OM4_C_2B_2	0.0637535877274079	OM4_C_2B_1	0.01927305749832	OM4_C_2B_1	0.000290408484878326	NA	NA	OM4_C_2B_3	0.0636292796881986	OM4_C_2B_2	0.00474694600284124	OM4_C_2B_2	0.0244964740347128	OM4_C_2B_1	0.00810252050923896	OM4_C_2B_2	0.0902317145839263	OM4_C_2B_1	0.0189416065204003	OM4_C_2B_1	0.0287455658583685	OM4_C_2B_1	0.0148238305243453	OM4_C_2B_1	0.0274550030388266	OM4_C_2B_3	0.00509504746781753	OM4_C_2B_3	0.0219111748781745	OM4_C_2B_1	0.00840352987074159	OM4_C_2B_1	0.00735162205865195	OM4_C_2B_3	0.0162419149579605	OM4_C_2B_1	0.0100853909741768	OM4_C_2B_3	0.0387144622404248	OM4_C_2B_1	0.013431048093457
