	OM4_B_B_1	OM4_B_B_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_2A_1	OM4_C_2C_3	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3G_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2
OM4_C_3C_1	0.00712632716359777	0.0157181838916869	0.0168169576550871	0.0111482788578128	0.0107493861460924	0.0107592857865135	0.0545354811271192	0.0551292690603948	0.104792434061044	0.112492812299559	0.0209558227333188	0.121311183389715	0.0920109681388888	0.0800752560779341	0.0768383501220155	0.0275258183839149	0.0498018453126579	0.0359882595898927	0.031490827287461	0.0133511483338519	0.0841211932287517	0.0852856746449236	0	0.0108959482750589	0.023469994054623	0.0120154677960246	0.00747911980528775	0.0134153209868109	0.0186871596035941	0.0387913432082086	0.0346575495667228	0.0798887749033082	0.0352770134595624	0.0283897863089425	0.0315168923814291	0.0689046376285351	0.0340336180635772
OM4_C_3D_2	0.0166270847423338	0.00549037944858406	0.0200151729175646	0.0106796274964808	0.00221799753616936	0.00156857908030684	0.0467685205797917	0.0470680985887732	0.0975496812484366	0.105004255515246	0.0157991433512497	0.112473467400717	0.0841243956709659	0.0875095238593963	0.0841064966690827	0.0198871780970894	0.0417787718712746	0.0269105017930149	0.0224138405060643	0.00890370386836548	0.09177237142764	0.0874459754696358	0.0108959482750589	0	0.0296209694710482	0.0200142969986877	0.0168861980341216	0.0155649657983791	0.0144904093450394	0.045793193460457	0.0418887034341364	0.0866498544609479	0.0435605325104453	0.0364455839393073	0.0356661498493196	0.0760290054312298	0.0379130139148913
OM4_C_3E_1	0.0169243997509187	0.0350147110724724	0.0106427156414567	0.0195680564671636	0.0278103887873061	0.0305953701186679	0.076310782778015	0.076629379512483	0.126888301751216	0.134356533434256	0.0438394499621021	0.141525878243392	0.113581025391097	0.0579949399369468	0.0545619550054337	0.0493305456287601	0.0713478572167474	0.0564065379525117	0.051952437740431	0.0360438606958104	0.0623198393349278	0.063130596811219	0.023469994054623	0.0296209694710482	0	0.0116756000338739	0.0165613550992479	0.0146886710083491	0.0224909038358285	0.0162262297242697	0.0124984267980592	0.057137980417652	0.0154995886748185	0.0089890202372603	0.00946444892930795	0.0464618903904585	0.0119861410228418
OM4_C_3F_1	0.00524964406652605	0.0254923365247771	0.00915356822315338	0.0122518108167764	0.0186548781993333	0.0206431398088377	0.0660430918134122	0.0665203339399185	0.116462682825165	0.124080653524913	0.0328315203968665	0.132243480510021	0.103481523450267	0.0682572865074393	0.0649714656514775	0.0389416630438712	0.0611987316220035	0.0467785136243437	0.0422615831382722	0.0250943864609478	0.0723788212969794	0.0744829706385623	0.0120154677960246	0.0200142969986877	0.0116756000338739	0	0.00488735858215341	0.00937100280170861	0.018634282156374	0.0267986402635401	0.0226818207714235	0.0679398167315607	0.0236878879285217	0.0166357295800281	0.0204525554023271	0.0569922833037422	0.0230299735959607
OM4_C_3F_2	0.000369020057498666	0.0222179824653705	0.0124200385598575	0.0116762901018744	0.0159425483648406	0.0172246671713883	0.0619520746917989	0.0625129965070333	0.112216478830172	0.119902216740168	0.0284324159451567	0.128537968683862	0.0994109522891598	0.072624999077691	0.0693967292273526	0.0349005530728566	0.0571861147935364	0.0431265312798581	0.0386103120080961	0.0208050261538472	0.0766668145497875	0.0792782090403304	0.00747911980528775	0.0168861980341216	0.0165613550992479	0.00488735858215341	0	0.0108361239936456	0.0191358796822449	0.0314206449352902	0.0272637870961625	0.0724971364289801	0.0278045266714928	0.0209188487998462	0.0252554894571434	0.0614750627600873	0.0278266290296379
OM4_C_3G_1	0.0109616369228964	0.0207317183184401	0.00445466390244557	0.00498816427890673	0.0135446846585643	0.0167738450791466	0.0621688191565331	0.0623805382185551	0.112892003420841	0.120261105173143	0.0308646042290611	0.127021052623748	0.0993300652930688	0.0725191734418309	0.0690396752420981	0.0354402826245275	0.0571351909134661	0.0419669330850593	0.0375620724103907	0.0232291739266987	0.0768943464276266	0.0727815854069687	0.0134153209868109	0.0155649657983791	0.0146886710083491	0.00937100280170861	0.0108361239936456	0	0.00933922513005708	0.0308561900998118	0.0271840862128271	0.0713723511553673	0.0297399072733587	0.0227097070617084	0.0201171050967277	0.0609159605614219	0.022404003541205
OM4_C_3H_2	0.0191515022632923	0.0179524842042251	0.0120293177287791	0.00775703668606856	0.012343379602779	0.0160525109277428	0.0579391680525628	0.0578700841991597	0.108456644214327	0.115545429396066	0.0300052340114426	0.120924243391523	0.094402374649279	0.0789147235513571	0.0753237904276996	0.0325535084036272	0.0528095873323449	0.0372748295243153	0.0331949074328794	0.0233886138827656	0.0834426701208714	0.0739197524147744	0.0186871596035941	0.0144904093450394	0.0224909038358285	0.018634282156374	0.0191358796822449	0.00933922513005708	0	0.0379485005261637	0.0346971121567825	0.0771380061991047	0.0379681246339927	0.0311735270334749	0.0251071917696103	0.0671905554632889	0.0268558129702913
OM4_H_4A_1	0.0317874373037087	0.0512070825279535	0.02663483343298	0.0357735545813051	0.0440160209446998	0.0467183366792094	0.0923835510953817	0.0927394018131746	0.142799439045973	0.150299772172224	0.0595755052979675	0.15755657919409	0.129628757768419	0.0417991572082421	0.0383923154453925	0.0653799064285694	0.0874548250107708	0.0725926611945452	0.0681361640859082	0.0518181526002383	0.0461154200925065	0.0533552238186887	0.0387913432082086	0.045793193460457	0.0162262297242697	0.0267986402635401	0.0314206449352902	0.0308561900998118	0.0379485005261637	0	0.0041937671828074	0.0411859817616634	0.00732838142865749	0.0110950474542081	0.0144757338691917	0.0303198001462526	0.014423916992899
OM4_H_4A_2	0.0276298696513678	0.0473298531886688	0.0230882278594522	0.032040834829121	0.0401611433485178	0.042771735789783	0.0884241098842812	0.0888103015555323	0.138827501660258	0.146361434013854	0.055485496793112	0.153840683751069	0.12571844315911	0.0457340417361676	0.0423803103351139	0.0613877689715124	0.0835154472845741	0.0687370253909068	0.0642638098591097	0.0477394378814528	0.0499760341995492	0.0568006525563105	0.0346575495667228	0.0418887034341364	0.0124984267980592	0.0226818207714235	0.0272637870961625	0.0271840862128271	0.0346971121567825	0.0041937671828074	0	0.0452977375903793	0.00545806057525067	0.00697150481786746	0.012827671225254	0.0343520030637242	0.013516783331495
OM4_H_4A_3	0.0728608656474625	0.0919696124299976	0.0669797400258118	0.0763454269207055	0.0847789074460924	0.0876516331072543	0.133125314109189	0.133405228693459	0.183280469444488	0.190655960174491	0.100631523271786	0.197100964408674	0.170041603553887	0.00685036799799296	0.00571957000034407	0.106311990030475	0.128173155395643	0.113165336309337	0.108781845498489	0.0928978435186314	0.0104991180456524	0.0396692807734419	0.0798887749033082	0.0866498544609479	0.057137980417652	0.0679398167315607	0.0724971364289801	0.0713723511553673	0.0771380061991047	0.0411859817616634	0.0452977375903793	0	0.0453770876314736	0.051744140021164	0.0520820482949628	0.011349071392829	0.0503998671244601
OM4_H_4B_3	0.0281547699771975	0.0490450884473478	0.0260206681020995	0.0343562065400231	0.0420169294185587	0.0442806046064639	0.089619837590474	0.0901245100058178	0.139770982042046	0.147423878040357	0.0562052583850532	0.155648482044033	0.12697313779433	0.044991118169214	0.0418703563260324	0.0625724057224564	0.0848108381193498	0.0703926875447688	0.0658862104958649	0.048588390117862	0.0489483202401085	0.060540277224926	0.0352770134595624	0.0435605325104453	0.0154995886748185	0.0236878879285217	0.0278045266714928	0.0297399072733587	0.0379681246339927	0.00732838142865749	0.00545806057525067	0.0453770876314736	0	0.00713193142719612	0.0179860191893614	0.034126723188316	0.018890963327422
OM4_H_4E_1	0.0212769996909407	0.0419307750237204	0.0191564658237121	0.027261255934176	0.0348907151086433	0.0371843312898937	0.0826299843363481	0.0831070149845443	0.1329087236525	0.140533810440752	0.0493240773148942	0.14861285395602	0.120005909256237	0.0517460142234639	0.0485230637887844	0.0555585514744419	0.0777927019947921	0.0633000323596624	0.0587942755599682	0.0416509173042969	0.0558121766647566	0.0633788045988318	0.0283897863089425	0.0364455839393073	0.0089890202372603	0.0166357295800281	0.0209188487998462	0.0227097070617084	0.0311735270334749	0.0110950474542081	0.00697150481786746	0.051744140021164	0.00713193142719612	0	0.014438091221936	0.0406286122893664	0.0161822167555719
OM4_H_4E_2	0.0256005158222045	0.0407251464570623	0.0156873828541824	0.0250127940956898	0.0336083047496362	0.0368823542927028	0.082027106885537	0.082151236416657	0.132607801729843	0.139858509493628	0.0508541925635634	0.145775257143812	0.118897231662499	0.0539450292459836	0.0503188251104064	0.0555063372893099	0.0769634707972682	0.061636266202604	0.0573299836278348	0.0431339408797367	0.058533593332506	0.0540816116118823	0.0315168923814291	0.0356661498493196	0.00946444892930795	0.0204525554023271	0.0252554894571434	0.0201171050967277	0.0251071917696103	0.0144757338691917	0.012827671225254	0.0520820482949628	0.0179860191893614	0.014438091221936	0	0.042188036276751	0.0025803162266947
OM4_H_4F_1	0.0618366566737811	0.0814078937363379	0.0565777005570241	0.0658749326234514	0.0742169220473738	0.0769745810971058	0.122521162093446	0.122861906825551	0.172706680714089	0.180168071444605	0.0897330779416475	0.187122052957543	0.159593572280626	0.011772674409215	0.00815724006416068	0.0956030991232757	0.117600539727533	0.102710334003163	0.0982852332802061	0.0820173341374908	0.0164395571352206	0.0425342112087548	0.0689046376285351	0.0760290054312298	0.0464618903904585	0.0569922833037422	0.0614750627600873	0.0609159605614219	0.0671905554632889	0.0303198001462526	0.0343520030637242	0.011349071392829	0.034126723188316	0.0406286122893664	0.042188036276751	0	0.0407618272208459
OM4_H_4F_2	0.0281705829357887	0.0428966773217344	0.0180111883214304	0.0272423278040065	0.0358270045967666	0.0391611010568452	0.0841134137276505	0.084200058320733	0.134655302785854	0.141858339918903	0.0532072011449896	0.147507452730204	0.120872312173883	0.052520709773926	0.0488581521753096	0.0577154392211591	0.0790367334105304	0.0636612870457249	0.0593923562122851	0.0455124024216855	0.0571622201902452	0.051512687117472	0.0340336180635772	0.0379130139148913	0.0119861410228418	0.0230299735959607	0.0278266290296379	0.022404003541205	0.0268558129702913	0.014423916992899	0.013516783331495	0.0503998671244601	0.018890963327422	0.0161822167555719	0.0025803162266947	0.0407618272208459	0
