	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1D_1	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1H_1	OM4_C_1H_3	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_2	OM4_C_3C_1	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3E_2	OM4_C_3F_2	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3	OM4_H_4F_3
OM4_B_B_1	0	0.00103610173679395	0.00194530183714065	0.124465985176757	0.169587268821316	0.126079576341982	0.0234241328950361	0.0155101251969928	0.00519364107649405	0.0105318227704113	0.00873214287005022	0.019010069476731	0.00222581465438847	0.00725086371250496	0.0580111211959923	0.010063901205095	0.00860061436753561	0.0213129777539561	0.00132651007655033	0.00424167872098201	0.0157774492008097	0.0161835173881473	0.00036435006715266	0.0110808226321678	0.0114662853020311	0.0132583188750351	0.0280198945879125	0.0083108419201706	0.00656802148513944	0.011076541520464	0.0198401154666502	0.00107887658957194	0.00737244323874269	0.00713064764180872	0.000947336818399104	0.00791680134372198	0.0192075354184102	0.00444992847403095	0.00625011255980517	0.00477497709527814	0.118869824949323	0.00331665078387631	0.00434433913547636	0.00585876813058013	0.00696909255702913	0.0153469536262538	0.0244534328535022	0.00911700052091818	0.00547366160704886	0.00824145159407574	0.00969798827766783	0.00665666684980498	0.0073159878159844	0.000995097480417234	0.00298568894209107	0.0153284146764091
OM4_B_B_2	0.00103610173679395	0	0.00090920076676236	0.125496440493964	0.170612965780894	0.127109886513271	0.0223882309192704	0.0144741086205823	0.0062297306633197	0.00949575887494579	0.0097682126280332	0.0200460289944748	0.00326191366093382	0.00621477899885026	0.0590459635983144	0.00902783383844145	0.00756453722457575	0.0202770404507432	0.000290408484878326	0.00320558211314726	0.0147414357042539	0.0151475086753526	0.000671751761666287	0.0100447630227622	0.010430228839744	0.0122222785386923	0.0269840815695608	0.00727476303493619	0.00760410447888184	0.0121125930107189	0.0188041555714939	4.27748695704639e-05	0.00633635915019165	0.00609456232112318	8.87649500438756e-05	0.0068807201919305	0.0181715663373563	0.00341383246816823	0.00521402312771577	0.00581106841019913	0.119900769416969	0.0043527470946683	0.00538043209120033	0.004822677060282	0.00593300643786701	0.014310935196998	0.0234175493631517	0.00808092664142266	0.00443756903811729	0.00720537230113193	0.00866191831309654	0.00562057924277912	0.00627990343577661	0.0020311984566272	0.00402178616501487	0.0142923960379311
OM4_B_B_3	0.00194530183714065	0.00090920076676236	0	0.126400607617096	0.171512931177541	0.128013925304146	0.0214791910588936	0.0135649732772885	0.00713891676157295	0.0085865852079289	0.0106773790508525	0.0209550920758524	0.0041711099338616	0.00530558917310235	0.0599540215016751	0.00811865742622869	0.00665535317432374	0.0193679709446035	0.000618792341364529	0.00229638378531926	0.0138323028918465	0.0142383797998903	0.00158095217724367	0.0091355927639143	0.00952106109475146	0.0113131237926454	0.0260751168242364	0.00636557764213517	0.00851328390779168	0.0130217418962005	0.0178950671859892	0.000866425908764851	0.0054271697948147	0.00518537203999586	0.000997965687551745	0.00597153306355061	0.0172624702972146	0.00250463453461009	0.00430482980502121	0.00672025629412037	0.120805369136128	0.00526194030047463	0.00628962169192585	0.00391348255171221	0.00502381555997096	0.0134017983326418	0.0225085250638037	0.00717174512290041	0.00352837346215096	0.00629618659516815	0.00775273985642612	0.00471138726017023	0.00537071386075736	0.00294039724959921	0.00493098038408787	0.0133832590018944
OM4_C_1A_1	0.124465985176757	0.125496440493964	0.126400607617096	0	0.0454580535995558	0.00162245158023517	0.147739141140831	0.139881627131846	0.119299221347336	0.134935983757521	0.115777672756927	0.105542773286224	0.122251980144857	0.131675340283101	0.0666216492644433	0.134471018138092	0.133016849304704	0.145643607905173	0.125785249187752	0.128683947071324	0.14014713470116	0.140550431450552	0.124828360460866	0.135481490604501	0.135864484704592	0.137644867627841	0.152299501226685	0.132728859875965	0.117931556250456	0.113443901541605	0.144181406308274	0.125538980199613	0.131796184076537	0.131555850402948	0.125408163029306	0.132337231915131	0.143553344959245	0.128890991416139	0.130680595244684	0.119715806723974	0.00562509553168646	0.121166772283562	0.120144290550127	0.130291575325989	0.13139526920368	0.139719561145496	0.14876067856896	0.133530039527797	0.129908742994227	0.132659895411816	0.134107403157052	0.131084720282715	0.131740070454473	0.123476221442933	0.121496037571524	0.139701147657167
OM4_C_1A_2	0.169587268821316	0.170612965780894	0.171512931177541	0.0454580535995558	0	0.0438367944109673	0.192745077612435	0.184928355294768	0.164443878407498	0.180007418937762	0.160937797383495	0.15074572392003	0.167383378550082	0.176762656949118	0.111958545984699	0.179544737797575	0.178097671121933	0.1906606081676	0.170900435057108	0.173785549338076	0.185192515347137	0.185593761144015	0.169947974428056	0.180550237191249	0.180931338241953	0.18270286243348	0.197280893983382	0.177811080595823	0.163082265025416	0.158614070026992	0.189206046783209	0.170655308357668	0.176882917927377	0.176643742917617	0.170525097218588	0.177421350909645	0.18858124703129	0.173991613688561	0.175772692571694	0.164858609205563	0.0510783508330033	0.166303074247088	0.165285180001194	0.175385534065888	0.176483934911359	0.184767110775006	0.193761172744699	0.178608362276634	0.175004529048961	0.177742450750511	0.179182904748913	0.176174879048018	0.176827074989851	0.16860204522404	0.1666308555061	0.184748790568671
OM4_C_1A_3	0.126079576341982	0.127109886513271	0.128013925304146	0.00162245158023517	0.0438367944109673	0	0.149349164324441	0.141492922984549	0.120913522461952	0.136548044988251	0.117392440756004	0.107158820199606	0.123865879166206	0.133287891116486	0.0682415033325824	0.136083149914	0.134629200145196	0.147253977318624	0.127398654314286	0.130296936615106	0.141758388686786	0.14216162168973	0.126441900718196	0.137093468761188	0.137476404336503	0.139256513040414	0.153908753729395	0.134341253819892	0.119546040324293	0.115058971370296	0.145792014369035	0.12715242020151	0.133408716977008	0.133168418952263	0.127021621529375	0.133949684325103	0.145164054785007	0.130503950917394	0.13229329307505	0.121330051697104	0.00724752331563952	0.122780820210274	0.121758477577082	0.131904330342221	0.133007861536094	0.141330882514894	0.150370531168293	0.135142313328782	0.1315215541216	0.134272299663886	0.135719589932226	0.132697358527574	0.133352611684094	0.125089950908729	0.12311004045696	0.141312471923832
OM4_C_1C_1	0.0234241328950361	0.0223882309192704	0.0214791910588936	0.147739141140831	0.192745077612435	0.149349164324441	0	0.00791507332791942	0.0286164982409531	0.0128934855637009	0.0321538700898933	0.0424273269754882	0.0256494567452311	0.0161742825277259	0.0813956829894535	0.0133613953657243	0.0148246210228155	0.00211154708422719	0.0220978752925001	0.019183156100241	0.00764773123573161	0.00724163318675232	0.0230598551562737	0.0123444946774654	0.0119590351933548	0.0101669826211095	0.00459688789863434	0.0151143769749846	0.02999046479204	0.0344974043326019	0.00358463629668074	0.0223454639207847	0.0160527123164814	0.0162944891380104	0.0224769794390964	0.0155083928004384	0.00421730210056532	0.018974932897707	0.0171749473551741	0.0281979540019109	0.142155037744261	0.0267400216787327	0.0277674361229274	0.0175662533493769	0.016456031117913	0.00807825532719767	0.00102951961662085	0.0143082606773044	0.0179513194857187	0.0151837631364053	0.0137272964588774	0.0167684302097321	0.0161091634454326	0.0244190213420498	0.0264091442464223	0.00809679543252558
OM4_C_1C_2	0.0155101251969928	0.0144741086205823	0.0135649732772885	0.139881627131846	0.184928355294768	0.141492922984549	0.00791507332791942	0	0.0207031576012116	0.00497860166413371	0.0242410719095414	0.0345165049464746	0.0177357160516607	0.00825960267473451	0.0734976588977301	0.00544653673179372	0.00690984963934057	0.00580356264199632	0.0141837219788688	0.0112687183545726	0.000267348144538538	0.000673454581416389	0.0151458064558021	0.00442958276464393	0.0040441046645243	0.00225197696769653	0.0125117896802618	0.00719962434882977	0.0220773264068967	0.0265850046038688	0.00433048309667259	0.0144313370234036	0.00813802378494935	0.00837981795062035	0.0145628667170132	0.00759366646468608	0.00369781748742388	0.0110604767091829	0.00926034219661699	0.02028455388596	0.134293216115449	0.0188264221868087	0.0198539758709215	0.00965167897964076	0.00854137170812862	0.000163185900397463	0.00894456553998048	0.00639345707907925	0.0100367762801045	0.00726901507446399	0.00581245847275813	0.00885379400591429	0.00819447893309863	0.0165051295071736	0.0184955011955303	0.000181726458790489
OM4_C_1D_1	0.00519364107649405	0.0062297306633197	0.00713891676157295	0.119299221347336	0.164443878407498	0.120913522461952	0.0286164982409531	0.0207031576012116	0	0.0157251506887126	0.00353855970016593	0.0138169184735105	0.00296783883804935	0.0124443344405844	0.0528231157995219	0.0152572520068837	0.013794031324679	0.0265055448721249	0.00652013487025184	0.00943524434983444	0.0209704630363378	0.0213765024895067	0.00555798733300646	0.0162741226325245	0.0166595650102591	0.0184514967539764	0.0332117603248041	0.0135042710072651	0.00137439734206811	0.0058830224381291	0.0250328130613066	0.00627250492745195	0.0125659094081674	0.0123241228220201	0.00614096694459008	0.0131102464111479	0.0244002864609886	0.00964348864378428	0.0114436186716481	0.00041866773425982	0.113700670529303	0.00187700198756762	0.000849308869197477	0.0110522870422286	0.0121625736336138	0.0205399972289811	0.0296456935064105	0.0143103950669082	0.0106671925457574	0.0134348835382898	0.0148913563902488	0.0118501590470626	0.0125094561092288	0.00419855145313131	0.00220796452058186	0.0205214595449699
OM4_C_1D_3	0.0105318227704113	0.00949575887494579	0.0085865852079289	0.134935983757521	0.180007418937762	0.136548044988251	0.0128934855637009	0.00497860166413371	0.0157251506887126	0	0.0192633217564518	0.0295397529736926	0.0127575283851544	0.00328105085094164	0.0685280377305701	0.00046793976232365	0.00193127253614758	0.0107820483010226	0.00920535966689395	0.00629024683745926	0.00524594721709435	0.00565204920991135	0.0101674869468211	0.000549023381684443	0.000934503966390457	0.00272663602721673	0.0174899840423983	0.00222105211072539	0.0170994139040507	0.0216074491683712	0.00930901009050768	0.00945298540766716	0.00315946941102207	0.00340126870150062	0.00958452087324475	0.0026151013355404	0.00867635974541711	0.00608199857194224	0.00428181341515604	0.0153065195590713	0.12934498566623	0.0138482972788961	0.0148759140014521	0.00467316020311565	0.00356282600216232	0.00481541721533306	0.0139229359049806	0.00141487206864204	0.00505826789424138	0.00229044404703661	0.000833865734591169	0.00387525542247217	0.00321592573661381	0.0115268761780152	0.0135173567942508	0.00479687681553403
