	OM4_B_B	OM4_C_1A	OM4_C_1C	OM4_C_1D	OM4_C_1E	OM4_C_1F	OM4_C_1G	OM4_C_1H	OM4_C_2A	OM4_C_2B	OM4_C_2C	OM4_C_2D	OM4_C_2E	OM4_C_2F	OM4_C_2G	OM4_C_3A	OM4_C_3B	OM4_C_3C	OM4_C_3D	OM4_C_3E	OM4_C_3F	OM4_C_3G	OM4_C_3H	OM4_H_4A	OM4_H_4B	OM4_H_4E	OM4_H_4F
OM4_B_B	0	0.0466889137768058	0.0342785796214546	0.0145261845140222	0.0225390504510486	0.0120008307015771	0.0330531262848374	NA	NA	0.0244964740347128	0.0139357532650545	0.00817770079341828	0.00974739451916577	0.0187895781665663	0.0138371077620073	0.0455676278907031	NA	0.0287146865485783	0.0216621823407177	0.0320431097990473	0.0175418256614673	0.0107469209303313	0.00162072253831774	0.0240787512672805	0.0229691890430943	0.0243891140773498	0.00688032671952827
OM4_C_1A	0.0466889137768058	0	0.0124175433448051	0.0321705746520133	0.0241590365368044	0.034695065780499	0.013643420833229	NA	NA	0.0222016097844269	0.0327608232035598	0.0548591501647233	0.0369475533869266	0.0279081550925356	0.0328594370513803	0.00112215666058981	NA	0.0179829504046125	0.0250358642225999	0.0146537483234428	0.0291556853654776	0.0359484684984736	0.0450694111189113	0.0226193440688799	0.0237289083157767	0.022308973263917	0.0398131713203731
OM4_C_1C	0.0342785796214546	0.0124175433448051	0	0.019755914444595	0.0117427854268957	0.0222810248266424	0.00122595410556141	NA	NA	0.00978505700647348	0.0203463027398224	0.0424520581613408	0.0245341124108529	0.0154925773865443	0.0204449402351806	0.0112954451544761	NA	0.00556586446640959	0.0126197593657243	0.00223635500893157	0.0167403595023285	0.0235347558909998	0.0326585030423355	0.0102028527882817	0.0113125879752072	0.00989243614221725	0.0274005580993965
OM4_C_1D	0.0145261845140222	0.0321705746520133	0.019755914444595	0	0.00801380044267959	0.00252551003972936	0.0185301232068582	NA	NA	0.00997155421761182	0.00059047369268464	0.0227029343673558	0.00477902993085098	0.00426380759084577	0.000689125934790522	0.0310488298660897	NA	0.0141906150950516	0.00713679743043221	0.0175198402035885	0.00301591437395524	0.0037794728637369	0.0129055694266198	0.00955375761470713	0.00844400815152255	0.00986417510882863	0.00764612850590414
OM4_C_1E	0.0225390504510486	0.0241590365368044	0.0117427854268957	0.00801380044267959	0	0.0105392341647365	0.0105168864768124	NA	NA	0.00195781003687217	0.00860425955695488	0.0307147502364657	0.0127926552335122	0.00375003882270815	0.00870290916885316	0.0230371103604069	NA	0.00617706772754283	0.000877021029126253	0.0095065213203639	0.00499792938368722	0.0117931455700369	0.0209185988558255	0.00153999956551855	0.000430218171485827	0.00185042726717485	0.0156595863159961
OM4_C_1F	0.0120008307015771	0.034695065780499	0.0222810248266424	0.00252551003972936	0.0105392341647365	0	0.0210552791909901	NA	NA	0.0124969515684973	0.00193503737596588	0.0201778337611851	0.00225352957572702	0.00678929151097952	0.00183638524464973	0.0335733887953608	NA	0.0167159102606944	0.0096622451814098	0.0200450316872778	0.00554140934146988	0.00125396708735824	0.0103801795070253	0.0120791633139387	0.0109694344799632	0.012389574635749	0.00512065363826886
OM4_C_1G	0.0330531262848374	0.013643420833229	0.00122595410556141	0.0185301232068582	0.0105168864768124	0.0210552791909901	0	NA	NA	0.00855914034144586	0.0191205216655456	0.0412268749052	0.0233084121560194	0.0142667218154604	0.0192191608886353	0.0125213353373219	NA	0.0043399211820969	0.0113938694500454	0.00101040191726432	0.0155145211102253	0.0223090349623894	0.0314330029746609	0.00897693961904831	0.0100866848417203	0.00866652036088665	0.0261749219541824
OM4_C_1H	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM4_C_2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM4_C_2B	0.0244964740347128	0.0222016097844269	0.00978505700647348	0.00997155421761182	0.00195781003687217	0.0124969515684973	0.00855914034144586	NA	NA	0	0.0105620056255024	0.0326718600482007	0.0147503326804245	0.00570783376183526	0.010660653902389	0.021079647144865	NA	0.00421927615541517	0.00283482931012982	0.0075487622032872	0.00695571491281192	0.0137508416118447	0.0228760737375179	0.000417810926288059	0.00152759232990316	0.000107382910399393	0.0176172027295009
OM4_C_2C	0.0139357532650545	0.0327608232035598	0.0203463027398224	0.00059047369268464	0.00860425955695488	0.00193503737596588	0.0191205216655456	NA	NA	0.0105620056255024	0	0.022112565645742	0.00418856044959719	0.0048542769140419	9.86522561072117e-05	0.0316390938150433	NA	0.0147810443293177	0.00772725946750112	0.0181102465512817	0.00360638577162351	0.00318900170770042	0.0123151290758252	0.0101442108043292	0.00903446571236631	0.0104546269817606	0.00705566615180485
OM4_C_2D	0.00817770079341828	0.0548591501647233	0.0424520581613408	0.0227029343673558	0.0307147502364657	0.0201778337611851	0.0412268749052	NA	NA	0.0326718600482007	0.022112565645742	0	0.017924592199271	0.026965816114113	0.0220139303912709	0.0537381953483293	NA	0.0368893195624174	0.0298380153765924	0.0402170742973175	0.0257182244241047	0.0189240359262406	0.00979837770277223	0.032254206134554	0.0311448218112097	0.0325645178852795	0.0150577294189164
