C45-A_2	C45-B_2	C45-BT_2	C45-D-T1_2	C45-E-LN_2	C45-F_2	C45-LB1_1	C45-SB_2
1312	1620	233	1186	185	595	204	775
3272	4207	584	2736	497	1348	389	1617
4308	5881	709	3473	572	1611	493	2022
3594	4862	559	2835	477	1284	381	1660
1555	2148	222	1063	210	526	119	648
1245	1561	157	539	148	411	66	501
1713	2435	238	734	203	542	102	632
2174	3239	335	897	265	745	112	829
2026	3189	300	833	271	684	118	778
