E4B10_1	E4B11_1	E4B12_1	E4B13_2	E4B14_1	E4B15_1	E4B16_1	E4B17_3	E4B18_1	E4B19_1	E4B1_2	E4B20_2	E4B21_1	E4B22_1	E4B2_2	E4B3_3	E4B5_2	E4B6_2	E4B7_3	E4B8_1	E4B9_2	E4H1_1	E4L10_2	E4L11_2	E4L1_1	E4L2_1	E4L3_3	E4L4_2	E4L5_1	E4L7_2	E4L8_2	E4L9_2	E4N1_1	E4N3_1	E4O1_1	E4O2_1	E4P10_2	E4P11_2	E4P14_3	E4P1_3	E4P2_2	E4P3_2	E4P5_3	E4P7_2	E4P9_1
326	310	283	193	314	276	148	235	91	395	221	284	287	253	263	281	356	240	299	428	258	147	116	109	219	299	170	252	360	209	537	530	258	230	78	224	318	375	440	430	387	326	122	380	272
1850	1587	1449	1028	1625	1399	620	1461	765	2035	1434	1423	1475	1521	1633	1594	1936	1578	1358	2117	1464	722	879	845	1232	1538	631	1152	1774	1307	2701	2407	1383	1203	543	1157	1440	1842	2280	2450	2645	1447	543	1982	1174
7403	5902	5528	3790	6178	6581	2504	6457	3809	8882	6031	5847	6766	6333	7144	6053	7609	6823	5440	8522	6681	2850	3763	3152	5305	6411	2290	4228	7634	5622	10176	8861	6076	4993	2435	5033	5880	7749	8583	9224	11108	6042	2063	8473	4353
14979	10903	12775	8630	14947	14584	6736	13849	8177	17194	13364	12467	13953	14378	14502	12306	15644	13262	11372	16835	14159	4370	8471	6972	12034	12269	3775	8237	15638	12010	19237	15716	15251	11931	6858	8686	10615	14330	14029	17181	21502	9703	4727	14734	7816
12280	7837	12362	7961	14073	12815	6716	12861	6569	13754	12625	11368	11737	12893	12876	10974	12949	10727	10651	14559	13402	2203	7524	6812	11652	9796	2114	6478	13428	10833	13600	12288	16289	12605	7643	5603	7617	9644	8550	12926	15755	5384	4942	10243	5573
7797	5203	7620	5062	8584	7955	4170	7866	4179	8741	7811	7301	7319	7606	8585	7021	7804	7179	6964	9265	7906	1818	4869	4486	7324	6199	1613	4649	8465	6453	8804	8457	9712	7701	4857	3786	5073	5824	6011	8770	9681	4123	3257	7228	3719
6232	4631	6332	4172	7277	6467	3750	6339	3572	7308	5968	6146	6324	6445	6374	5828	6482	6389	5765	7676	6250	1762	4234	3570	6020	5151	1682	4069	6974	5007	7643	6919	7165	5881	4017	3449	4242	4990	5780	7789	8372	3871	2861	6213	3407
3943	3212	4345	2985	5130	4232	2592	4321	2353	5197	3982	4252	4278	4669	3465	3949	4349	4474	4243	5380	4222	1217	2980	2527	4360	3399	1198	2903	4724	3248	5468	4606	4692	3590	2676	2374	2954	3579	4094	5605	5821	2637	2078	4282	2424
1298	1077	1282	924	1458	1352	759	1247	691	1378	1169	1289	1197	1207	965	1343	1400	1311	1278	1621	1128	397	783	766	1350	1175	406	817	1330	956	1504	1329	1243	1172	788	789	835	843	1266	1619	1547	831	643	1244	768
287	267	304	201	302	300	106	276	115	304	270	320	251	282	182	318	273	271	320	382	246	105	159	197	293	273	110	180	286	208	361	308	280	294	159	191	208	180	250	308	308	194	162	308	179
