E4B10_3	E4B11_3	E4B12_3	E4B13_3	E4B14_2	E4B15_3	E4B16_1	E4B17_3	E4B18_2	E4B19_3	E4B1_3	E4B20_3	E4B21_2	E4B22_3	E4B2_3	E4B3_1	E4B5_2	E4B6_3	E4B7_2	E4B8_3	E4B9_3	E4H1_3	E4L10_3	E4L11_3	E4L1_3	E4L2_3	E4L3_1	E4L4_3	E4L5_1	E4L7_3	E4L8_3	E4L9_1	E4N1_2	E4N3_2	E4O1_2	E4O2_3	E4P10_3	E4P11_1	E4P14_3	E4P1_2	E4P2_3	E4P3_3	E4P5_3	E4P7_3	E4P9_1
1031	1360	748	655	562	0	0	0	742	609	505	885	701	563	1191	1361	764	1047	676	822	816	413	813	686	832	1279	1986	1431	1011	507	1532	1063	241	379	71	432	874	1322	2636	739	1655	1603	943	1763	1528
3245	3998	1613	1561	1542	1045	1023	1233	2042	1433	1309	1602	1673	1482	3080	3775	2263	2953	1485	2109	1635	1286	2205	1845	2608	3831	6477	3623	2721	1446	4560	3092	823	1025	224	1165	2551	3714	8434	2356	4583	4716	2576	4213	4226
6051	8014	3272	3114	3108	2536	1900	2871	4464	3057	2868	3396	3479	3120	7120	7873	4173	6280	3327	4643	3382	2561	4218	2878	5275	7385	12830	7632	5837	2824	9355	7038	1874	2193	640	2647	4892	8324	17913	5224	9949	9980	4610	8621	8893
11019	12664	6502	5861	5847	4500	3738	5360	7459	5264	5270	5876	5823	5902	12102	13381	7858	10578	5723	7544	6388	3385	7518	4991	9727	12396	17458	11104	10382	5806	15353	10579	3988	4651	1360	3925	6932	12651	26100	8144	15845	13919	8975	11954	13228
13895	13858	9212	7599	8205	5793	5341	7197	9889	6257	7819	7537	6999	7517	15488	17057	10281	12494	7343	9625	8719	2920	9711	6812	14067	14788	16290	12366	13805	8406	17289	11079	7164	8360	2716	4131	7512	13426	25234	8846	18284	12810	12602	12989	13917
14732	13028	11329	8492	9616	6553	6227	8306	10453	5708	9399	7900	7477	8433	16076	17377	11582	12416	8174	9901	9956	1829	9944	8472	17016	14133	10441	10803	15607	10301	15057	10009	10265	11441	3777	3370	6482	11971	19520	7826	16947	9441	15568	10747	12185
13949	10388	11262	7915	9398	6304	6513	7971	9820	4782	9113	7355	7477	7805	15219	16352	10851	10501	7721	8737	9797	789	9586	8799	16679	12467	5856	8670	14872	9875	12337	7709	11201	12618	4165	2255	5352	9137	12210	6353	14375	5506	15211	8865	9149
9981	7121	8867	5656	7574	4646	4916	5869	7291	3077	6991	5265	5879	5769	11159	12393	8344	7351	5962	6950	7101	385	7058	6423	12981	8830	3422	6047	11466	7340	7896	5205	9118	9955	3213	1538	3996	6682	8113	4396	9880	3620	12294	5985	6687
5716	3639	4719	3054	4266	2541	2714	3154	3640	1477	3628	2798	3091	2876	6228	6512	4317	3827	2949	3537	3978	155	3974	3293	6412	5412	1623	3414	6216	3448	4556	2619	4939	5395	1642	777	2139	3433	4503	2271	5863	2027	6626	3239	3781
1975	1228	1644	1034	1610	867	937	1029	1265	354	1317	881	1103	939	2147	2423	1536	1302	1013	1257	1346	0	1383	1073	2359	1949	509	1091	2110	1177	1452	846	1800	1907	506	243	784	1114	1481	657	1984	711	2490	1284	1355
