E4B10_3	E4B11_3	E4B12_3	E4B13_2	E4B14_3	E4B15_3	E4B16_2	E4B17_2	E4B18_3	E4B19_3	E4B1_1	E4B20_2	E4B21_1	E4B22_3	E4B2_1	E4B3_3	E4B5_3	E4B6_1	E4B7_1	E4B8_3	E4B9_3	E4H1_1	E4L10_1	E4L11_3	E4L1_3	E4L2_3	E4L3_2	E4L4_3	E4L5_3	E4L7_3	E4L8_3	E4L9_3	E4N1_3	E4N3_3	E4O1_3	E4O2_3	E4P10_2	E4P11_3	E4P14_3	E4P1_3	E4P2_2	E4P3_3	E4P5_3	E4P7_3	E4P9_3
281	267	307	359	274	248	260	336	178	423	180	190	268	331	321	311	418	329	296	325	308	121	274	179	385	273	207	252	373	204	329	219	295	214	104	203	268	581	556	505	279	247	283	287	609
775	758	848	1012	857	802	838	970	505	1086	607	545	760	846	846	872	1099	924	686	1012	1021	328	852	563	1198	817	685	668	993	602	1079	1001	842	694	367	598	747	1465	1598	1306	890	727	844	880	1602
1582	1566	1670	1994	1696	1520	1525	1640	970	2042	1124	1133	1596	1553	1594	1699	2004	1782	1409	2026	2025	823	1543	1084	2171	1606	1463	1250	1707	1129	2209	1855	1653	1363	766	1299	1372	2706	2948	2472	1795	1595	1860	1811	2848
3981	3643	4570	4498	4810	4400	3955	4800	2826	5541	2452	2810	3938	4552	4058	4469	5958	4548	3813	5737	5526	1458	3728	2739	6024	4070	3413	2940	5158	2825	5942	4569	4201	3226	1691	2901	3896	7139	7638	7032	4365	3680	4473	4179	7061
10377	9383	11908	11849	12683	11537	10512	12302	7306	14426	6341	7430	10377	11739	10633	11693	15764	11996	9810	14984	14399	3364	10041	7331	15717	10762	9098	7680	13078	7273	15769	11779	11284	8131	4666	7695	9533	19051	20356	18972	12103	10008	11548	10664	18475
6797	6198	7120	6941	7687	7054	5890	7625	4553	9158	3924	4664	6169	7064	6440	7281	9340	7382	6178	9662	8665	2603	6147	4432	9903	6760	6416	4920	8176	4343	9957	7748	6178	4460	2606	5149	6123	12242	13985	12402	7237	6999	6582	7031	12315
4271	3204	5243	4825	5534	4635	4286	5183	2896	5280	2862	2988	3761	4646	3890	4464	6070	4183	3975	5878	5842	954	4093	3143	6683	3742	2361	2392	5125	3200	5037	3983	5386	3852	2233	2219	3148	6297	5588	6430	3714	2413	4835	3317	5770
3640	2432	5177	4816	5440	4246	4339	5021	2396	4333	2804	2830	3565	4286	3561	4258	5659	3602	3748	5201	5410	286	3748	2917	6373	3047	1082	1730	4753	3034	4082	2953	5705	3994	2324	1356	2551	4927	3187	5096	3077	1102	4824	2438	4227
1116	729	1638	1616	1683	1406	1498	1560	609	1393	989	1004	1054	1406	1070	1495	1717	1105	1312	1574	1773	68	1182	973	2168	873	380	730	1444	969	1287	1067	1861	1228	671	425	907	1638	1007	1888	994	437	1577	888	1576
229	129	274	270	242	234	222	299	89	191	156	185	215	203	236	282	289	207	200	294	296	0	180	146	332	180	58	175	215	195	207	209	296	239	116	50	155	298	117	304	158	125	301	161	274
