C80M1a_3	C80M1b_1	C80M2_1	C80M3_2	C80M4b_3	C80N1_3	C80N2_2	C80N3_3	C80P1a_3	C80P1b_1	C80P1c_3	C80P1d_3
433	283	1266	656	723	758	752	696	710	939	924	842
521	434	1580	746	975	959	929	831	900	1096	1273	1095
788	1883	3345	2366	1371	1910	1665	1221	1577	2140	2635	2155
3084	1936	12098	6575	5587	7428	6038	4732	5870	7870	9762	8802
6036	1934	11415	5790	9954	9831	8393	8442	8845	10719	10804	10618
1640	7935	4598	2910	2719	2770	2392	2286	2507	3113	3533	2970
3803	6571	16895	10279	7049	9262	7447	6032	7403	9914	12542	11112
9685	919	29046	12515	16483	18951	16277	13878	15460	20439	25131	21975
830	0	2687	574	1434	1668	1270	1070	1314	2057	2308	1750
