C80M1a_3	C80M1b_2	C80M2_1	C80M3_2	C80M4b_3	C80N1_1	C80N2_2	C80N3_3	C80P1a_2	C80P1b_1	C80P1c_3	C80P1d_2
252	173	495	523	259	119	171	216	302	176	556	400
530	398	1275	1154	599	228	416	481	637	371	1388	993
1040	708	2541	2219	1153	452	887	997	1187	621	2698	1935
1959	1296	4522	3883	2246	901	1548	1920	2240	1060	4989	3552
2732	1700	6575	4777	3190	1501	2423	3157	3154	1401	6587	4828
3068	1699	7561	4272	3535	1897	2890	3923	3457	1368	6574	5215
2762	1300	7225	2962	3085	1866	2687	3989	2866	1015	5067	4398
1935	758	5394	1547	1824	1277	1858	2723	1874	516	3182	2720
982	398	2972	1055	833	527	782	1070	753	239	1752	1167
378	167	1357	605	260	197	329	354	258	118	817	418
