C80M1a_3	C80M1b_3	C80M2_3	C80M3_1	C80M4b_1	C80N1_1	C80N2_1	C80N3_1	C80P1a_3	C80P1b_1	C80P1c_3	C80P1d_1
189	119	263	266	203	169	0	0	214	145	291	250
327	209	428	530	326	261	74	65	439	260	521	374
856	558	1134	1152	690	528	219	145	965	629	1430	856
1698	1148	2465	2348	1477	1276	609	310	2071	1385	2873	1913
1915	1438	3174	2788	1848	1852	912	456	2686	1748	3530	2551
1764	1336	3084	2498	1738	2019	883	484	2613	1733	3333	2518
977	786	2024	1306	1057	1647	647	349	1769	1087	2129	1722
224	218	482	295	252	743	230	108	501	180	484	452
