C80M1a_3	C80M1b_3	C80M2_3	C80M3_2	C80M4b_1	C80N1_1	C80N2_3	C80N3_2	C80P1a_2	C80P1b_2	C80P1c_2	C80P1d_2
2324	1917	355	666	433	259	188	741	765	395	740	674
6800	3713	1271	2663	1603	1036	583	2829	2646	1610	2499	2428
15056	5772	3652	7118	4413	2909	2001	8226	7400	4513	7282	6023
20700	7939	7274	15268	8833	4926	3306	12908	14287	9110	14704	12129
16744	6471	8085	16445	8857	3979	2946	10773	14180	9784	14410	12033
10619	3845	7094	13420	7101	2034	1375	5279	9478	8068	11279	8729
4838	1812	5935	6729	4319	1739	1149	4283	6073	3596	6611	6330
2136	539	4120	3843	2454	1199	818	3022	4045	2004	4060	3871
492	78	996	955	699	359	247	697	1038	430	938	946
