C80M1a_2	C80M1b_2	C80M2_1	C80M3_2	C80M4b_2	C80N1_1	C80N2_3	C80N3_2	C80P1a_3	C80P1b_1	C80P1c_2	C80P1d_1
388	296	687	633	89	123	323	71	140	208	601	361
652	521	1292	1180	150	203	303	172	327	282	955	577
1087	710	2048	1381	270	356	459	290	505	441	1357	1002
1236	1437	2275	1190	416	642	726	577	737	576	1361	1339
1169	791	2215	892	734	987	1228	946	962	529	1402	1734
1291	1056	3490	1552	936	2004	2417	1921	1869	513	2745	3073
2384	2193	6797	3640	2034	3482	4571	3323	3823	969	6368	6166
149	270	1048	479	374	939	1166	929	875	147	1194	1360
