C80M1a_3	C80M1b_1	C80M2_3	C80M3_2	C80M4b_2	C80N1_1	C80N2_3	C80N3_1	C80P1a_3	C80P1b_1	C80P1c_3	C80P1d_1
474	274	1123	430	654	132	211	139	530	216	995	488
980	576	2442	973	1413	276	386	294	1212	498	2291	1107
1363	807	3664	1526	2039	494	718	546	1849	803	3477	1666
1256	762	3719	1635	2075	645	876	664	2037	814	3569	1680
683	505	2216	1040	1338	502	691	513	1285	585	2406	1173
476	294	993	528	662	284	386	360	720	270	1309	671
277	282	720	454	596	237	349	297	691	262	996	616
268	301	703	390	472	0	483	318	601	0	1063	510
