C80M1a_2	C80M1b_3	C80M2_1	C80M3_1	C80M4b_2	C80N1_2	C80N2_1	C80N3_1	C80P1a_2	C80P1b_1	C80P1c_2	C80P1d_2
150	106	387	300	233	142	150	99	194	80	252	254
739	391	1570	1097	943	577	658	426	863	382	1368	1023
2681	1537	5858	4094	3560	2379	2287	1520	3107	1362	4766	4226
5260	3102	11725	8043	6845	4867	4393	3093	6170	2693	9673	8556
5743	3502	13365	8951	7669	5716	4901	3428	6911	2941	11110	9766
2872	1792	7117	4424	3722	3360	2796	2089	3788	1383	5895	5440
619	362	1525	879	763	755	631	493	773	270	1427	1146
124	82	339	205	163	169	165	110	185	57	295	261
