MSS1E5_3	MSS1E533_3	MSS1E53311_1	MSS1E53315_3	MSS1E6_1	MSS1E633_3	MSS1E63313_2	MSS1E6332A_1	MSS1E63336_2	MSS1G6_3	MSS1G623_1	MSS1G62332_1	MSS1G62333_1	MSS1G62335_1	MSS1M3_1
594	680	631	746	825	914	938	774	752	870	839	835	874	613	830
1349	1782	1414	1733	1798	2021	1896	1613	1632	2002	1974	1847	1812	1328	1811
3202	3689	2918	4090	3680	4658	4068	3380	3526	4325	3707	3915	3977	2967	3363
5442	6202	4843	6794	6034	7276	6640	5543	5419	7477	6080	6472	6705	4766	5601
3194	3752	3000	3976	3738	4303	4169	3460	3405	4541	3858	4159	4282	2993	3599
5204	6620	4665	6687	6037	7139	6546	5613	5323	7650	6362	6739	6728	4807	5633
8255	10059	7680	10825	9618	11270	10473	9043	8124	12960	9942	10703	10950	8064	8713
2879	3372	2537	3305	3281	3895	3520	3086	2872	4051	3695	3550	3556	2899	3365
3762	4264	3031	4188	3880	5126	4041	3675	3473	4678	4796	4207	4144	3669	4076
4531	5246	3677	5042	4461	5919	4697	4184	3955	5377	5689	4858	4657	4326	4875
2879	3309	2471	3279	2870	3928	3033	2645	2535	3608	3775	3221	3243	2913	3114
4561	5420	3632	4888	4750	5883	4860	4329	3871	5981	5932	5124	4932	4520	5002
5620	6928	4822	6404	6183	7183	5916	5709	5118	7427	7607	6641	6480	5859	6433
