C83L1_1	C83L2_1	C83L3_1	C83L4_1	C83L5_3	C83L6_3	C83L7_1	C83L8_1	C83L9_3	C83N1_1	C83N2_2	C83N3_2	C83P1a_2	C83P1b_2	C83P1c_2	C83P1d_1	C83P1e_2	C83P1f_2
970	433	512	332	743	1135	353	412	317	1859	2133	1535	960	407	910	898	760	962
3171	1756	1711	1248	3006	4990	1313	1565	1023	5555	6548	4743	3094	1465	3045	3572	2641	4158
4413	2618	2375	1803	4420	7346	2006	2273	1597	7982	9053	6538	4323	2235	4343	5521	3783	6103
947	665	520	431	823	1240	726	542	504	1431	1575	1142	1060	514	988	1104	783	1125
647	651	321	268	1075	1595	863	280	507	584	623	438	989	349	936	1532	758	1467
873	1008	507	471	1321	2241	1214	455	492	852	951	664	1247	567	1549	2123	1041	1683
969	1258	703	625	1909	2238	1312	510	802	1255	1457	997	1205	812	2004	2803	1415	2158
809	1245	744	669	2004	1932	1064	460	853	1556	1721	1182	818	662	2105	2855	1454	2268
368	755	543	429	1357	859	465	224	594	1313	1398	981	460	420	1320	1892	912	1432
