C83L1_3	C83L2_1	C83L3_3	C83L4_2	C83L5_1	C83L6_3	C83L7_3	C83L8_2	C83L9_1	C83N1_3	C83N2_1	C83N3_3	C83P1a_2	C83P1b_2	C83P1c_3	C83P1d_3	C83P1e_1	C83P1f_3
507	1003	571	645	818	618	1023	303	420	245	218	279	646	589	676	1529	700	937
1513	2536	1270	1677	2112	1621	2394	969	1421	1007	784	970	1492	1815	1921	4007	2047	2687
3067	4057	1964	2279	3047	2386	3578	1715	2876	2311	1681	1830	2823	2954	3384	6725	4452	5053
3272	3008	1756	1330	1763	1583	2866	1422	2701	3854	2472	2517	2580	2124	3114	5177	5247	4692
2702	2507	1441	1209	1639	1321	1786	1180	1890	6022	4088	3828	2628	1565	3292	3450	5838	3633
2951	2478	1850	2160	1890	1812	1769	1340	2216	8622	5737	5101	2316	967	3462	5141	7848	3232
13323	14188	4926	8537	6676	6846	7490	7783	8829	17260	10331	9005	6533	2879	13204	26407	27348	13478
346	497	320	547	504	365	305	306	328	2118	1633	1519	437	186	718	1458	1709	578
