C83L1_2	C83L2_2	C83L3_2	C83L4_2	C83L5_1	C83L6_2	C83L7_1	C83L8_2	C83L9_2	C83N1_2	C83N2_2	C83N3_2	C83P1a_1	C83P1b_2	C83P1c_1	C83P1d_2	C83P1e_3	C83P1f_3
613	552	1417	654	1088	1291	5928	1362	374	1025	883	932	897	779	1090	943	992	1382
8533	8757	11319	8387	8368	14255	19544	8422	4680	16775	14109	13479	12441	13682	11558	14109	14283	18616
19594	21137	22275	17617	19387	31007	31326	16719	11846	29949	30373	30504	30588	30567	28905	30349	30565	29951
2289	2427	2835	2526	2437	3979	4418	1801	1346	4731	3979	4449	3639	4620	3236	4116	3826	5285
1328	1346	1379	1051	1080	1917	1178	824	516	2797	2532	2311	2475	2283	1928	2806	2127	2935
2050	1902	1593	1349	1410	2554	1185	1001	669	4084	3548	3117	3583	3050	2885	3561	2866	4000
2390	2083	1599	1282	1617	3067	1374	1025	707	4009	4067	3017	3702	2900	3112	3805	2812	3992
467	299	359	275	372	583	286	194	193	842	754	612	881	556	650	763	575	800
