C83L1_3	C83L2_3	C83L3_1	C83L4_3	C83L5_3	C83L6_3	C83L7_3	C83L8_3	C83L9_3	C83N1_1	C83N2_1	C83N3_1	C83P1a_3	C83P1b_3	C83P1c_3	C83P1d_3	C83P1e_2	C83P1f_3
2949	1709	418	819	1057	2220	2169	1096	1540	1558	1287	744	2528	1924	2912	2682	1914	2462
6443	4593	895	1812	2145	4806	4843	2556	3504	1996	1617	927	4709	4472	5987	6347	3053	4959
15749	10980	2142	4214	5387	10952	11162	5967	7939	5304	4440	2469	12387	10644	16352	16723	8424	13646
22545	14407	3104	5667	7825	13862	14833	8328	10496	11098	9359	5223	19603	14492	25264	23518	14079	19179
20613	12644	2734	5153	7260	11740	12866	7118	8877	14882	12435	6714	20008	12785	25146	20232	15253	17603
9781	5536	1642	2542	3805	5136	5483	3200	4139	12360	10835	5819	11178	5621	13144	8851	8291	7978
2394	1412	586	761	987	1347	1406	950	1286	5090	4424	2406	3133	1466	3477	2235	2628	2036
440	368	140	233	239	305	401	185	297	1460	1085	622	856	357	1032	633	800	566
