C89L1_3	C89L2_2	C89L3_2	C89L4_1	C89L5_2	C89L6_3	C89M1a_2	C89M1b_3	C89M1c_3	C89M1d_1	C89M1e_2	C89M1f_2	C89M1g_2	C89M2_2	C89M3_3	C89M4_1	C89N1_2	C89N2_1	C89P1a_1	C89P1b_2	C89P1c_1	C89P1e_2	C89P1f_1	C89P1g_2	C89P1h_1	C89P1i_1
860	359	342	767	848	294	240	2184	2728	652	1299	1396	1654	384	231	483	742	409	740	827	736	1123	1548	1783	760	135
2155	898	891	1658	2160	565	545	5014	6456	1538	3130	3436	4042	888	657	937	1995	1159	1885	2060	1828	2704	4053	4166	1860	312
4704	2002	1885	3251	4463	1054	934	11775	14678	3477	7649	8620	9722	1690	1578	1709	4572	2847	4084	4174	4058	6154	8172	9115	3749	584
8729	4202	4157	6078	8764	1839	1551	20971	24909	5980	13679	14776	17038	3389	2860	3061	9127	5654	8051	8287	7746	10711	15572	18323	7035	873
11322	5859	6347	8400	12089	2268	1917	25419	25918	7213	16939	17161	20772	5170	3579	3818	18266	10900	11689	12168	10526	13420	21335	24840	9593	1146
10865	5781	6949	8744	12340	2107	1635	22427	25737	6327	14291	14384	17103	5277	3384	3639	24871	15410	12977	12413	9973	11757	22422	24425	9472	1253
7914	4048	5329	6707	8709	1404	869	11794	14575	3535	7715	6835	9072	4248	2180	2512	25021	15766	10513	9498	6592	6545	16989	17697	6397	1021
3841	1981	2823	3722	4340	669	218	4021	5256	1337	2388	2098	2733	2572	890	1207	20143	12177	6402	4802	2690	2182	8899	8647	3034	676
1726	975	976	1585	1641	302	79	1348	1951	556	702	572	889	908	403	476	8803	5532	2443	1951	1086	768	3900	3674	1216	294
582	368	335	473	443	115	61	336	586	238	158	119	195	236	121	142	3197	2006	728	581	255	227	1362	1260	340	82
186	94	94	103	58	0	0	76	152	112	0	0	0	0	0	0	888	555	202	128	0	0	380	315	92	99
