C89L1_1	C89L2_1	C89L3_2	C89L4_1	C89L5_3	C89L6_2	C89M1a_2	C89M1b_3	C89M1c_1	C89M1d_2	C89M1e_1	C89M1f_1	C89M1g_2	C89M2_2	C89M3_3	C89M4_2	C89N1_3	C89N2_1	C89P1a_1	C89P1b_1	C89P1c_1	C89P1e_1	C89P1f_3	C89P1g_1	C89P1h_3	C89P1i_2
392	402	360	504	527	174	86	688	811	290	655	771	680	282	244	233	1044	613	498	690	909	429	601	587	529	243
674	748	599	898	899	274	138	1303	1447	537	1256	1377	1092	395	422	383	1921	1001	984	1153	1857	818	1098	1165	886	317
1491	1503	1063	1856	1855	662	195	2251	2685	1039	2396	2445	2068	695	911	944	3504	1784	1665	2016	3594	1500	2213	1934	1613	586
2584	2452	2227	3062	3431	1175	440	4179	5060	1873	4198	4420	4361	1358	1569	1562	6219	3779	3645	4116	7462	2663	3636	4119	2882	1187
5744	5015	4712	6351	7233	2241	766	9421	12196	4070	9933	10492	10104	2778	2771	2838	14442	8886	8418	9382	13714	5566	8126	9565	5771	2171
7565	6387	6057	8403	9912	2695	847	13395	16385	5307	13215	14410	13931	3682	3620	3788	18872	11928	11521	12737	10894	7255	10453	12601	7436	2982
2379	2294	2107	2929	3368	881	306	4792	5754	1846	5042	5543	5103	1297	1106	1186	6586	4525	4148	4778	2948	2567	3382	4577	2309	971
241	189	71	259	244	54	0	532	611	116	494	518	433	98	82	93	729	381	344	319	279	245	382	437	213	0
