C89L1_1	C89L2_1	C89L3_2	C89L4_1	C89L5_1	C89L6_1	C89M1a_1	C89M1b_2	C89M1c_1	C89M1d_2	C89M1e_1	C89M1f_1	C89M1g_2	C89M2_3	C89M3_1	C89M4_2	C89N1_1	C89N2_1	C89P1a_1	C89P1b_1	C89P1c_1	C89P1e_1	C89P1f_3	C89P1g_3	C89P1h_1	C89P1i_1
318	238	296	411	523	145	106	367	411	184	470	452	303	175	244	322	257	241	552	451	679	590	473	812	402	235
696	449	607	829	926	286	138	950	783	326	1019	933	576	267	408	675	571	456	998	950	1459	1248	972	1605	803	456
1580	1106	1416	2010	2137	666	488	2261	2160	1138	2494	2441	1728	891	1069	1599	1413	1011	2550	2158	3347	2900	2076	3543	2213	1077
3051	2220	2625	3859	4161	1470	1023	3884	3774	1809	4385	4212	3053	1642	2162	2972	3027	2591	4816	4429	6252	5087	4312	6413	4039	1828
3593	2768	3167	4629	5291	1669	856	4519	4486	2070	5192	4907	3561	1908	2539	3493	4349	3669	6143	5465	7699	5997	5386	7526	4780	1981
3060	2435	2761	3890	4493	1527	455	3341	3285	1526	3887	3836	2695	1861	2392	3076	4284	3603	5484	4702	6811	4738	4401	6342	3908	1691
1456	1162	1478	2013	1863	776	197	1189	1327	627	1530	1463	963	1171	1329	1473	2752	2348	2597	2255	2881	1979	1869	2984	1500	961
605	472	581	787	835	454	119	763	779	400	907	918	654	502	586	696	945	801	1151	881	1188	1217	626	1444	698	432
266	215	223	391	489	380	104	647	582	253	690	685	502	291	269	524	348	285	493	421	581	887	204	888	440	184
