C89L1_1	C89L2_3	C89L3_3	C89L4_2	C89L5_2	C89L6_1	C89M1a_1	C89M1b_3	C89M1c_3	C89M1d_3	C89M1e_3	C89M1f_3	C89M1g_3	C89M2_2	C89M3_1	C89M4_2	C89N1_3	C89N2_1	C89P1a_2	C89P1b_1	C89P1c_3	C89P1e_2	C89P1f_3	C89P1g_1	C89P1h_3	C89P1i_2
721	493	441	523	480	432	262	1138	971	442	919	646	725	181	379	257	495	452	521	627	451	726	1017	1446	720	184
2400	1923	1377	1954	1918	1721	863	4158	4217	1392	3430	2944	3069	687	1382	914	2166	1625	2094	2351	2171	3067	4588	5058	2849	724
6654	5404	3720	5922	6541	4862	1618	13130	11932	4349	10925	9316	10459	1791	4098	2930	5086	4270	6549	6931	7823	8316	12771	13229	8646	2018
11332	9216	7262	9860	11694	8375	2195	23032	20104	7494	19126	16568	18740	3308	6772	5100	11483	9064	11109	11587	14312	12517	22938	20604	14782	3460
13478	10919	9512	11124	14600	10156	2436	26820	23434	8536	22573	19926	22165	4327	8039	6043	16825	12820	12565	13346	18106	12379	28134	21505	18103	4296
11126	8749	8636	8791	11835	8097	1712	19693	17779	6431	17234	15053	16746	3919	7001	5003	17595	13188	9565	10185	15573	7033	24757	14742	14597	3692
4039	3941	4194	4052	4814	3270	360	5349	5731	2035	5579	4864	4923	2010	3444	2414	10474	8153	4355	4558	6556	1441	11234	5509	5610	1813
279	489	470	335	405	308	0	835	890	348	697	468	575	176	517	228	1857	1369	301	382	594	237	1666	791	533	171
