C84L10_3	C84L11_3	C84L12_3	C84L13_3	C84L14_3	C84L2_3	C84L3_3	C84L4_3	C84L5_3	C84L6_3	C84L7_3	C84L8_3	C84L9_1	C84N1_3	C84N2_1	C84P1a_3	C84P1b_3	C84P1c_1	C84P1d_3
1450	1388	1689	235	1433	2580	1673	978	1501	1032	594	3200	536	1471	721	2225	993	640	747
5618	4370	5888	885	3592	3662	5692	3979	5779	2707	1868	2053	1847	6077	2729	8835	3924	2454	3045
12673	9732	13452	1694	6694	5821	12998	9600	12584	7130	4146	2283	4736	15761	6753	20775	9639	6280	7365
14295	11026	16431	1512	7472	6231	15694	12441	14184	8991	4716	2221	5961	19860	8484	23876	12870	7099	8604
5794	4666	6212	807	2524	2306	6195	3924	5229	4050	2352	1046	3186	8785	3833	7635	7449	2930	2695
8192	6795	8576	1242	3137	3649	8793	4757	7440	4937	2869	1930	5210	14240	6040	8724	10617	4422	3631
8425	6109	8018	1039	3322	3357	8267	4157	8012	4547	2862	1998	5168	15158	6274	8123	6119	4294	3285
976	890	1006	156	408	435	1040	537	934	1245	437	183	504	1737	885	1143	732	401	265
