C84L10_3	C84L11_3	C84L12_2	C84L13_2	C84L14_3	C84L2_3	C84L3_3	C84L4_3	C84L5_2	C84L6_3	C84L7_1	C84L8_3	C84L9_3	C84N1_3	C84N2_1	C84P1a_2	C84P1b_3	C84P1c_1	C84P1d_3
404	930	306	0	1321	1668	462	280	144	2285	169	1113	537	403	232	527	815	184	288
1710	3313	1847	266	5849	5233	2316	1733	734	5065	875	4950	2565	2301	1086	2062	3091	1029	1469
5437	5675	4273	973	7004	5746	7684	5708	2082	8602	2449	7399	8134	8839	3918	5900	8903	3323	4560
9893	6914	5585	1653	5520	8795	14362	10062	3586	10272	3863	6122	14132	17656	8109	10046	16871	6270	7790
9450	5774	5254	1487	4242	2758	13941	9030	3944	5613	3329	2246	13733	19933	9015	9485	16664	6350	6593
2547	1304	889	462	911	620	3146	2597	978	1358	549	304	3223	7036	3361	2366	4994	1457	1204
1080	606	354	327	551	378	1284	1064	456	191	163	83	988	5225	2567	619	1334	377	357
920	309	272	276	289	298	896	662	338	139	143	0	784	4741	2372	420	538	209	243
520	137	155	167	115	0	595	364	174	78	74	0	470	2977	1511	211	239	99	198
