	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5G_2	HT29_G2_5H_1	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6C_2	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.000825554536415979	0.018056727060707	0.0150010330522517	0.00733156655626993	0.00800334337191309	0.000788429469002958	0.000693220636583863	0.000240017781896739	0.00117480631035222	0.00526084552097969	0.00741392466076296	0.00265965183913133	0.00650029758122421	0.00332611896282945	0.00413443341403027	0.00495487993069155	0.0116471994500227	0.00813457144429149	0.00588419576396546	0.00398320342318264	0.0149753122405777	0.00889209479517994	0.0109282930611098	0.00252953185615284	0.000317738450387145	0.00470844575701384	0.00114072468306338	0.00582639984687693	0.00311081272050611	0.00619532957714629	0.00242398890134969	0.00547761380485742	0.00655958059103366	0.00950202470234696	0.0158205655423561	0.00111957206303603	0.00516222625721809	0.00462899879455602	0.00163551397737439	0.00391742199524942	0.0017524029972986	0.00372342599536392	0.00827832647191581	0.00394958402094242	0.00633460163201368	0.00485555284781177	0.0010411089871765	0.00709682768756027	0.00432158401473195	0.00352587359958695	0.0112581819454752	0.00205950158277035	0.00532287301189216	0.00306240764099058	0.00108792829105775	0.0104716357339266	0.00202398008812583	0.00150895567432578	0.000638671806166476	0.00377275073223159	0.000702169767385059	0.0123131228628352	0.010365827314506	0.00218257921429348	0.00338304232050382
HT29_G1_1B_2	0.000825554536415979	0	0.0172313004029259	0.0158264858097967	0.00650603188996141	0.00882886789038554	0.00161398346979123	0.000132333938095852	0.000585536813441927	0.00200035985716353	0.00443530073008063	0.00823945326611161	0.00348520246472136	0.00567475842721917	0.00250056790872441	0.00330888459958121	0.00412933394314883	0.010821697134076	0.00896009501183655	0.00505865364996449	0.00315765414849729	0.0158007653411606	0.00971761258074918	0.0101027843082899	0.00170397912626935	0.000507816153845517	0.0038828988618593	0.000315170297454642	0.00500085747121277	0.00228526116136533	0.00702086567844665	0.00324954011549401	0.00465206990852565	0.00573404173831572	0.00867650441571636	0.014995108780064	0.00194512568253264	0.00433668107215945	0.00545454265124213	0.000809959996763458	0.00309187252628881	0.000926849142369786	0.00454897337587015	0.00910384898058688	0.00312403464650351	0.00716013694153497	0.00568109571310613	0.000215554545275561	0.00792235836704055	0.00349603579610504	0.0043514216556807	0.0104326760946274	0.00288505361424617	0.00614841369312589	0.00388795715135896	0.00191348195096595	0.00964612310903682	0.00284953219320549	0.00233450872672613	0.000186882780503511	0.00294720084861443	0.000123384805211177	0.0114876268807505	0.00954031381652037	0.00300813098236692	0.00255749140638388
HT29_G1_1B_3	0.018056727060707	0.0172313004029259	0	0.0330532132385203	0.0107258617447603	0.0260581748290039	0.0188450226957613	0.0173636146466203	0.017816747748729	0.01923132976465	0.0127964833966222	0.0254689367027817	0.0207158814502923	0.0115571000815219	0.014731047192216	0.0139228089876698	0.0131024277555515	0.00641018987243232	0.0261893618000975	0.0121731711842713	0.0140740256146471	0.0330275039018566	0.0269466415010879	0.00712912568416266	0.015527547541553	0.0177390393103668	0.0133488435993426	0.016916175776879	0.0122309638697099	0.0149463311239337	0.0242506941483479	0.0204802678782872	0.0125797291321325	0.0114978196673048	0.00855542535578472	0.00223647377548655	0.0191761056605307	0.0128950960016464	0.0226847754415448	0.0164214542753697	0.0141398011002179	0.0163045806167356	0.0217794199148463	0.0263330714280364	0.0141076419896914	0.0243899273306165	0.0229112727394811	0.0170157772817985	0.0251519341614946	0.0137356743513579	0.0215819128828781	0.00679922443097184	0.0201158548808237	0.0233784727941075	0.0211185504949059	0.019144467674196	0.00758579695870397	0.0200803404974409	0.0195654165629933	0.017418155280979	0.014284459018299	0.0173546668551046	0.00574423107683212	0.00769160808318962	0.020238907691672	0.0146741295922444
HT29_G1_2A_1	0.0150010330522517	0.0158264858097967	0.0330532132385203	0	0.0223313349850926	0.00699813107234776	0.0142126910582709	0.0156941689245927	0.0152410223163451	0.0138263536059622	0.0202610530406819	0.00758755136948777	0.0123416380802943	0.0215002499598944	0.018326678720541	0.01913485285415	0.0199551468971552	0.0266458486476248	0.00686690190106718	0.0208842778357676	0.0189836498640365	2.57238758175654e-05	0.00610936688682462	0.0259271477112019	0.0175302202503295	0.0153187335616625	0.0197087595833035	0.0161416143593382	0.0208264937943508	0.0181114081923305	0.00880613240151079	0.0125772826539991	0.02047777835961	0.021559520191713	0.0245012645289163	0.0308178735955085	0.0138815823628232	0.0201624530910664	0.0103724109640472	0.0166363353009746	0.0189178800733638	0.0167532076299679	0.0112779361287707	0.00672314535753768	0.0189500364174699	0.00866686313236627	0.0101458668327231	0.0160420119746256	0.00790464693212294	0.019321969564574	0.0114754764408006	0.0262569432570007	0.0129417398818909	0.00967856460726532	0.0119389116765249	0.0139132229682047	0.0254706169592731	0.0129772583344723	0.0134922364578711	0.0156396270301521	0.0187732341746357	0.0157031169132928	0.0273115750138063	0.0253648374311338	0.0128186726403418	0.0183835925190786
HT29_G1_2A_2	0.00733156655626993	0.00650603188996141	0.0107258617447603	0.0223313349850926	0	0.015334450776863	0.00811997229278262	0.006638362946976	0.00709155507578013	0.00850633580307833	0.00207076111240995	0.0147450825364525	0.00999111965485648	0.000831288823328054	0.00400549672519494	0.00319718184003102	0.0023767299657839	0.00431581634802451	0.0154656672482525	0.00144740209969936	0.00334841227816081	0.0223056178375303	0.016223121033946	0.0035968700898623	0.00480207954090238	0.00701383635566094	0.00262316626829394	0.00619086798872411	0.00150519894947328	0.00422080227025644	0.0135265833347892	0.00975546761500335	0.0018539901014819	0.000772004564716454	0.00217053361830766	0.00848948662481853	0.00845110353013404	0.00216938150293779	0.0119603591093479	0.00569608700791819	0.00341419384810136	0.00557919968626502	0.0110548393938185	0.0156094094150598	0.00338203175696319	0.0136658450076373	0.0121868989074386	0.00629048179046676	0.0144280116100837	0.00301003045277779	0.0108572977514878	0.00392677680949071	0.0093909963266416	0.0126541884320046	0.010393855860785	0.00841946087894523	0.0031401893624782	0.00935547634068432	0.00884047273413501	0.00669291056739415	0.00355886531129928	0.00662941401241825	0.00498177999131628	0.00303437573493116	0.00951406865716278	0.00394857349464408
HT29_G1_2A_3	0.00800334337191309	0.00882886789038554	0.0260581748290039	0.00699813107234776	0.015334450776863	0	0.00721493737943486	0.00869653917580071	0.00824335299923586	0.00682857018623809	0.0132639031519867	0.000589436902740011	0.00534375033100748	0.0145032555167501	0.0113293076424702	0.0121375709966249	0.0129579602841668	0.0196496132763256	0.00013123252068281	0.0138872047872795	0.0119863509651355	0.00697240786927047	0.000888784386449332	0.01893079539733	0.0105327657426537	0.00832107092636791	0.0127115438670854	0.00914402511400468	0.013829413507473	0.0111140141236391	0.00180806035038364	0.00557941040497665	0.0134806548846221	0.0145625334513507	0.0175046906593722	0.0238223862651338	0.00688380312923018	0.0131652912939404	0.00337440936493429	0.00963879249298666	0.011920573811953	0.00975567604564531	0.00427998339712262	0.000274992587181158	0.011952733751966	0.00166878568328839	0.00314785393856572	0.00904441359006857	0.000906542454990788	0.0123247090181368	0.00447753515888554	0.0192606441678916	0.00594389239346451	0.00268052959341885	0.00494099836325433	0.00691544614269133	0.0184741921936514	0.00597941331021109	0.00649442817953863	0.00864199244146155	0.0117759118278877	0.00870548796054951	0.0203154511050744	0.0183683960816783	0.00582081668407072	0.0113862275738569
HT29_G1_3E_2	0.000788429469002958	0.00161398346979123	0.0188450226957613	0.0142126910582709	0.00811997229278262	0.00721493737943486	0	0.00148164969254002	0.00102844715162803	0.000386377024264575	0.00604926226983676	0.00662551514741669	0.00187122437961244	0.00728870814272342	0.00411454294823627	0.00492285473616872	0.00574329802085101	0.0124355714928887	0.00734616627488478	0.00667260955200791	0.00477162528297506	0.0141869699356443	0.00810369465655266	0.0117166717173664	0.00331795795881392	0.00110616777794342	0.00549686487383482	0.00192915326775181	0.00661481392229555	0.00389923732789591	0.00540691369528846	0.00163556103267348	0.00626602955879861	0.00734799082635359	0.0102904152984074	0.016608891376059	0.000331142743399947	0.00595064344645427	0.00384057652202653	0.00242394185447684	0.00470584408324276	0.00254083067861913	0.00293500094494073	0.00748992222055569	0.00473800599779747	0.00554618641599889	0.00406713137512	0.00182953769080873	0.00630841639900879	0.0051100046464637	0.00273744803212921	0.0120465576164302	0.00127107316998922	0.00453445332189919	0.00227398098525433	0.000299498953324844	0.0112600183841689	0.00123555162809547	0.000720526643712193	0.00142710090874347	0.00456117331006472	0.00149059881564482	0.0131014884250673	0.0111542108671831	0.00139415097311199	0.00417146613532702
HT29_G1_3E_3	0.000693220636583863	0.000132333938095852	0.0173636146466203	0.0156941689245927	0.006638362946976	0.00869653917580071	0.00148164969254002	0	0.000453202892881152	0.00186802617070513	0.00456763331340721	0.00810712386892362	0.00335286931585376	0.00580709016480142	0.0026329014057212	0.00344121777527311	0.00426166670398071	0.0109540232067583	0.00882776645580611	0.00519098583325416	0.00328998739091033	0.015668448399765	0.00958528498690723	0.0102351113792553	0.00183631285467343	0.000375482228129216	0.00401523175669354	0.000447504226596057	0.00513318969375034	0.00241759472924858	0.00688853502282532	0.00311720686129159	0.00478440235855632	0.00586637343035922	0.00880883326897448	0.0151274277452288	0.00181279198183709	0.00446901371405834	0.00532221067935357	0.00094229388397795	0.00322420579676458	0.0010591830147702	0.0044166407968384	0.00897152060099852	0.00325636790334432	0.00702780641931256	0.00554876391070327	0.000347888478480628	0.00779002862257348	0.00362836888501188	0.0042190889591591	0.0105650027158106	0.00275272021204719	0.00601608226262324	0.00375562420006768	0.00178114824231261	0.00977845077938748	0.00271719877753586	0.00220217513512275	5.45488435323288e-05	0.0030795341788029	8.94913633521907e-06	0.0116199519692029	0.00967264162188809	0.0028757976281053	0.00268982488359239
HT29_G1_3F_2	0.000240017781896739	0.000585536813441927	0.017816747748729	0.0152410223163451	0.00709155507578013	0.00824335299923586	0.00102844715162803	0.000453202892881152	0	0.00141482388871208	0.00502083094879318	0.00765393543411605	0.00289966867443553	0.00626028473654053	0.00308610243124974	0.00389441759145312	0.00471486498870151	0.0114071976835723	0.00837458080452576	0.00564418201464799	0.00374318745598279	0.0152153016025617	0.00913210252856914	0.0106882893718314	0.00228951478041552	7.77206720767405e-05	0.0044684305335263	0.000900707026491288	0.00558638601734215	0.00287079602671902	0.00643534244267849	0.00266400589089854	0.00523759950826385	0.00631956783817664	0.00926201755779125	0.0155805773182169	0.00135958965856667	0.00492221156336085	0.00486901380278317	0.00139549647399363	0.00367740596686446	0.0015123855388649	0.00396344196330479	0.00851833553457646	0.00370956802232602	0.00657461427730899	0.00509556758401804	0.000801091307262387	0.00733683904125387	0.00408156837879362	0.00376588974981932	0.0110181791234865	0.00229951878385987	0.00556288714653915	0.00330242418085551	0.00132794589607882	0.010231630886249	0.00226399730805473	0.00174897313285667	0.000398654055358895	0.00353273457291966	0.00046215202509045	0.0120731229854684	0.0101258222054165	0.00242259634758239	0.00314302583372575
HT29_G1_3F_3	0.00117480631035222	0.00200035985716353	0.01923132976465	0.0138263536059622	0.00850633580307833	0.00682857018623809	0.000386377024264575	0.00186802617070513	0.00141482388871208	0	0.00643563165710191	0.00623914636549598	0.00148484790596911	0.00767507421034602	0.0045009163306437	0.00530922662592611	0.00612966813642772	0.0128219174907448	0.00695979945460917	0.00705897734372103	0.0051579974712759	0.0138006323369087	0.00771733012595128	0.0121030211228141	0.00370433256364442	0.0014925444763904	0.00588323554968099	0.00231552941114264	0.00700118186824331	0.00428561106510384	0.00502054207505698	0.00124918441312083	0.00665239840820638	0.0077343567203823	0.0106767708857085	0.0169952137617925	5.52342849813207e-05	0.0063370130724165	0.00345420213335639	0.00281031753622945	0.00509221639865918	0.00292720623739387	0.00254862540500116	0.00710355581683056	0.00512437825126659	0.0051598150897831	0.00368075732585447	0.00221591391554265	0.00592204682067953	0.00549637615447549	0.00235107228461054	0.0124329054824245	0.000884696368290558	0.00414808003785858	0.00188760481199696	8.68780763310432e-05	0.0116463698527502	0.000849174811504718	0.000334149667087641	0.00181347742236246	0.00494754589907211	0.00187697528785134	0.0134878310926953	0.011540562802535	0.00100777422705523	0.00455783942092876
