	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.00679736196991424	0.0177447635608892	0.00635939567353531	0.00945761439374695	0.0137674248471226	0.00854717251202599	0.0102949851661117	0.0121507950595058	0.0077247252771861	0.00835934491634303	0.0244837625886386	0.00679386451239492	0.0124677803745867	0.01182462543805	0.0121184750694293	0.0208072230899075	0.00530286400739764	0.00612073134709762	0.0063258435508562	0.0123098197108053	0.0129888988166871	0.00828851922191239	0.00425971162823734	0.0105870108439874	0.00194584109941205	0.00565229780742966	0.0018701251788519	0.0036035242841944	0.00961507652916903	0.00255460687236214	0.00198369324341424	0.00694445864008327	0.00473193237640988	0.00733105007297881	0.00616528075040084	0.00639654457084668	0.013851281669107	0.00896544466832628	0.00779284395803183	0.00639179145318461	0.0092656261492241	0.0118877336198714	0.01839050966774	0.00999369915605306	0.00846042877380409	0.0161045869024012	0.00590877321178515	0.0067384425694907	0.0234448249569086	0.00553619016698876	0.0195378668368445	0.00964208905782751	0.00217040664441216	0.0179375430235541	0.00829454282962206	0.0112687717252125	0.0155676094688393	0.0112060122128407	0.0146450469594884	0.0251526688003056	0.00915180976675356	0.0057707905267042	0.0305815871109407	0.00300150544456832	0.0097260619038545	0.00654418013262098	0.00975869313581763	0.0063195465176951	0.00881045355183366	0.00975762840535718	0.0183503593823508	0.00556979723628122	0.00364430285085682	0.00647117084459719	0.00658221387330464	0.00659103227321256	0.00554674967062393	0.0103266878646754	0.00913476221389828	0.00994132920840578	0.00657413717091821	0.00754700699795942	0.00750283072116419	0.00712098244737045	0.00297777070721432	0.0215326257821661	0.0104780638992903	0.0187309895377254	0.0288829289662801
HT29_G1_1B_2	0.00679736196991424	0	0.0111843290837431	0.00464880657545868	0.00672719270562959	0.00826390692740195	0.00622766614453098	0.00351747140789037	0.00841009150888491	0.00314732373798213	0.00807417248451507	0.0186601344993546	0.012162924331628	0.00707446612929684	0.00740171244290327	0.0080162718514169	0.0140435937814023	0.0117036226030758	0.00327984896015579	0.00719583273682311	0.0180127506580933	0.0195096541101302	0.00451987089387424	0.00332400927213174	0.00462711137176802	0.00755703789174977	0.00838829543121066	0.00852765531375859	0.00709245906757062	0.00742339124345481	0.00520730109573114	0.00486817363490363	0.0134597870675419	0.00736943230817662	0.0130110510888687	0.00987841603308022	0.0128240826823524	0.010077368758709	0.00771467225052018	0.0098245162253737	0.00516800557296867	0.00462186677444685	0.00810975373525494	0.0118737400865559	0.0071104584006396	0.0147249110946135	0.0103170821552196	0.00263108300347599	0.00324709124724232	0.0170624338562614	0.0108439776789648	0.0135676641880803	0.00680842650622133	0.00593165935702912	0.0136571761489601	0.0088751049836876	0.00462700980815832	0.00887982065798439	0.00465433618126973	0.00898831146049337	0.0184373414933591	0.0135408400409978	0.0050234278608703	0.0248186816908924	0.00922091453415447	0.00705898536061846	0.0015846571968636	0.00568715774924215	0.0130089561485995	0.00526386367751345	0.00385659253962804	0.0133842619008686	0.00642387899195291	0.00456299792560469	0.00811995740628757	0.0129234412422466	0.00566769450862132	0.0114492387057257	0.00566293968237255	0.0153242948811684	0.00757596545007393	0.00389045504163478	0.00547779715719412	0.00762335881493093	0.00773221750396201	0.00870724866707899	0.0150926624817781	0.00593285914710191	0.0120007919562935	0.0234873673812451
HT29_G1_1B_3	0.0177447635608892	0.0111843290837431	0	0.0144073541750038	0.0111383578933585	0.00684298556855445	0.0140548645245397	0.00797493999033024	0.00940963672993443	0.0115808469136384	0.01415182535796	0.0118661056190036	0.0215348999485743	0.00840315399617426	0.00900381276538684	0.00891767128295524	0.00629947760700477	0.0220899909891223	0.0132789947326502	0.0150587696925475	0.0279030887140273	0.0303336681956004	0.0105442482492213	0.0137221602662173	0.00801527392922704	0.018524469579037	0.0172073483469376	0.0193063605914457	0.0168819348509069	0.0148090130355002	0.0163039992984296	0.0157637268965462	0.0240624966397925	0.0182084792455083	0.0227281096757012	0.0197997086028414	0.0232464002657458	0.0102621177260367	0.0160345946742484	0.0182345479215974	0.0129680959825258	0.00932659727760049	0.00937633581689023	0.00161979511261952	0.010892238806904	0.0248700989617362	0.0042097658208988	0.0120489896451315	0.0114812286777768	0.00832214219476282	0.0204631660697015	0.00491857692229872	0.0110750187633464	0.0170637943908132	0.00963713792703031	0.0153686514228796	0.0071860690235019	0.00262420836515565	0.00833070761883935	0.00512350925511351	0.00807260827664486	0.0232779603419799	0.0141126010414167	0.0155598145163795	0.0199023585641693	0.0112696729416204	0.0114367682086352	0.00967577434471975	0.0239723903685373	0.0121754959780088	0.00827373238005584	0.0081581340659624	0.0169300621167587	0.0147335806763302	0.0176451874537645	0.0231605005459164	0.0132761301190853	0.0215651043895467	0.0116772227345987	0.0256935815391577	0.0116222686605742	0.0123832906542454	0.0147210332755229	0.014985214263033	0.0158612469290053	0.0190718550167023	0.00670520078281463	0.0108950310854836	0.00268059630207413	0.0141215030288473
HT29_G1_2A_1	0.00635939567353531	0.00464880657545868	0.0144073541750038	0	0.00991309227283045	0.0127854719248636	0.0027319133088721	0.0071574896559985	0.0119155463177347	0.00295515635353057	0.0108505010632623	0.0226414377021157	0.0120698894783474	0.0115509574372711	0.0119812147812445	0.0108819159261422	0.0164248974805234	0.0105723955426302	0.00146542650113679	0.00982270482574941	0.0153558790742133	0.0170035847202252	0.00862441177241093	0.00590687989330298	0.00914140067296506	0.00749367979686142	0.00791642530159298	0.00816259165526878	0.00676675857918153	0.00358395455719007	0.00386416334200449	0.00520469329452774	0.0116519675911263	0.00434169788019298	0.011807682667533	0.00661384490796603	0.011348142921967	0.0146407300649968	0.00329980635264688	0.00742263965361147	0.00812618289694407	0.00778993664634413	0.0114656512877973	0.0153937383145257	0.0105360781563642	0.0131948758716771	0.014224145040502	0.00630533213257468	0.00596407986779702	0.0207501058827163	0.01034887584343	0.01760030163925	0.0106440191622975	0.00567074286914161	0.0179482347624695	0.0117171794500658	0.00850705441640648	0.0122179930191003	0.00762295880324106	0.0130986158132623	0.0214952704423286	0.0100897392509747	0.00830667437621209	0.0289705477611084	0.00773079670471578	0.00963771449251645	0.00592562192164992	0.00840938485172105	0.0112005503102014	0.0092169430902129	0.00832176196061692	0.0178133817505267	0.00315418232466673	0.00495315690554912	0.00427189305542357	0.0117789061203258	0.00750600682141566	0.0101265687927852	0.00423891245838798	0.0130539122092158	0.0111133471513231	0.00460527128850926	0.00193815101593159	0.0110384951533626	0.0108942226871738	0.00776450050026537	0.0187416040927827	0.00511798439016935	0.0151660935536996	0.0274200675438232
HT29_G1_2A_2	0.00945761439374695	0.00672719270562959	0.0111383578933585	0.00991309227283045	0	0.00791261131006829	0.0104295466678759	0.00765064723637197	0.00278544363038049	0.00789544222844884	0.00320259974093767	0.0194382077723905	0.0108534158012417	0.00872616834891999	0.00571003587642201	0.00345028318095472	0.0163894255355393	0.0122731759369737	0.00854544321116035	0.00481446422884356	0.0184519531975862	0.0210468281453108	0.0030872518564014	0.00634424340271024	0.00669812664502558	0.0106075692748042	0.00745854421734392	0.010373570545907	0.00747034912735958	0.0119805743962178	0.00940200768021144	0.00789683733708621	0.0145293174964719	0.0123803989685088	0.0124962617019906	0.0121211234802392	0.0134674606807406	0.00736011137124913	0.0127316091890149	0.0103133119992993	0.00322645997975165	0.00310203314841899	0.00256342623204814	0.0117345318050753	0.000802620935280377	0.0147751827339836	0.00818701069364326	0.00495290074310766	0.00397538624193679	0.01769433779153	0.01013114048821	0.0119890123833215	0.00210468343959712	0.0100347159790872	0.00943997076143247	0.00484024359972069	0.00799418482930247	0.00999749220781308	0.00954715921528785	0.00700329388336372	0.019005109822721	0.0153065380973454	0.00724007152121827	0.0231523293385307	0.0109340854770504	0.0015831571126753	0.00611139842211056	0.00277799991733363	0.0149724935226025	0.00881521480636436	0.0052727061030668	0.0105637610812901	0.011996436193751	0.00645095955670721	0.0112820793899193	0.0131043235761299	0.00339801629110536	0.0117245798826107	0.0108903191811876	0.0161633442136494	0.0017023872607503	0.00557599421136049	0.011464262798821	0.00661745249268224	0.00845721426260902	0.00969543765344309	0.0159915105385902	0.00911808460547421	0.0130735635331235	0.0200899645964708
HT29_G1_2A_3	0.0137674248471226	0.00826390692740195	0.00684298556855445	0.0127854719248636	0.00791261131006829	0	0.0136782554031871	0.00614293902116099	0.00692828293405903	0.0104297680794966	0.00991708072155016	0.011617802955582	0.0173816148642743	0.00272877112266646	0.0029144859223079	0.00798457504771352	0.0109894809273142	0.018158493947673	0.0114091123858303	0.010241787079315	0.0251150028164285	0.0266653961256996	0.0061706744768223	0.00952149385346063	0.0037095026020672	0.0140665767859065	0.0144128439765916	0.0150027635006838	0.0135924942350152	0.0147972297358441	0.0130605574428402	0.0119693403107204	0.0203231423893298	0.0154254301667636	0.0192004858766323	0.0176939633846855	0.0194397310290389	0.00420145090883765	0.0154969784985812	0.0167794345354311	0.00882335196951266	0.00724363394204937	0.00718332304411703	0.00639523491707523	0.00742656957217753	0.0211499609211669	0.00459431891123901	0.00803547246869558	0.00865893806591369	0.0104226986515007	0.0166887085381854	0.00627854127926756	0.00662334950304494	0.0130561140011377	0.00694154283432098	0.0104693834353085	0.00499025872701458	0.0054742359120596	0.00695365488078741	0.00332029556170643	0.0129352468722778	0.0212927843911495	0.0087657685357278	0.0168396102280191	0.0163244171194345	0.00896995940303259	0.00755582631652129	0.00801197239071664	0.0199936448657769	0.00677462356824369	0.00459774652562881	0.00556844176908543	0.0145169504739708	0.0115451228920634	0.0161138327489886	0.0192141960863651	0.0102375042589841	0.0180077911896766	0.0119104005623513	0.0223616708680247	0.00754789542207065	0.0104602936951555	0.0133144692983403	0.00907442210706503	0.00980202587886713	0.0154487483488762	0.00878014442854985	0.0115902052126943	0.00752503251344779	0.0161123956490533
HT29_G1_3E_1	0.00854717251202599	0.00622766614453098	0.0140548645245397	0.0027319133088721	0.0104295466678759	0.0136782554031871	0	0.00791796950713475	0.0121251942034906	0.0032920430689118	0.0118265954780623	0.0233840482777396	0.0133445589799653	0.0128524506068045	0.0130818730705274	0.0106162337142328	0.0160876771458659	0.0120424641997895	0.00332471195937205	0.0113136405796594	0.0158005134851004	0.0181940897865816	0.00975726062069522	0.00796016086894303	0.010254336956528	0.00994250347649019	0.00848569009950827	0.0102514506628061	0.00797209270204663	0.00158709510898733	0.00625345497784979	0.0073843568892165	0.0130125073955119	0.00657835567422009	0.0127746898412076	0.00704285960845487	0.0127017104884466	0.0157676878914282	0.00264764402538135	0.006906242754103	0.00937322999133643	0.00804474362466521	0.0115905285002301	0.0152596839837433	0.0111026884664436	0.0143166792219749	0.014258835650417	0.00792334721160293	0.00681392943005441	0.0210201157237401	0.0115313349491446	0.0177292496581725	0.0115658991365235	0.00824291769766103	0.0184106093845172	0.0130046156665173	0.00930509466509133	0.0121673329495716	0.00845876156985621	0.0133729251831915	0.0211612725546675	0.0101975609472683	0.0105107851439563	0.0292086548509047	0.00933876748105796	0.0097714764495279	0.00767329116481766	0.00839583218540072	0.0129197402348181	0.0112849628132821	0.00926715315942372	0.0183608236877181	0.00549495095638114	0.00645653393364995	0.00433239230909375	0.0131369954079348	0.00819792681841497	0.0113047696598947	0.00355035731418374	0.0140168782236996	0.0118859190297454	0.00498055246389407	0.00359597558826171	0.0129467926124212	0.0131277166319144	0.00926176274030561	0.0190236149959836	0.00343661502638222	0.0150014311161002	0.0272255968671679
HT29_G1_3E_2	0.0102949851661117	0.00351747140789037	0.00797493999033024	0.0071574896559985	0.00765064723637197	0.00614293902116099	0.00791796950713475	0	0.00818057422464225	0.00482607435884212	0.00988177385415567	0.0156638821118145	0.0153904857680145	0.00520636888997922	0.00655391302993672	0.00771697500962645	0.010584572382943	0.0151756029778117	0.00596518406940865	0.00958412570147824	0.0213629499697357	0.0230051639887997	0.00548540385321431	0.00650735895894308	0.00289281941015776	0.0109116247125859	0.0113736864192613	0.0119920578523938	0.0103652415682889	0.00884168918804611	0.00864986637122118	0.00836523410163939	0.0169650384303673	0.0104277199452911	0.0163588528744486	0.0130301479613892	0.0163084282671265	0.00922959527200073	0.00951710682841739	0.0125552262772044	0.00739517675610616	0.00503330082323034	0.00794798377033822	0.00861911796333785	0.00778705009456313	0.0181721160030927	0.00789653136835099	0.00526075640397837	0.0054448640861907	0.0137300490813226	0.0141389556641139	0.0107203559668286	0.00751567711044675	0.0092818801462082	0.0121716786131281	0.0108340390070496	0.0013931652608334	0.00551229040357254	0.00191790881781213	0.00679136040536825	0.0149496031740002	0.0166756659715942	0.00731567783768809	0.0218659116452081	0.0127233749022194	0.00801563258131955	0.00408455952451261	0.00614702815175577	0.0165167553185678	0.00577743604496581	0.00286894458115735	0.0113357245670764	0.00920499588737575	0.00787980274191646	0.0109536728296849	0.0163758087224726	0.00797748176571253	0.0148710671742126	0.00582131303981303	0.0187852393135441	0.0084057996184008	0.00628266136973449	0.00743450441492965	0.00950342112118276	0.00974019795100908	0.0121590536240127	0.0117365617653274	0.00617176779997008	0.00852832869122208	0.0209125986549246
HT29_G1_3E_3	0.0121507950595058	0.00841009150888491	0.00940963672993443	0.0119155463177347	0.00278544363038049	0.00692828293405903	0.0121251942034906	0.00818057422464225	0	0.00947705044870636	0.00543304566278214	0.0178938450784605	0.0134701884116075	0.00856360646517954	0.00526579716242603	0.00235700307265173	0.0152061112944034	0.0150394638251469	0.01051246146792	0.00729050330367593	0.0210510129871856	0.0238092552586536	0.0046707686638895	0.00870386113763011	0.00695016255479525	0.0132206261084013	0.0100667637951792	0.0131164649118481	0.0102172204769443	0.0135973094504014	0.0119058919156052	0.0104969841042944	0.0172976622809502	0.0147957111867868	0.015155388721189	0.0146531097842182	0.0162255641683147	0.00641214608194005	0.0145576388944799	0.0125832547653773	0.0058614793899716	0.00419680168135973	0.000628483356615719	0.00990745719762483	0.00229240104700261	0.0174740440156781	0.00599717952699782	0.00709297938314064	0.00614975233715776	0.0159316270798765	0.0128332126432153	0.00975105236566123	0.00328207124297838	0.0125415007188659	0.00710433633238158	0.00685447168044181	0.00816388873841439	0.00883430951366876	0.0100182364908657	0.00511375024476595	0.0170851373157633	0.0178333419844358	0.00924958132388439	0.0207766587392612	0.0137045141090586	0.0032502131089535	0.00787643596664387	0.00375295582430632	0.0177558960489015	0.0099866241547984	0.00578935887296108	0.00839505928133654	0.014234850616464	0.00906906069735557	0.0135950484919945	0.0158404896044539	0.00608109702040486	0.0144638729936459	0.0120349978582625	0.0188813850282767	0.00297530417247954	0.00767033487895476	0.0133090355101189	0.00844456541994588	0.0103147011498374	0.0124732221144424	0.0143667153972101	0.0101116279326304	0.0115876310541984	0.0173669192129872
HT29_G1_3F_1	0.0077247252771861	0.00314732373798213	0.0115808469136384	0.00295515635353057	0.00789544222844884	0.0104297680794966	0.0032920430689118	0.00482607435884212	0.00947705044870636	0	0.00957903872899554	0.0204695269583373	0.0128151189708224	0.00961470515921785	0.00983808370982995	0.00829433854801374	0.0141570833204832	0.0120555771645099	0.00191399011582426	0.00909351097416626	0.0172141138992466	0.0193145625705065	0.00672957097864527	0.00558730306024189	0.00697884656205915	0.00894376746271776	0.00811532145383176	0.00954032815515207	0.00728949769945488	0.00456090782179584	0.00558656758952931	0.00600829114937996	0.0135187920862472	0.00707362089470483	0.0130055454827618	0.00857595831528756	0.0129903116430855	0.012548246560594	0.00528950259300234	0.00817524262740772	0.00690805795617994	0.00528104933557194	0.00901070218496182	0.0126203783298624	0.00846232194668542	0.0147591618935128	0.0113897267152351	0.00509161973329065	0.00418039881557339	0.0183149906714272	0.0112041731950039	0.0148333993929212	0.00871582239800045	0.0071799404156409	0.0153966210173961	0.0107299638544979	0.00621322750355206	0.00951206944007989	0.00572722459015447	0.0103574795145254	0.0189201978240449	0.0121343113672015	0.00790448434205679	0.0263134241618333	0.00938921441609976	0.00757065298625038	0.0046479962082189	0.00595341042839038	0.0133084073303942	0.00833889218983255	0.00599014287415633	0.0152373712236214	0.00590600540656559	0.00504657025316612	0.00626877004194309	0.0132316246414191	0.00628064248372817	0.0114925783294093	0.00332259447597324	0.0149744921503014	0.009212248410533	0.00311882314963094	0.00404570520957693	0.0103157424968798	0.0105930588647647	0.00899816098542535	0.0163159291624232	0.003086070645687	0.0125531945840422	0.0245449939032008
