	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_4A_2	HT29_G1_4C_1	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_2	HT29_G2_4G_2	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5H_1	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6B_1	HT29_G2_6C_2	HT29_G2_6D_2	HT29_G2_6E_1	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29Root2_1	HT29Root2_2
HT29_G1_1B_1	0	0.00908582386881521	0.0194443261372319	0.0173649747876243	0.0599903658761836	0.0363960179459536	0.0365934125954854	0.0124118860059752	0.0214448702766354	0.020013438698228	0.0336469198385232	0.0266244587383209	0.00775014374387397	0.0134287354324682	0.0138150841232045	0.0155362957293917	0.0199242259627623	0.00548452520971896	0.0188269773303702	0.044757547147773	0.013529169039317	0.0161629287274618	0.0092775705981062	0.0100904921863953	0.00925563587754517	0.0108070428165167	0.0178461706630557	0.0155981410516769	0.0540741999668847	0.0262131737168326	0.018827235941654	0.0160494687582337	0.139019480432433	0.0231372217088601	0.0134378137796006	0.0116623696696628	0.0175292145792563	0.0165170740725782	0.00891854268978234	0.0379165023351469	0.00675628421082042	0.0259517663077889
HT29_G1_1B_2	0.00908582386881521	0	0.0273143963696096	0.0218926310983172	0.0685593086279662	0.0451315434355334	0.0448129530349809	0.00596251783455567	0.0268099233220248	0.0126270181571147	0.0252401395336138	0.0199837050323936	0.00272369164558153	0.00733493728867006	0.0213441066716449	0.0237307458171862	0.0117165997381681	0.012288487010595	0.0264788009941689	0.0533448645096779	0.0122470135431416	0.0109540370966485	0.00596959140095309	0.0157883675229277	0.0178947133690075	0.00943910855650869	0.0200486260847397	0.0235331670705895	0.0620485702349339	0.0349367266837295	0.0131350532427567	0.0239508535347345	0.130262795208836	0.0161822861791165	0.0211105018181803	0.0182666283260821	0.0260724326051031	0.00783992772100149	0.00882649403205036	0.0467273523924208	0.00941437020355034	0.017215642761536
HT29_G1_2A_1	0.0194443261372319	0.0273143963696096	0	0.016024446586734	0.0430340349459268	0.020611114901918	0.0180848522437484	0.0304088172532211	0.0147569636673058	0.0344106641104235	0.0496586832330138	0.0393557966318487	0.0255489005987841	0.0278702017159093	0.00644214952925713	0.00416947141545989	0.0355025061662596	0.0156181512039485	0.00900878641088752	0.0271571269939236	0.0233374404038844	0.0302978978639823	0.0245770650936526	0.0144322787972551	0.0124512280221488	0.023503279151336	0.0198012811070732	0.0102631570707368	0.0383529084553678	0.00990070631530355	0.0321952115078514	0.010257743000107	0.156069153368531	0.0363962060431938	0.00795080507858705	0.0116353079905643	0.00568832754320603	0.0330801866273992	0.0218330172619227	0.0236282963978483	0.0201092218023343	0.0434048130190023
HT29_G1_2A_2	0.0173649747876243	0.0218926310983172	0.016024446586734	0	0.0571755426658416	0.0353392104467713	0.0323045483838756	0.0272496592865994	0.00554565872886244	0.0242578606165253	0.0403293025122403	0.0304070166792183	0.0211963976357479	0.02037656869302	0.0147033315902549	0.0148534016010185	0.0269654566767936	0.0165707647344115	0.0219580320147792	0.0412696477103379	0.0128045533537973	0.0194230148954301	0.0167295200387081	0.00847085237599277	0.0175462969095995	0.0136407388356633	0.00590701422796031	0.0106483716827946	0.0536210292067415	0.0243033768798389	0.020738947119993	0.0158457742002906	0.144849187185643	0.0252100842197017	0.0165563411917425	0.0171017342542682	0.019091727300784	0.0257005215417337	0.015371578629041	0.0377329828793867	0.0130444532799617	0.0338935772552828
HT29_G1_2A_3	0.0599903658761836	0.0685593086279662	0.0430340349459268	0.0571755426658416	0	0.0237513749944639	0.0254734645052131	0.0700997710840298	0.0537747428308159	0.0771282348255887	0.0907765124671884	0.080142183979394	0.0664935786076885	0.0700051749680785	0.0481542765046967	0.0459191072118771	0.0774204089293293	0.0564200586715089	0.0427436390583707	0.0163849669753779	0.0661151156085194	0.0726444414652544	0.0668764082499526	0.0565560258323111	0.0509943536605118	0.0662403202054042	0.061478019948338	0.0497224933212029	0.0128909656844654	0.0344072096822695	0.0751361628869414	0.0470920366135845	0.197113510543668	0.0791600384002721	0.0479307210288967	0.0513024071202987	0.0427838775079136	0.0750497028926623	0.0636816471844634	0.0232627766005664	0.0622000578733804	0.0853145295565731
HT29_G1_3E_1	0.0363960179459536	0.0451315434355334	0.020611114901918	0.0353392104467713	0.0237513749944639	0	0.00887043994344696	0.0469143094228109	0.0328397121803244	0.0542029935803666	0.0681487903830923	0.0581761110832913	0.0431688854915583	0.0470924022451656	0.0253045931846394	0.022803179345296	0.0545239336640291	0.0331440346997714	0.0203275981644154	0.00960470476131732	0.0434733273766327	0.0496782298295045	0.0436398795363461	0.0336585110181227	0.0274908689545966	0.0431543441481984	0.039761868320035	0.0268660342319314	0.0207260178814347	0.0112168903081296	0.0521770948172294	0.0244562186748436	0.174521176656969	0.0564788843263211	0.024991667832994	0.0286071469650002	0.0193639294903499	0.0518607317053022	0.0407082521778114	0.00505766695422921	0.0389379719709713	0.0620114587452627
HT29_G1_3E_2	0.0365934125954854	0.0448129530349809	0.0180848522437484	0.0323045483838756	0.0254734645052131	0.00887043994344696	0	0.0471227215865122	0.0291643078330041	0.0522348752789658	0.0666918331434372	0.055777623586161	0.0428181193810415	0.045430531223826	0.0236149826455228	0.0215345812156881	0.0529677553450925	0.0326361197355666	0.0197212544640769	0.0102257118022986	0.0410240661683675	0.0479617416189189	0.0424155474387	0.0319294784813287	0.0280309245287276	0.0414622159840101	0.0363175224063568	0.0259472530864761	0.0223103112269235	0.0115677114622505	0.0501500837306816	0.0237852351525937	0.17332984044706	0.054071677835346	0.0239005500881286	0.0274079230775037	0.0192984382676286	0.0507826833467311	0.0392553368428826	0.0129111754399142	0.0378449757013453	0.061146402447603
HT29_G1_3F_1	0.0124118860059752	0.00596251783455567	0.0304088172532211	0.0272496592865994	0.0700997710840298	0.0469143094228109	0.0471227215865122	0	0.0319789440238945	0.0158706953259738	0.0248746401397121	0.0212016041389215	0.00618650630359078	0.0110111539135691	0.0241860438796822	0.0268232122038675	0.0132327393818547	0.0148286193722267	0.0279982846286185	0.0553992305178377	0.0175177794891969	0.0156837105840875	0.0115456598704566	0.02043260037911	0.0201520918426874	0.0151789029150744	0.0254239132441106	0.0278487000822674	0.0627785666363304	0.0374350627102395	0.0177482001042326	0.0269896448452554	0.128931820331868	0.0194751303917018	0.0234897707517644	0.0203235567715036	0.028451846955844	0.00952333399891413	0.013285593133357	0.0483249803200077	0.0145835475237132	0.0177324410183745
HT29_G1_3F_2	0.0214448702766354	0.0268099233220248	0.0147569636673058	0.00554565872886244	0.0537747428308159	0.0328397121803244	0.0291643078330041	0.0319789440238945	0	0.0292793768177214	0.0457064107018403	0.0355623042963708	0.0260468803141417	0.0254942986190398	0.0157262006527396	0.0147658462764024	0.0322364434570472	0.0200411310317379	0.0223678746778368	0.0378277095628143	0.0179534845203592	0.0248708533630886	0.0219209839367002	0.0127714654097988	0.0198968362041888	0.0188705642096981	0.0105144466357521	0.010590157540658	0.0510912233551245	0.0222041246539329	0.0255782802535158	0.0170796837364804	0.149783094739337	0.0301291278260195	0.0179187288221564	0.0194809574514684	0.0187851826291389	0.030684166420029	0.0204804299436199	0.0355855598032256	0.0180892795277364	0.0391967941955417
HT29_G1_4A_2	0.020013438698228	0.0126270181571147	0.0344106641104235	0.0242578606165253	0.0771282348255887	0.0542029935803666	0.0522348752789658	0.0158706953259738	0.0292793768177214	0	0.0184286891214383	0.0134185072754105	0.0141782822696009	0.00816507311256506	0.0290661050943524	0.0316201700781435	0.00607433430269196	0.0219256132834469	0.0353671766196234	0.0614949010741068	0.011980798892727	0.00771043149770054	0.0112375286868459	0.0216955706389568	0.0280691169279849	0.011824019282574	0.0200232633235065	0.0304299217190994	0.0708807540703583	0.0434269988513684	0.00520408592019937	0.0320550166018571	0.12236028836646	0.00376820067943814	0.0295793982024533	0.0266865159404742	0.0349765251740079	0.00685920730460091	0.0145646462633092	0.0562976559537326	0.016206098078929	0.0115079061783565
