	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.00813199715414657	0.018864125293228	0.00842632035766151	0.00868009292287756	0.0261825549385561	0.00834413640259279	0.0209820753650477	0.0267253851176213	0.00714175248647491	0.0067510152282494	0.0279917498670472	0.0260892503224274	0.00795985427185212	0.0195938293809712	0.0180825126656224	0.0326230712440208	0.0093189055261903	0.00994329580327215	0.0203447760156614	0.0204249549126488	0.0167181116171391	0.00986778980120675	0.0106894976686771	0.00678526905839159	0.00692767626098665	0.0167887271662022	0.0104329285052289	0.018198045661681	0.0366694049806734	0.0112983412474021	0.0169460109379927	0.0362027457420458	0.0122303028771982	0.0234242010951879	0.0400289339019603	0.00821095318507483	0.00872739247246226	0.0435255101016871	0.00610699692156895	0.0101810408729073	0.0166711972099682	0.0152249742035462	0.0104360633079175	0.00516569896514317	0.00756968971379881	0.0147575332863229	0.00884459254571335	0.00635399166506301	0.0183672561619234	0.026826112352723	0.0464413137847136	0.0381092273963371	0.0488218230408985	0.0798001113164388	0.102944562682853	0.00709049728680722	0.00662078230794126	0.0251782585187276	0.011344272665013	0.0167750940987821	0.0498732033816429	0.00520996181283996	0.00481867828779999	0.0278290556639607	0.0139129951830721	0.00979940081464276	0.0144516765310286	0.016865931413354	0.00685630131683786	0.00657866030059482	0.0141088942144436	0.0135604720491421	0.0227727840321058	0.0216723255409785	0.0136134564805072	0.0222828968926034	0.0127871481769512	0.00653075907934654	0.0163508112331111	0.0319580823005181	0.0162736346787977	0.0193478322090655	0.0365181042577003	0.00776724136256135	0.0171408784285108	0.0107577896724533	0.00708180296101336	0.0059259895822096	0.0107828903263439
HT29_G1_1B_2	0.00813199715414657	0	0.026835297674695	0.0105559439678513	0.0126040295939147	0.0337885454465062	0.00876195088783928	0.028064743978439	0.0335697639606205	0.0129224054950312	0.00871092110146565	0.0357279782214809	0.0200000626475786	0.00878760817684834	0.0264984260701953	0.0114523762089454	0.0251599813622423	0.0151271956275159	0.00985884955742235	0.0126115328213443	0.0155594847628306	0.0139597700329676	0.00284316985377089	0.0183888694280301	0.0056268263682048	0.00641153137496201	0.0244369085156949	0.0145480593635064	0.0252410664662751	0.0440068419424376	0.0159528474193054	0.0245215798070456	0.0439885032566981	0.0185998242626735	0.0312499535208405	0.0477559771261911	0.0143138597593903	0.01248975183803	0.0509469678200673	0.0111535234477355	0.00630645506862336	0.0245723694036531	0.00950439450859183	0.00697127968720017	0.00956993002493978	0.0125265720437779	0.0123403711631667	0.0122760788537128	0.0122131023908036	0.0247535626537581	0.0344155470830954	0.0392439614726196	0.0313587871021589	0.0557012080272386	0.08720256206635	0.110310184713436	0.011609889140139	0.00867795468275125	0.0327600841184348	0.00649390058347503	0.0130020199457072	0.0572652231216442	0.00951204680700152	0.0106405062072213	0.0354129897882129	0.00631015810935777	0.00258277410977135	0.00995503378468179	0.0117956717329678	0.0125368388120361	0.00525937142638205	0.00976825339106254	0.0194927777336039	0.0300102539651288	0.0296533818240387	0.0202722566771716	0.0296549496781011	0.00972153590464806	0.010260585378503	0.0234056546504738	0.0395087255104087	0.0108485654954898	0.0264730587681304	0.0443493873180942	0.00802291903613159	0.0105055514187322	0.00793501722896788	0.00697886905754402	0.0117530196004169	0.0116247636233876
HT29_G1_1B_3	0.018864125293228	0.026835297674695	0	0.0205400606639073	0.0178777283442966	0.00831688966275277	0.0227541461426323	0.00884067719017749	0.0132432885014648	0.0157118242500652	0.0216701220736008	0.00973916809631706	0.0426901498454405	0.0220544735152675	0.0085127225703962	0.035850425508485	0.0500973411718418	0.015099271931594	0.0245429832051711	0.0391009841838687	0.0361737774877992	0.0308347264306001	0.0281324257904681	0.0101900363695768	0.0247015484508522	0.0238079954962575	0.00405835912355546	0.0185427870862812	0.00736989246826562	0.0195440044951167	0.0160196397218331	0.00614089141071863	0.0179841605467243	0.0116513659488139	0.00551223805685967	0.022379166151246	0.0142866202380907	0.0184722725191664	0.0263421418143481	0.0185917579815559	0.0266259006063927	0.00477273104408551	0.0320662199094255	0.0276167043756423	0.0191975213314585	0.0170220627248603	0.0278419935341991	0.0188013128269547	0.0167933977780256	0.0108935718152363	0.00905212087104416	0.0644590725929244	0.0555440885650662	0.0326190100762983	0.0617232090266789	0.0848807965360647	0.0186442783050538	0.0215145893310099	0.00838504324693404	0.0284349813305938	0.0311000534702663	0.032367690319891	0.0190926147313937	0.0173406201187115	0.0117897724994615	0.0319298510201921	0.0284758181875095	0.0301843962176923	0.0323879741766799	0.0167503691629943	0.0235392031938666	0.0296741148662601	0.0124072673422879	0.00801121638476381	0.0034761344840943	0.0110562312315825	0.00812117393785452	0.0295117042354355	0.0201021584420009	0.00822431158410002	0.0152283465057265	0.0331711372205639	0.00948535798761501	0.0188093960699387	0.0226457619843891	0.035599557484251	0.0261620101523324	0.023583396044511	0.0169324681252823	0.0237355767279863
HT29_G1_2A_1	0.00842632035766151	0.0105559439678513	0.0205400606639073	0	0.00557888725665192	0.0263195823515093	0.00872961906882447	0.0221164035936493	0.0273980470038321	0.00637065453110548	0.0066137139299438	0.0287761841087887	0.0238196401636548	0.0085386380937437	0.0194212160179903	0.01727280197354	0.0302123378085182	0.0123283131991711	0.00852387047449205	0.0216072216478415	0.0176470506323574	0.0130315275491015	0.0106200673368559	0.0153219809185779	0.0108079592779811	0.00803223820418257	0.0177183495384356	0.00702603495937138	0.0179238662619907	0.0368625799143717	0.00927686481056158	0.0180329281945444	0.0374624086003909	0.00973918721983517	0.0249541961506108	0.041604020117599	0.00776073635624934	0.00282136276648094	0.0447272011854888	0.00851346858009393	0.0103773597930957	0.0195391034674048	0.0127740925551334	0.0109294423203419	0.00560020661715048	0.00988060777802161	0.007937806674449	0.00894088779262979	0.00711266815952344	0.0182995695423351	0.0271232393613615	0.0461717654172477	0.0372918211445919	0.0469135254846344	0.0790411166252443	0.102241848310385	0.00668244604497877	0.00583371811263727	0.0255815673631945	0.00983102532262827	0.0117718422581415	0.0505585726713463	0.00939697191012179	0.00839064936529984	0.0299252857845997	0.0136265118068188	0.0116112211186738	0.0100083003982732	0.0121139110281125	0.00666111320243494	0.00773122552943067	0.00931585269739603	0.0116598736452679	0.0228759238047989	0.0233060984439135	0.0144152313402532	0.022907301004233	0.0150142120587317	0.00740129987009883	0.0157262023449435	0.0337598005344873	0.0145829490114155	0.0213257780554733	0.0387098919737652	0.00936767846431453	0.0207137924695018	0.0105389626578311	0.0075341287480496	0.0109787690927431	0.00828649429066184
HT29_G1_2A_2	0.00868009292287756	0.0126040295939147	0.0178777283442966	0.00557888725665192	0	0.0232334042170126	0.0068941874211164	0.0183893928347299	0.0235081988156101	0.00686981493886817	0.0107779727889459	0.0257215891540509	0.0280965881879422	0.00625079429621788	0.0160054110473713	0.0213263140312624	0.0333635187720011	0.00782162127314816	0.0131516648085802	0.0242002449287568	0.0222075216024392	0.0175625459627631	0.0134308757061773	0.0124768136595511	0.0131997515376593	0.0119481640417048	0.0144615336497634	0.00975534212515625	0.0143527310489851	0.033784071960175	0.00432954892765574	0.0164932108605404	0.0343280210978339	0.00801456081514623	0.0215742198354045	0.0387458458094344	0.00604324723450243	0.00566561633295864	0.0409023830021143	0.00939710539162002	0.0103166794423684	0.0169756728083438	0.0161141801719489	0.0147298097272686	0.0079086216358545	0.00603188598317724	0.0109065929415665	0.00474105976983163	0.00940151857222212	0.0140504201262666	0.0238610323610744	0.050103211387678	0.0416963390642022	0.0455397031787966	0.0766084192305766	0.0996838207734155	0.010097533206921	0.00996730793566237	0.0233624690744325	0.0129101947617343	0.0144862670676774	0.0468705823482118	0.00674613064769853	0.00569699491176294	0.0257543773220263	0.0155912793321849	0.0142967451823983	0.0143702911457964	0.0155817290057801	0.00780728710792608	0.00790667348050729	0.0135522640717714	0.00735658886252737	0.0196672734439531	0.0209624920213577	0.0128243468897071	0.0208561624926406	0.0178695380709962	0.0107485403656981	0.0143401945063638	0.0302010125036651	0.0192531322967282	0.0189398987028191	0.035094431345639	0.0077932558125411	0.0221012283215027	0.00974545950396905	0.0115006994457683	0.00841311203363532	0.0124749446718161
HT29_G1_2A_3	0.0261825549385561	0.0337885454465062	0.00831688966275277	0.0263195823515093	0.0232334042170126	0	0.0288282050909841	0.00916506227552405	0.00950165689867607	0.0219130703122768	0.0285959414361382	0.00334832867116227	0.0492985530696984	0.0278653770481485	0.00918984240154315	0.0427800042084197	0.0562364032751828	0.0208254545979608	0.0314758369120975	0.0461938322040904	0.0427087121247851	0.037154717743977	0.0348363536290848	0.0173356199964064	0.0322385611494208	0.0308833429903473	0.00952270556597208	0.0248086971067432	0.00935240973993181	0.0123413583032353	0.0204214095567427	0.0115528006696537	0.0117977831618874	0.0166994952335348	0.00482096481049213	0.0168922648590922	0.0201009783478785	0.0243178941351016	0.0196616600336238	0.0259054457362435	0.0326006020723655	0.0114694029717771	0.038463379361043	0.0348135112711422	0.0261962671758116	0.0228308530705629	0.0328465046781508	0.024081564455372	0.0238120344336926	0.0122780348265374	0.00133302242050213	0.0716457341405945	0.0625991138083745	0.026032321357766	0.0543224063954695	0.0774519333277091	0.0255723838548607	0.0284342809911999	0.00579421047545084	0.0350395356893507	0.0365953359395602	0.0251213259235773	0.0255994512143133	0.0240481945572117	0.00931953955240641	0.0382912120900329	0.0355538243877258	0.0362089622698677	0.038053707426765	0.0236652105539155	0.029983092091322	0.0355690872639896	0.0163262308513381	0.00579953811490074	0.00712460201386822	0.0159820624711958	0.00858161300464638	0.0370648017702833	0.0273220662716353	0.0123924172068275	0.010367411004047	0.0399522260473963	0.0124221062277325	0.0139665633306833	0.0285889193243831	0.0428984089494297	0.0318287962626787	0.0306844063361545	0.0234888751690919	0.030439323493903
HT29_G1_3E_1	0.00834413640259279	0.00876195088783928	0.0227541461426323	0.00872961906882447	0.0068941874211164	0.0288282050909841	0	0.0235058608199419	0.0286745227520357	0.0115810788645163	0.0117337034157889	0.0311369342896215	0.0247677972072385	0.00393966332392975	0.0218212519708303	0.0177411335491632	0.0289814277697101	0.00998525156159313	0.0129243428232097	0.0188944589830393	0.0197598359484263	0.0162186486745825	0.0104446925531032	0.0154992996604911	0.0102166063871807	0.0113558182135201	0.0196217483115984	0.0126999256999718	0.0201277771436535	0.0395170256159805	0.0100334254090238	0.0219513774570507	0.0395408180843513	0.0143371815491935	0.0264442212149199	0.043967944530237	0.0114807562077999	0.00982589007814955	0.0458204633711393	0.00939486251517059	0.00613354265469346	0.0214562606044079	0.0123996545159314	0.0120394268970877	0.00882713287120078	0.0081736754523203	0.0109145756415712	0.00699179504494966	0.0124244088226038	0.0193608991049073	0.0293658093383121	0.0455988662617425	0.0379681654637328	0.0521423812848036	0.082699057097715	0.105697052492659	0.0125510013348298	0.0106321892198483	0.0291842555087637	0.00919673939550007	0.012109248375559	0.0520533051187109	0.00553491247404417	0.0058987061462552	0.0297606888984113	0.0109612149524094	0.0102731097304925	0.0126878142959294	0.0132446835839999	0.01025271882328	0.00384918808936039	0.012049831647518	0.0133229367198235	0.025433748802932	0.0260172626988826	0.0182225011610033	0.0266337751702267	0.0139863673987564	0.011688244669166	0.020466760329142	0.035050357347119	0.0168908728406525	0.0239626286503613	0.0395529197443467	0.00578086689848719	0.0162274475886608	0.00612465026749385	0.0106706646132245	0.00945234649739318	0.0125805706594514
HT29_G1_3E_2	0.0209820753650477	0.028064743978439	0.00884067719017749	0.0221164035936493	0.0183893928347299	0.00916506227552405	0.0235058608199419	0	0.00585521468203695	0.017127500645462	0.0244112171686187	0.00996546685986629	0.0456300634088473	0.0216382137387758	0.00392464589187312	0.038233802774463	0.0514305762375152	0.0141923170975064	0.0281565607768841	0.0405615021072637	0.039390170017592	0.0344034574381486	0.0290363137448938	0.0115980450502845	0.0276635086322637	0.0262521190304135	0.00757315596219099	0.0228387756604197	0.00562979455965699	0.0164938060924287	0.0148617247592732	0.00956361103729414	0.0171546021296723	0.0140777067579104	0.00752004927363146	0.02115647200477	0.0147892881719981	0.020888168873062	0.0231019375965317	0.0226524483273408	0.0262361319744403	0.00794214712445795	0.0340952170237337	0.0306957247576716	0.0224231218628604	0.0162000801232195	0.0286398415786098	0.0176380090875127	0.0201349150881711	0.00544934139966024	0.00893085986228797	0.0669916583534972	0.058364822654503	0.0322337183797064	0.060486462565655	0.0833166982072131	0.0221401233154838	0.0245444271652178	0.00938743610476722	0.0305317358073802	0.0327892411157835	0.0292894399923382	0.0195180137538707	0.018889173703061	0.0113366036007391	0.0323240972958786	0.0302111773584946	0.0320169984925007	0.0337075635038605	0.0206621010200338	0.0243090544935658	0.0312469467176729	0.0124118399027139	0.00430694067730278	0.00959200852648784	0.0103065563091302	0.0078014878101615	0.0332499993202873	0.0238966631722486	0.0101911603926575	0.0121599425634618	0.035771640983235	0.00660923842818697	0.0182097560466513	0.0219291400670596	0.0368725519643961	0.0253073317566294	0.0265276310737776	0.0168098397899892	0.0277584304345767
HT29_G1_3E_3	0.0267253851176213	0.0335697639606205	0.0132432885014648	0.0273980470038321	0.0235081988156101	0.00950165689867607	0.0286745227520357	0.00585521468203695	0	0.0226534175391798	0.0300630803226346	0.00928234492373402	0.0510918092504214	0.0267075060018994	0.00829433750611958	0.0437811218314554	0.0565132345154117	0.019394850015333	0.0338076770502355	0.0459893332903788	0.0448661383375609	0.0398262883566768	0.0344467794167992	0.0173096848025711	0.0334296702428056	0.031921369093076	0.0126388056813678	0.028247335426101	0.0102706726814431	0.0121916766085243	0.0196472697700369	0.014439779072418	0.014050095007044	0.0192055442209988	0.00962264259849237	0.0178292765592527	0.0202618564998158	0.0262188312441308	0.0181927215089912	0.0283654974462342	0.0312643312834035	0.0131627415214665	0.0394508424836514	0.0363941512406314	0.0281115643088205	0.0214403436149481	0.0334473820667668	0.0226031887919647	0.0258358338471619	0.0095540191203603	0.00861256303031107	0.0725226972495639	0.0639188097854562	0.0293748287917797	0.0559434172638446	0.0785170857347225	0.0278024373157733	0.0302071256250097	0.0106549162147091	0.0359859852951671	0.0377786888302077	0.024172705294647	0.0249148187779522	0.024425759398288	0.0109079393415519	0.0375013124710507	0.0357780147290524	0.0372737452347541	0.0387582091919027	0.0263031693984678	0.0296639634161413	0.0364446366256726	0.0171333207268285	0.00650385364725309	0.012923242934567	0.0155381069748825	0.0105457481268576	0.0390117215646906	0.0296375077019062	0.0149646622714186	0.0088315891400564	0.0413095911368522	0.0107347342895347	0.0154335352755397	0.0270136778681435	0.0422697679878103	0.0301797210852064	0.0322254705684363	0.0222790846391234	0.0333294593907276
HT29_G1_3F_1	0.00714175248647491	0.0129224054950312	0.0157118242500652	0.00637065453110548	0.00686981493886817	0.0219130703122768	0.0115810788645163	0.017127500645462	0.0226534175391798	0	0.00755954177914654	0.0239425146633138	0.0288915408969194	0.0100521570529511	0.0148156907036625	0.0215628714848085	0.0356486842740549	0.00953483576424845	0.0116034437299403	0.0252618203156272	0.0226711965379439	0.0181801022468506	0.0133354218722631	0.0101093603874103	0.012492666192205	0.00958451000713119	0.0133092861879627	0.00895354593416768	0.0137116111721304	0.0319567375509111	0.00815736006909328	0.0123947575394889	0.0323834064275321	0.00699174241019929	0.0202225451602935	0.0361566580939059	0.00282079524694027	0.0059634658309522	0.039874978507938	0.00932600183077318	0.0131854202291979	0.0138832480686373	0.0181806493737267	0.0143645390939096	0.00704980457202494	0.00769758946871667	0.014070784162851	0.00844426962359548	0.00458353162716293	0.0143269419421999	0.0226610882351	0.050391196879799	0.0414358868325932	0.0428150489459638	0.0746171945119964	0.0978180620802385	0.00607405943325406	0.00790941619833888	0.0204080981404415	0.0147479246653254	0.0180286380878929	0.0458385800261167	0.0087521129132644	0.00780936669029072	0.025618869500627	0.0175309814690165	0.0145782094034328	0.0156293443319966	0.0180923337933817	0.00691485431220836	0.0103899315182298	0.0150259495249109	0.00970392805707564	0.0180909146389995	0.0181848215629301	0.00841170912240777	0.0173662435074997	0.0180233425154177	0.0080876287089677	0.010631942897283	0.028521883079803	0.0187766924166541	0.0153140711651078	0.0337168898736256	0.0101351847256043	0.0231663803847411	0.0131188352116729	0.00997829869803931	0.00777749330090424	0.0119819811306009
