	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0150184626197419	0.010731534543565	0.0024506492815781	0.0184504236291462	0.00760250035067545	0.0166625125622691	0.00796923991155825	0.014915230424873	0.00441536289836547	0.018234155083442	0.0128643310949368	0.0197377403503955	0.00291033481424196	0.0495473717933103	0.0430326568690237	0.0317232672202938	0.0336987093306601	0.0112978653634805	0.00285837420597427	0.0121308318145174	0.0187190468064605	0.00739646906855821	0.00654161566639985	0.0196307497895688	0.00425155510250979	0.00947849288717469	0.0233982882392437	0.00684366785271568	0.00521338970119609	0.018243593414792	0.00663435209955866	0.0238938199343879	0.01808186791665	0.0302778469919458	0.0132980643055667	0.0191722030180316	0.0174469712050474	0.0190751593727445	0.00603972613256781	0.0069374267264022	0.0117092382427496	0.0147213624413054	0.0106887580503893	0.00385277121295198	0.00873950120064275	0.0123657732327031	0.0249174579390167	0.16847752713122	0.143295288684441	0.148389467746792	0.0153384525456898	0.00168808012956342	0.0162300689864845	0.0115814421740686	0.0176965191590812	0.0208055329332768	0.0302811678355102	0.0358481049995631	0.0293445593631114	0.0134406505086961	0.00952626490303819	0.0109401849836596	0.0097765570226402	0.0114401518529622	0.0154107580179041	0.01932795133582	0.00297360478021431	0.0149216054144269	0.0204686492959495	0.00214728246878636	0.0280862577045813	0.0199611276357226	0.013343656074589	0.0111408155186789	0.0125476078568063	0.0444706863656751	0.0079313211049149	0.0172785460369195	0.025625288654085	0.00658836011293873	0.0144957036066035
HT29_G1_1B_2	0.0150184626197419	0	0.0052179011275024	0.0174021327456506	0.00550219680637983	0.00760908466568355	0.00391851331191779	0.0178872753652559	0.00599314835707679	0.0125180718994036	0.00586828466856879	0.00309913254699665	0.00805492266799744	0.0171127773559349	0.0352144115846404	0.0280239768946252	0.0173060929124979	0.018759047422834	0.0233193960720486	0.0169021144072634	0.00668716970725928	0.00772737587014002	0.0077244698579016	0.0103100958177403	0.00462668105867515	0.0123164208277866	0.0207473228340213	0.00844382779677598	0.00885598990815946	0.00980556111185276	0.0299118841382506	0.00933530741932001	0.0186041523574438	0.00576186977352977	0.0164478718926437	0.0017755347858056	0.00481012999690173	0.00619661731386877	0.00546418342163494	0.0204925731140081	0.0107629716883432	0.0037904855219719	0.00233548107532297	0.0245017905879123	0.0177969956527104	0.00964737857324769	0.00658181924376023	0.0389676915099555	0.153715248874493	0.128417127883565	0.133518147424988	0.00235771188951242	0.0133907598384102	0.00176998902076456	0.00525227207041782	0.00400030139624701	0.0058341775817834	0.0163879723561921	0.0209644632595398	0.0245336455477778	0.00495584519573969	0.00880086687358695	0.00422980886975468	0.00561357218052782	0.00759596255686062	0.00242973745393906	0.00432455047087648	0.0166500939475313	0.0030841446739911	0.00547103478008987	0.0171646391459557	0.0130906650387477	0.00496369434201299	0.00169640334559386	0.0062930087442926	0.0159698993040464	0.0294631316216588	0.0174709924650071	0.00402011047277547	0.0106442796663795	0.00924771533475554	0.00721140749245438
HT29_G1_1B_3	0.010731534543565	0.0052179011275024	0	0.0129482068477134	0.0077270257751752	0.00320233049004142	0.00850757380884188	0.012676465706005	0.00897008821555512	0.00947127288970192	0.00755459442074397	0.00508332369644315	0.0126114313004932	0.0132387920706642	0.0403827973403827	0.0327357099992426	0.0210008478877565	0.0237044924784037	0.0205411484736277	0.0130693142111042	0.0028283745096921	0.00835331259375699	0.00457684628240805	0.00518340745017888	0.00942464025372578	0.00739019511933227	0.0155465896267802	0.0129844038622118	0.006206528765565	0.00577684873409235	0.0274525020978062	0.00436716611350707	0.0215875131725261	0.0103768328742583	0.0216591827450094	0.00353475493905544	0.0100140287017533	0.00691095451559115	0.0105190540306895	0.0166201588326363	0.00556637419476274	0.00428430525440393	0.00411131571139052	0.019476622394753	0.0140541416685991	0.00853414001785522	0.00786061662514732	0.0354647743082716	0.157970330487825	0.133090281821667	0.138177741039819	0.00472223951020559	0.00904383662306631	0.0069026709792476	0.00113477319340805	0.00900651245992764	0.0104795935223467	0.0216018769852866	0.0252580413479746	0.0276003400441973	0.00295068784327164	0.00370565793940836	0.00348335416571383	0.00118762459695565	0.00319479348950124	0.00478320920601303	0.0093480245193781	0.012915209731663	0.00420586102688145	0.0102130453895286	0.0128412972765495	0.0179763782354995	0.00972174240800863	0.00399995736704144	0.00169660982056491	0.0155762794160866	0.0341751503070104	0.0151405442512575	0.00885663233523311	0.0155936136604504	0.00658996307174144	0.00494341793763898
HT29_G1_2A_2	0.0024506492815781	0.0174021327456506	0.0129482068477134	0	0.0206224452200054	0.00989721242204473	0.0191119580997872	0.00741420801537528	0.0173414861514363	0.0065944089147151	0.0203637080839173	0.0153060958614385	0.0221694976375513	0.00279464175095104	0.0519945088563507	0.0454141873141774	0.0339365670261551	0.0361117971880003	0.0107211090121787	0.00295726100312134	0.0140901437394036	0.0207101370950289	0.00983071360219429	0.0083597119811023	0.022000191265798	0.00591637982359983	0.00818919686406413	0.025744461775345	0.00928762984500504	0.0076086910850929	0.0174143843547185	0.00869390731520922	0.0258993388171521	0.0205297749631282	0.0327255858085799	0.0156659330455056	0.0216094086625909	0.0195109106187796	0.0215238852613391	0.00459969857026595	0.00857558323529354	0.0141468467207311	0.0169984720506697	0.00845242283224188	0.00351051640948574	0.0110388319311087	0.0147778409672899	0.0231085812312635	0.170748721556879	0.145669232447616	0.150759808906018	0.0176161656125476	0.00401219531626186	0.0186498559668454	0.0137257893107004	0.02014148979222	0.0231616840250028	0.0327295078261333	0.0381559633044814	0.03120237928066	0.0155435811922095	0.0113175412591221	0.013363586773848	0.0120572995768541	0.0133107884247621	0.0176852075152376	0.0217201254498872	0.00335679457157619	0.0171534248576445	0.0228341363314246	0.000712837298780014	0.030483195438494	0.0223273349995446	0.0157380061573677	0.0131908453327301	0.0140741993993601	0.0468528103924349	0.00871356046817806	0.0197265283489809	0.0280269458429213	0.00902325038277885	0.0163822832763909
HT29_G1_2A_3	0.0184504236291462	0.00550219680637983	0.0077270257751752	0.0206224452200054	0	0.0109124593557152	0.00859814323415377	0.0191289687633481	0.0113495224331666	0.0169152796842227	0.000741186881362204	0.00850729100790859	0.0120830993218292	0.020954341751136	0.0346576040096548	0.0257375819806912	0.0133355112632607	0.0173503038919174	0.0279769280929036	0.0207795986831469	0.00693789066577929	0.00276694586986768	0.0118936958779866	0.0124823961900052	0.00467553713373894	0.0148805229096133	0.0220216203302644	0.00651454467879513	0.0133546111802991	0.0134672806157945	0.0347659639353109	0.011940329685146	0.0235018188376078	0.0100365759548496	0.0174146583186192	0.00626545120903733	0.00754581108270572	0.00197679884811346	0.00886272197284058	0.0243412255711035	0.0125816953125137	0.00890575632923219	0.00409809102389274	0.0265530379404003	0.021754837526454	0.0147924277213326	0.0120718741144041	0.043158274097863	0.150483718878628	0.125930547379321	0.131007187950937	0.00357830666346358	0.0167625851709091	0.00628967684315158	0.00689851441710831	0.00795011348580761	0.00486269496343992	0.0172822290961629	0.0178727003228501	0.0292816639047671	0.00514080084638143	0.00989689503442113	0.00896722397481542	0.00876423837887949	0.00794388525313982	0.00348656219179573	0.00533946301306902	0.0206102124165846	0.00363620872193148	0.00493652197409004	0.0205471418578158	0.0117270092766006	0.00471241563508196	0.00670796187809375	0.0075314101947137	0.0213882283940905	0.0271637406105684	0.0223162818077226	0.00832470514560911	0.00973023967895192	0.0137604157916839	0.00549009091754675
HT29_G1_3E_1	0.00760250035067545	0.00760908466568355	0.00320233049004142	0.00989721242204473	0.0109124593557152	0	0.010030762747497	0.0108480922983455	0.00940362779327681	0.00640970904478693	0.0107559787732823	0.00613290639878333	0.0137883663105422	0.010043177457967	0.0426938741631277	0.0355693622651478	0.0241344268554898	0.02636440974848	0.0174146375371236	0.00987066707133258	0.00531733763395236	0.0115019920856389	0.00209009041369827	0.00326626486801495	0.0121474987216197	0.00477504727956129	0.0135733626255557	0.0158584423779466	0.00362776529668411	0.00257706554927049	0.0243619420511748	0.00204767230791024	0.0211793623573208	0.0117474243721938	0.0236577333416766	0.00584012522117581	0.0121287672607393	0.0100960612742602	0.0123252416856207	0.0134305650938341	0.00401305607531747	0.00497605288141523	0.00711928337036414	0.0169476746492139	0.0108528926274669	0.00652441662823666	0.00748849564983354	0.0322649973577845	0.16097816162575	0.1359191907266	0.14101173260561	0.00773653939258803	0.00592386263055645	0.00903547043244423	0.00419838853237261	0.0108388270558701	0.0132868640197517	0.0236270728436784	0.0282655589825916	0.0271260571773763	0.00609333082120251	0.00406328607002353	0.00402317887238876	0.00217483313745575	0.00507195774130081	0.00780865218974047	0.0119273517966052	0.00971317074413063	0.00733642736617075	0.0129729129871534	0.00973573212808193	0.0206820976191704	0.012468187077606	0.00601539647184659	0.00410272194287358	0.0134082637758103	0.0370092902667657	0.0121732183051004	0.0105382499071815	0.0182465010490358	0.0039350766296093	0.00772191044954711
HT29_G1_3E_2	0.0166625125622691	0.00391851331191779	0.00850757380884188	0.0191119580997872	0.00859814323415377	0.010030762747497	0	0.0208175375679367	0.00329962275446076	0.0133072426428446	0.00914922751814361	0.00391550186072295	0.00417823991885459	0.0182673217878867	0.0329083723886219	0.0269910515731867	0.0180049474060064	0.0174124573568536	0.0232770383577714	0.0180293363123037	0.0104612010696684	0.0111793299575138	0.00934170425518707	0.0131427759460026	0.00534076336427011	0.014773706434594	0.0235884289837877	0.00870500917296895	0.0098921719748773	0.0116496874578247	0.0294449707629323	0.0120108561810181	0.0149337830516198	0.00188989756158932	0.0136928242468332	0.00507967702452707	0.00290922956028897	0.00977185381702076	0.00241799661990402	0.0215118996610448	0.01374028113715	0.00509679913363615	0.00624473918274892	0.0268338992853309	0.0188009864981287	0.00942023906717716	0.00533210359252648	0.0392915442872756	0.152971279341077	0.127087051550551	0.132203479838948	0.00617240510691781	0.0151836554571115	0.00238361131508155	0.00884885669842282	0.00126877695923966	0.00645786455690038	0.0136784481569146	0.0207634404593122	0.020786026015032	0.00884339246835501	0.01221264218675	0.00601746068986561	0.00848751842184965	0.0112939499754207	0.00622855778628138	0.00453168595575502	0.0177023304970812	0.00697371353083725	0.00600346824515066	0.0187476219836082	0.0121396962577811	0.0056366037162874	0.0045220634755657	0.00988104811211786	0.014451282888588	0.0284094931360261	0.0173144688995896	0.000692093233398644	0.00971160833829864	0.0102115692093453	0.0111297576726752
HT29_G1_3E_3	0.00796923991155825	0.0178872753652559	0.012676465706005	0.00741420801537528	0.0191289687633481	0.0108480922983455	0.0208175375679367	0	0.0201653745406767	0.0118785571175625	0.0186366303379422	0.0169588911615006	0.0246338206444056	0.0100978919077708	0.0530226154142966	0.0448472577455168	0.0321035569839749	0.036159507648039	0.0180493489257354	0.0102018748995889	0.0122325196862897	0.0182225790983303	0.0121321787084077	0.00767727658439704	0.0219722588211424	0.00642266447565969	0.00290602102954912	0.0252736067537009	0.0126272206723631	0.0100468315570938	0.024510987789327	0.008822051084748	0.0309698384682188	0.0225760609965404	0.034291079833823	0.0161608594662025	0.0226554423391864	0.0174924829644624	0.0230317050683606	0.0116670335341626	0.00713252890266643	0.0158175860138548	0.0165532705990561	0.00782613574073306	0.0109031658530395	0.0154226984344017	0.0179892091687811	0.0284799088165782	0.16886996648894	0.144837921268718	0.149893599070551	0.0171102675193054	0.00794070082948919	0.0195285241363017	0.0128803890175467	0.0215222933822203	0.0229231912512358	0.0342420094006387	0.0369456510061741	0.0366721520819263	0.0141786658307095	0.00936597462305034	0.0148568273028686	0.0123863126031787	0.0112028698931684	0.0171476595487571	0.0219805652909496	0.0105192023701494	0.0163679562203469	0.0227133625110103	0.00804505168090037	0.030425870589188	0.0222440512839502	0.0165230982900401	0.0119439672906299	0.0204014417568028	0.0462751186677749	0.0158206449506358	0.0212807920438911	0.028119149347895	0.0125912182420536	0.0138424829892206
HT29_G1_3F_2	0.014915230424873	0.00599314835707679	0.00897008821555512	0.0173414861514363	0.0113495224331666	0.00940362779327681	0.00329962275446076	0.0201653745406767	0	0.0110780813842396	0.0117986860464811	0.00393044494462802	0.00483771637069967	0.0161084729367616	0.0348892805056735	0.0298034093286124	0.0212912739938773	0.0201712545963921	0.0203684540870634	0.0158579638690674	0.0114811340864859	0.013712897583583	0.00808667204069692	0.0126691799082188	0.00860610992368793	0.0138231870406033	0.0227776002330938	0.0119951244929755	0.00809925511867714	0.0103420056780479	0.0263457833697604	0.0114487875366937	0.0128176747963322	0.00361271554794782	0.0155583620965334	0.00627792787500126	0.00611240825988802	0.0121895935518669	0.00521253294974494	0.0191945564284164	0.0133938836101183	0.00472740916134426	0.00817874698386915	0.0254500950504804	0.0165276720233054	0.00678952862907978	0.00261452224040883	0.0364595767373636	0.155740193018887	0.129571030652898	0.134692558274994	0.00832926710586693	0.0136163684577504	0.00513547441445684	0.00967245999000519	0.00453085978620899	0.00974881367978279	0.0155895253519193	0.0238982210596651	0.0188150566226771	0.0102839898531539	0.0125059821220396	0.00565019953712712	0.00850632093179652	0.0121076302567298	0.00840695520315407	0.00781712544725443	0.0154887572729713	0.00895096244555683	0.00929435519948063	0.0168879088161495	0.0151497938660084	0.00891257410718902	0.00561018208016243	0.0105994757332181	0.0111765762526224	0.0312042321598521	0.0144266274936352	0.00393586806138254	0.012783600292844	0.0083294368010209	0.0127389128807868
HT29_G1_3F_3	0.00441536289836547	0.0125180718994036	0.00947127288970192	0.0065944089147151	0.0169152796842227	0.00640970904478693	0.0133072426428446	0.0118785571175625	0.0110780813842396	0	0.0168718393382466	0.00983596532771232	0.0159041408860388	0.00503093092561044	0.0459492565530872	0.0401888479077378	0.0297692861328984	0.030676757025064	0.0110870687843873	0.00478092915242026	0.0117136601219639	0.0178223156216576	0.00502219234720144	0.00741028106291541	0.0170909776866076	0.00624478169750407	0.0137465326937917	0.0209283841961806	0.00366307562476946	0.00402562304438566	0.0179832127717119	0.00673529235472702	0.0194867881912238	0.0144873028610681	0.0266244039782166	0.0109935977824161	0.0160453644413815	0.0163540422807337	0.015709116834264	0.00820588610461423	0.00815699101553114	0.0088129342129989	0.0128732872549698	0.0150293487115214	0.00549751594033044	0.00448358105264444	0.00846552199659586	0.0264576437997439	0.165957921154806	0.140285890304546	0.145393376624127	0.0134573906676683	0.00393807729350155	0.0133768204164305	0.0105492770198857	0.014461842151167	0.0183241891408077	0.0266492536959492	0.0334446172923853	0.0249869905597052	0.0124203793932967	0.00990005456039027	0.00829310416559284	0.00830559934076116	0.011362065561959	0.0135426407104751	0.0166360381060205	0.00442064856405791	0.0132800240778033	0.0179361882672629	0.00602545893456726	0.0252329694600069	0.0174349338427207	0.0108349869203282	0.0105107293632172	0.00861127612954637	0.041617084457442	0.00579525093684671	0.0139719125411124	0.0227621422121226	0.00327083342472109	0.0141282838726878
