	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6E_1	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0146542925170045	0.0142228493992961	0.0121093636636142	0.0221942435148199	0.0237094278693408	0.00990167590453265	0.0150121101614209	0.0209690736092758	0.0178540022938539	0.0210806225828113	0.0107540812300849	0.0171892702817633	0.0410651917061718	0.0145490228198803	0.0347317170085299	0.0245242197095021	0.0188814485515216	0.00614299243386328	0.0142952151034152	0.0126771629042934	0.0643366092786052	0.0126700625253593	0.0169171917528612	0.0142410273993444	0.0106879369457023	0.0221038823354285	0.0340638453198075	0.0486119548511747	0.019284145590359	0.00986584977081806	0.0134058851985537	0.0127969809857527	0.0138781084969614	0.0190545992707115	0.018849538683515	0.0148452941676322	0.0333685777124267	0.0392373760991628	0.0153247310317629	0.0238334653060005	0.0153606381892018	0.0291895685129041	0.0161219385929194	0.0141083324385673	0.0341709075810488	0.0272474493745571	0.0276389942114023	0.019378909330876	0.0223163415665145	0.050728887855352	0.0053703512379508	0.0344574617022961	0.0129283733617724	0.0246630778180533	0.011802231155516	0.0277140423004856	0.0096439565385758	0.012894733253571	0.0450262734628586	0.0487255071014976	0.0151006177493675	0.0371607915890226	0.00662219208757646	0.034345995184772	0.0177455738448073	0.0284975506265112	0.0098501923622501	0.0224014248535096	0.0754036512566127	0.0449135405307103	0.0105302369889327	0.0141962132926128	0.0327639482495293	0.0194267864400666	0.0451285388978732	0.0425870485812042	0.0343766589657769	0.0199635752320224	0.0154404209145623	0.0124459886915686	0.0296412333617912	0.0110721057925618
HT29_G1_1B_2	0.0146542925170045	0	0.0243017085182266	0.0223312604668328	0.031144610539297	0.0298431797301653	0.0163928973037755	0.0183221484988562	0.0296340442348566	0.0303335443742625	0.00766775271530605	0.00849593556300716	0.0258856413486276	0.0508582585707289	0.017962247221367	0.0305628723115201	0.0303344307907847	0.0166825832596918	0.0143273197822161	0.0189132938006108	0.00864880931206584	0.0731022541320294	0.00789844159364247	0.0231113628322465	0.0264473523017797	0.0156223249613447	0.0272685987254335	0.0437983312286825	0.0576769898532043	0.0103394913021484	0.0213993889382741	0.00933226179532096	0.0140475590870383	0.0203132375772625	0.0296901037447245	0.0233811215941036	0.0260113075120379	0.0435721567266786	0.0474385390250239	0.0214223443629257	0.0296053211191998	0.0181267828186046	0.0374339319728572	0.00372613552354065	0.0167033089230969	0.0424745564951928	0.0347198097059111	0.0371825310985769	0.00585605637764695	0.0295749665735408	0.0585545787970797	0.0183657246175423	0.0413633370832332	0.00299179129656506	0.0341859721543519	0.0176728078425739	0.0318083531437532	0.0150788857416612	0.00622862477744051	0.0529457621330712	0.0576680097974161	0.0251926271015655	0.0446823133777023	0.00969368708692726	0.0415968133096542	0.010603286033913	0.0367603233536529	0.0106747182050283	0.02991562806022	0.084731571793571	0.052788218672619	0.019181853710465	0.0223134979454064	0.0409412646430612	0.0251715654352331	0.0540384249207378	0.0522722854080163	0.0414720623738634	0.0255855376910651	0.0121256423820157	0.00918691269789589	0.0359655804955664	0.0135351567708316
HT29_G1_1B_3	0.0142228493992961	0.0243017085182266	0	0.00681951250764499	0.00859461394153295	0.0115602150134987	0.00818868702371574	0.0109453752325577	0.00721981313283288	0.00881554599628598	0.0308840864397877	0.0176847430048236	0.00349816244451318	0.0275759191722872	0.0106897439364675	0.0487216762828411	0.0122650128107734	0.031992408092073	0.0124029518492104	0.00926466372438619	0.0218744323953572	0.0505250987288561	0.0228885326993551	0.00699668215567499	0.00590189061071608	0.0200133650898856	0.0107786529301257	0.02034167492631	0.0349566316406087	0.0308410903401445	0.0100211016237067	0.0204842391178625	0.0264600526187637	0.00830703572685808	0.00827371049843225	0.0118811699676492	0.00447783253758383	0.0199586446101333	0.0251226170818955	0.00636029855226567	0.0116172192020972	0.0107232790832628	0.0166257215920424	0.0258744705920382	0.0127374930205067	0.0204427013479072	0.013559985802805	0.0139013171971638	0.0275830964531107	0.00989419765610168	0.0369330131128561	0.0121539801969607	0.02067175914696	0.0224281247524738	0.0108729685688106	0.0140015436831977	0.0159255589364196	0.0116025404672304	0.0253475858737645	0.0310849507131711	0.0350103183310377	0.0042684297695144	0.0235984208616159	0.0151627699591605	0.0205615635401938	0.0292273348341688	0.0149476986618978	0.0191660008020373	0.00928500823083836	0.061758447039386	0.0310659381511401	0.0109917070560396	0.00711529859223531	0.0193195224324011	0.00876462432737441	0.0313624281460389	0.0291743806080678	0.0206829705237117	0.00888854134394938	0.0281875681313706	0.0218521202630007	0.0165662366437637	0.0117582911877701
HT29_G1_2A_1	0.0121093636636142	0.0223312604668328	0.00681951250764499	0	0.0115033830301173	0.0156373982458909	0.00858253397150661	0.0133743181555789	0.010618124778942	0.0100918040294678	0.0294552594285381	0.0146296871383401	0.00937844443834126	0.0310756135994747	0.0119012724312558	0.0463170619606573	0.015680007263019	0.028156785286971	0.0117781435115617	0.00970212898440713	0.0196946018193526	0.0531893379054996	0.0191458697588495	0.00846639857841337	0.00580157153801181	0.016002893199936	0.0135542586684339	0.0244469565995207	0.0373716878987051	0.027470951877205	0.0081192099159714	0.0178077821438788	0.0233163991225002	0.0112719203946601	0.00894698502704898	0.0109164757526982	0.00480488459317282	0.0229064406922735	0.0287335161659668	0.00818785155569682	0.014124689808383	0.0105072773515322	0.0176073549389779	0.023290519726914	0.0100354066053863	0.0230263395969139	0.0169455787522626	0.0171704495577695	0.0265349553349311	0.0118886408972938	0.0403549541718377	0.0102788416576985	0.0241347365046441	0.0198777358941503	0.0152969018532955	0.0158773968930531	0.0183750409478477	0.0120432347365537	0.0224701196364541	0.034458795110993	0.0375895248680714	0.00566191122647699	0.025706350370001	0.0133515236220022	0.0234948981913888	0.025596961025936	0.019021189065789	0.0158815393293257	0.0121717243013617	0.0647809442438198	0.0339533152102156	0.00814141375667502	0.00731384813962606	0.0212833384326092	0.00987249835023759	0.0354445036443759	0.0317614026742513	0.0232715664152816	0.0107463272021162	0.0253319202593224	0.0196432680833465	0.0189839186100921	0.0118457877154664
HT29_G1_2A_2	0.0221942435148199	0.031144610539297	0.00859461394153295	0.0115033830301173	0	0.0102651233409577	0.0153295932442101	0.0166582765678302	0.00197626352486155	0.0112643573749916	0.0376609267570415	0.0238619209644108	0.00673360517218633	0.0214004686676125	0.0151135069000454	0.056853028191162	0.0097001923535733	0.0387522885467647	0.019893528049177	0.0132698170962077	0.0282582134491194	0.0426483519600875	0.0290702772051244	0.00858552728230151	0.0100330256821766	0.0258211120191234	0.00826325643763561	0.0146025100418896	0.0270872912100929	0.0372675753736999	0.0157647435921758	0.0260596229012207	0.0338175043676039	0.0147751547111235	0.00659455378485516	0.0117894706381458	0.00844875064159465	0.0134544029782249	0.0177718664912289	0.0102700002956839	0.00804694031141732	0.0144935136880198	0.00831403393875868	0.0322765984331966	0.0163300258763193	0.0127004537611426	0.00729675955973269	0.00748528670688978	0.0340633020571834	0.00640205205263501	0.0300966507819341	0.0200450897848154	0.0138800248414871	0.0290836344869199	0.00690736205448872	0.0218377871101244	0.0116436433112406	0.0191593596401724	0.0326584326494484	0.0239313765750944	0.0272965956377597	0.00756671758819719	0.0151741224701761	0.0224311692842882	0.0130442618388619	0.0355265857811173	0.0102552298939603	0.0253965515997602	0.00524282727909498	0.0545483356370405	0.0235399152685915	0.0160189464870749	0.0106514591643127	0.010799586756278	0.00788866626642158	0.0252181266937904	0.022098470202121	0.012573444877909	0.00758507672782879	0.0352723077269655	0.0282790023915634	0.00889742272852827	0.018281775176871
HT29_G1_2A_3	0.0237094278693408	0.0298431797301653	0.0115602150134987	0.0156373982458909	0.0102651233409577	0	0.0147689654439448	0.0120580310544036	0.00875275927022699	0.0152025508825601	0.0362026340672433	0.0233049980676169	0.00928603904171747	0.0222262936486042	0.0162150293840976	0.0565820058444625	0.00225676889379964	0.0411066015018647	0.0218089011264349	0.0151730532966472	0.0296757595505652	0.0446977632763911	0.0301875130834049	0.0109478406732033	0.0161748184540743	0.029787248947648	0.0105731454203822	0.0157684041707543	0.0298110374323672	0.0381183390204941	0.0212147591575786	0.0274545151502677	0.0358639719192248	0.0109738312763612	0.0158294483367907	0.0161059949991513	0.0133753433906162	0.0168294383340801	0.0186942088473787	0.0100026762694471	0.00510867249540792	0.0129455711835975	0.0160932280151585	0.0318315180868531	0.0180947966764241	0.0148940895708375	0.00702897053580848	0.0110014775718076	0.0321508104235344	0.00609671538177578	0.0288949903274284	0.0209851032179296	0.0123973557146712	0.0282442892660959	0.00839950253698791	0.0182515358042404	0.0077604265705215	0.0166301079825578	0.032464363823576	0.0235730653671911	0.0293449846243754	0.0138665786300973	0.0185382476830757	0.0228411952726594	0.0134804329774466	0.0368822427729931	0.00781080015480852	0.0276488345884858	0.00569251224555334	0.0555122635934686	0.0238561507980009	0.0209421135904621	0.015883122195991	0.0159224058207806	0.00890084336666375	0.0245910411755538	0.0242211090908653	0.0148208360676428	0.00898310935228159	0.0369890216676764	0.0298974438734182	0.0128879513826819	0.0165205868531655
HT29_G1_3E_1	0.00990167590453265	0.0163928973037755	0.00818868702371574	0.00858253397150661	0.0153295932442101	0.0147689654439448	0	0.00618331633518699	0.0136761317725736	0.0152138307949623	0.0231586682423615	0.0101079909525248	0.00976824840292741	0.0346203829597031	0.00739804707470492	0.0427105159217786	0.0154385587555524	0.0265010681985264	0.00785915094502044	0.00686293623927013	0.015543075804396	0.0573925589474695	0.0161640391083165	0.00852484961773154	0.0118793465539642	0.0161641081236092	0.0134630345779162	0.0274886139983977	0.0418643663391201	0.0239304149061719	0.0109627739946342	0.0140616618041589	0.021227133876688	0.00587962760250188	0.014945303198681	0.0121324983020738	0.0106112500572946	0.027312287417025	0.0316109139563353	0.00609433501716257	0.0148221746263063	0.00625086052031382	0.0226493375853823	0.0182478171508161	0.00844430086137527	0.0267533450105443	0.019047300939878	0.0209508094769219	0.0197490509821763	0.0141654961105613	0.0429920064177066	0.00963143331787078	0.0260392202045136	0.0146217399978488	0.0178417453219699	0.00959485483525011	0.0182586837222128	0.00501351323835535	0.0181788756415677	0.037281887706917	0.0418227179394587	0.0101073160896538	0.0295705738404098	0.00814133716598587	0.0262159591926408	0.022634059199418	0.0208089691379302	0.0134407118685657	0.0142111987224308	0.0687428889001602	0.0372269604809025	0.00992226127984732	0.00904103121105019	0.0256130222474082	0.0106982266474503	0.0380124021255236	0.0361920918309766	0.0263410873254124	0.0111439754490704	0.0222520763385761	0.0156984866675618	0.0214890457538089	0.00379016169478719
HT29_G1_3E_3	0.0150121101614209	0.0183221484988562	0.0109453752325577	0.0133743181555789	0.0166582765678302	0.0120580310544036	0.00618331633518699	0	0.014727087999468	0.0177264138496847	0.0245105124574718	0.013268736029309	0.0110140558562181	0.0336191863614829	0.00997080491178484	0.0453574316707391	0.0130897621393764	0.0311124052910419	0.0130838182724837	0.010139167712897	0.0195191664103851	0.0565018820966365	0.0202495530932802	0.0104411258272642	0.0161080987719368	0.0219117631146198	0.0137258628261026	0.0266595426389008	0.0413869323897854	0.0274084341795476	0.0167850016377824	0.0179629848553405	0.0258786621950774	0.00396793523466903	0.0184942006938807	0.0149980106608628	0.0140773460923739	0.0273336190448667	0.0303858556954367	0.00738964380563215	0.0135214902575259	0.00694989494715178	0.0240255375304759	0.0207916596190489	0.012224550788697	0.0261854635883427	0.0180279377602701	0.0209806875750944	0.0205920769612577	0.0138658354239712	0.0409120561597791	0.0139949554664902	0.0242383583038204	0.0171613024266687	0.0175367575086858	0.00885844474135347	0.0161212193717572	0.00619237495961722	0.021359659484515	0.0355800663323082	0.0410814782976565	0.0139421428915485	0.0292724874786825	0.0125440353994113	0.0250199009150684	0.0265361619894379	0.0192595032254116	0.0184222153956272	0.0139019028903564	0.0674204334309885	0.0358146043873819	0.0157832770043154	0.0134313014626903	0.025923632864889	0.0113150231674285	0.0362512130833103	0.0356739067156167	0.0256453048978042	0.0116264552728016	0.0264776761352012	0.0198298003488478	0.0214089113602779	0.00582114565229713
HT29_G1_3F_1	0.0209690736092758	0.0296340442348566	0.00721981313283288	0.010618124778942	0.00197626352486155	0.00875275927022699	0.0136761317725736	0.014727087999468	0	0.0108610292159722	0.0361794655198358	0.0224195344908817	0.00515439012693723	0.0222326824825799	0.0138549632248428	0.0555338517297173	0.00837628374380554	0.0378124412079711	0.0186968490513208	0.0120619481619926	0.0271256255291412	0.0439661849733894	0.0279088002185693	0.00725642951894019	0.00966400971481612	0.0251159148499882	0.00753262351809693	0.0152737612191572	0.0284171812205553	0.0361059992041895	0.0152365971636281	0.0249503840188147	0.0327801489090335	0.0128554399033712	0.00730789117832722	0.0113026421682414	0.0076670694013046	0.0145095361427927	0.0186756685849137	0.00854463892065821	0.00689821562359981	0.0128834247624395	0.0100206339230003	0.0309095621946159	0.0152368684877146	0.013674943208542	0.00719888078541518	0.00818904686091571	0.0325300163804807	0.0052425495995961	0.030801133242018	0.0187664253916805	0.0142195993231891	0.0276259127068385	0.00667598791705588	0.0200330353457488	0.010899454164143	0.0173751806177739	0.0312782912918662	0.0247251158258657	0.0285200139903186	0.00695559071559055	0.0164324251622464	0.0210384818104408	0.0137093974990347	0.0344372728531744	0.00999815896332079	0.0243671805874382	0.00399173427946904	0.0557019621856628	0.0244511454338823	0.0153840443555134	0.0099663380164261	0.0122413275611958	0.0065380043376591	0.0258989894040633	0.023213748771459	0.0135359101918185	0.00631506212302555	0.0341946634861564	0.0271745614115713	0.00973449102404687	0.0165833752242422
HT29_G1_3F_2	0.0178540022938539	0.0303335443742625	0.00881554599628598	0.0100918040294678	0.0112643573749916	0.0152025508825601	0.0152138307949623	0.0177264138496847	0.0108610292159722	0	0.0373749713908907	0.0232932666258723	0.0108237968314422	0.0243266786445218	0.0192542570957083	0.0512615949349093	0.0159031105733576	0.035597399148947	0.0186468621119304	0.0175010351369428	0.0282574375366006	0.0480808924348515	0.028114491141745	0.0144833567858159	0.00663116313854077	0.0242485924016165	0.0176520176748592	0.0181314891109464	0.0324541391254567	0.0360980111582987	0.0141750292668355	0.0271131406973875	0.0299802396418053	0.0140590479460595	0.0100582769100239	0.0186579447990019	0.00606448205623007	0.0167676204531747	0.0244340069310809	0.0139067846185831	0.0157087340916592	0.0179161493752857	0.0175109447198484	0.031946175165181	0.0195879878697788	0.0195734673051324	0.0152308802193656	0.0125612781486159	0.0344827348221815	0.0125621925161411	0.0351148221508727	0.01381064066463	0.0214613814524031	0.0281995525574135	0.0106063577411779	0.0180634056524647	0.0203617704089042	0.0169567636350998	0.0300004800648871	0.0297253002919852	0.0324960654935874	0.00981294680612652	0.0237208537982181	0.0211960816559196	0.0210111013348741	0.0342968881968799	0.0148640238516022	0.0247290088031649	0.0123839503565278	0.0583888918691106	0.0296245215381277	0.0165570399809036	0.0142713623576761	0.0194066669124059	0.0147402351897067	0.0291730114752678	0.0257955933023396	0.0216806613516503	0.0153655406990099	0.0328758737044537	0.0281254627967398	0.019889329289415	0.0189110567669347
