	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0242836446372295	0.0100136760446742	0.0223915556299727	0.0371412165813696	0.0267101138218697	0.0103109329286581	0.0272315269110775	0.0233181960646378	0.0231594104129603	0.0193287504596303	0.0213246509379161	0.017694590068881	0.0246101587416854	0.0128776611445962	0.0129448104575273	0.0186265119561326	0.0273241457557273	0.0145377983982781	0.0238958686068521	0.0287415889546415	0.0180629295571308	0.0239917274260705	0.0321579658261559	0.019469987646972	0.0233561819535404	0.0246243873951941	0.0138022667304624	0.0196923373738767	0.0326206322200422	0.0300380344651186	0.028044306349615	0.0209382574585869	0.0328776967495809	0.0318487282645023	0.0169911101714469	0.0282856482910863	0.0202815725707285	0.0219814491030203	0.033097996470954	0.0322025987453529	0.0288691329409171	0.00971937445124287	0.0248679231687363	0.0435293650441677	0.0189827129020974	0.0294221686229537	0.0314283561996567	0.019826168949498	0.0246646079289332	0.0284229496976965	0.0199691048555865	0.0143028528119334	0.0310148012953066	0.0350398911352248	0.0191197200201119	0.0166969033529945	0.0129828218986577	0.0173143717070523	0.0192980704291119	0.0273535552236369	0.0159342084995047	0.0228274799457208	0.0226135728521981	0.0234140670045206	0.0303702456740756	0.0300671864906136	0.0282112534031861	0.0255155017116289	0.0248542701693669	0.023427175261495	0.0218885666455029	0.0191528096214185	0.0160130550451792	0.0319620783985112	0.0284956398266078	0.028405583788469	0.0167538876272437	0.0201440195190291	0.0291175608305922	0.021219904928584	0.034196812907015
HT29_G1_1B_2	0.0242836446372295	0	0.0326771984336926	0.00222654916375558	0.0128835519560686	0.00376488542599529	0.0142726713579365	0.00572856494264347	0.0028799187348046	0.00313344500884978	0.00676548011230359	0.00362052872321278	0.00685033678988007	0.00426420226498434	0.0118549077670254	0.021131925690698	0.00610010269158168	0.00326012065534128	0.0100475055395317	0.00119870270981736	0.00630002830171131	0.00622228249607173	0.00475620178516759	0.00886324047479125	0.00598499446035415	0.00539974300939726	0.00796878490834478	0.0104903880461594	0.0113250977685349	0.0100244436142505	0.00621451000583469	0.00464072165039829	0.00503594747924116	0.00874064012839707	0.00900113270538262	0.0119100518196702	0.00400325125326637	0.00440031624762565	0.0024431031104498	0.0105151052730938	0.00860011955154336	0.00845499980669133	0.0151376413333051	0.00151230172692906	0.0196858071361174	0.00761799736173585	0.00567629553591152	0.00742628062460297	0.00448029111982568	0.00932316362726062	0.00445115803941636	0.0059482286064754	0.0108890994762266	0.00887370623756051	0.0119404450575875	0.00554739206828396	0.00837531057755479	0.0161187317820977	0.00737323086483968	0.00942952451882984	0.00355063476973112	0.0111721713637925	0.00362030724195578	0.00362556862048275	0.00108558575106037	0.00675802571379693	0.00698247551546738	0.00657506793112893	0.00614388676583813	0.00291036286915658	0.00129007274836375	0.00479237989711143	0.00829107942599724	0.00837470102495855	0.00780030953648216	0.00535359307050879	0.00412931285613301	0.0075324365521812	0.0042393364637437	0.00599187574106773	0.00311392875313695	0.00994739084025051
HT29_G1_2A_1	0.0100136760446742	0.0326771984336926	0	0.0310452468266955	0.0452304791790711	0.0344767770143937	0.0184563459469177	0.0345334187928028	0.0322165247770478	0.0309569960207177	0.0286237607048792	0.0293402999113881	0.0266025376587128	0.0320834008748423	0.022196094407577	0.022564705902171	0.0275775658889031	0.0354380818153897	0.0226332013158495	0.0320703670197052	0.0361438644485286	0.0266147788513377	0.0331826581983907	0.041085864516216	0.0271719648599003	0.0305750077109946	0.0311419762439932	0.0225673877350474	0.0254176749829997	0.0397629580017197	0.0378853620306589	0.0368430042486914	0.0285673160495697	0.0414114835615277	0.0391459364102028	0.0229884108775828	0.036613260975126	0.028374761750662	0.0305787032828971	0.0402028228854914	0.0398263186109606	0.0356370654712202	0.017550495689097	0.0329728372558168	0.0509662377695783	0.028405106507752	0.0372617233187028	0.0393282850826728	0.0284048278759178	0.0307974170137807	0.0364309151861793	0.0275290725296062	0.0237307721417193	0.0381070422728142	0.0422668732821244	0.027192941602203	0.0259183251789302	0.0229939301437488	0.0263282362153056	0.028996288472993	0.0353442461167838	0.0256684691566819	0.0318341122509834	0.0303508511715131	0.0316959668374249	0.0380928806742249	0.0375832584502672	0.0354249418955388	0.0325507492008311	0.0326465778708444	0.0316447785001136	0.029411199167817	0.0286979101293009	0.0248739612209397	0.0399850654831276	0.0361540419918119	0.0367708223297033	0.0253605649702594	0.0288042701955432	0.0367202439218395	0.029565885309132	0.0423054342849142
HT29_G1_2A_2	0.0223915556299727	0.00222654916375558	0.0310452468266955	0	0.0149113093698913	0.00588112328116214	0.0125920717996157	0.00767156736905484	0.00172683308230349	0.00402482701143124	0.00456205622553366	0.00327834974485055	0.00476448121824232	0.00570685844787974	0.00977662265511049	0.0189070216337126	0.00394101298589126	0.00547399406324399	0.00849895365631548	0.00270842205314944	0.00843069479845351	0.00443210084542634	0.00375509683144025	0.0100979443213396	0.00533163807324412	0.00632358356249434	0.00908675271052558	0.00860530315886783	0.0112913971676108	0.0122263420028701	0.00843311957971662	0.00581325923786664	0.00491789014670686	0.0104906882918201	0.0112111890756503	0.0113591086859672	0.00602807117667989	0.00352640339640535	0.000527912441057112	0.0127194830833498	0.0108226943941417	0.0103613551180732	0.0135139586269043	0.0035374067507783	0.0218504499417324	0.00542716189923122	0.00790118974190409	0.00961275888352392	0.00264342159759861	0.0103554574311652	0.00666661463266251	0.00554603538790053	0.00873029522737176	0.0110250584653331	0.0141666109312457	0.00442769946264656	0.00619393471746293	0.0138926790378809	0.00524638419444582	0.00733911969115067	0.00577649190649094	0.00894670916074936	0.00209316643009598	0.00422399235621076	0.00204874315355422	0.00898401800251078	0.00919235616265633	0.00859158896734245	0.00763973723695494	0.00463326743944268	0.00232166075469158	0.00511827522879605	0.00614467727859885	0.00638671498103015	0.00993339004738674	0.00754869929516003	0.00610724778711543	0.00570075213900295	0.00225639527396997	0.00819463002651533	0.002005236552993	0.0120014995056835
HT29_G1_2A_3	0.0371412165813696	0.0128835519560686	0.0452304791790711	0.0149113093698913	0	0.0108031554495759	0.0270151278941227	0.0112431487983792	0.0144149647197423	0.0142854836462135	0.0189136408867269	0.0159351783061685	0.0196725377397095	0.013327607311617	0.0246858764048632	0.0330510064022134	0.0188404689618041	0.00984482653451196	0.0227411849178875	0.0132679483190987	0.00963382763017765	0.0190973055363564	0.0147145846029052	0.00769664397972044	0.0180690250692234	0.014985869801236	0.0154901469135255	0.023367454239371	0.0212733297986611	0.00754154682816359	0.00740598169654623	0.0100006168432992	0.0166894462140531	0.00510314064949466	0.00741629458010445	0.022984722563791	0.00889596241262698	0.0169403235348543	0.0152608399251924	0.00743245726759093	0.00594168223927329	0.0115056950106707	0.0278156075285764	0.0123178626743699	0.00758870737886348	0.0196156565750167	0.00802299011429629	0.00595285133287132	0.0173627884728046	0.0165026599777252	0.00880863179923896	0.0177328508829994	0.0236025342468474	0.00880805460549781	0.0059122466624261	0.0181224010402845	0.0210493244079718	0.0282917674235996	0.0201544921295643	0.0207267540903761	0.00989581149170294	0.0233495324237584	0.0151040161889748	0.0148975912388211	0.0137327883206547	0.00733405891642861	0.00814105058056826	0.0106167241257612	0.0134219545730881	0.0126048301279617	0.013727625550673	0.0158914129074468	0.0199843388769106	0.0212490278763065	0.0052497761597275	0.00925564377119873	0.00880480531383588	0.0204079728498138	0.0170969665704902	0.00878839045465837	0.0159269553263454	0.00294763774516836
HT29_G1_3E_1	0.0267101138218697	0.00376488542599529	0.0344767770143937	0.00588112328116214	0.0108031554495759	0	0.016443067113286	0.00217238548375902	0.00659611440020854	0.00356098547799345	0.0104358514678952	0.00541099317279186	0.0100387854949406	0.00261978839192343	0.0148747931639619	0.0246828904811328	0.00945616280934148	0.00192354363274823	0.0121789099115624	0.00327138707650144	0.00254969958701116	0.0090174091756706	0.008276977386449	0.00931761074680075	0.0073332031290503	0.00434748470867039	0.00586082737746988	0.0131659011952069	0.0108867786228791	0.00642140312531219	0.00341156475408154	0.00608240556571486	0.0059129746975707	0.00794099052322093	0.00545314780064953	0.0122882056119834	0.00349271702251021	0.00646969406416876	0.00593947333392221	0.0069203292697749	0.00549814837661985	0.00483648102837805	0.0171772586947882	0.00234532121471558	0.016833901856765	0.0113060908277795	0.00278821142972775	0.0048604919868225	0.00753620537709835	0.00720325217324216	0.00221374070360444	0.00695066504521231	0.0141258228310737	0.0051460352476051	0.00856439319821905	0.00760439889954344	0.01172093869165	0.0196258384519434	0.0106180944581371	0.0131833939920296	0.00134971005366814	0.0147437033106538	0.00736172025729977	0.00414113606755128	0.00393367103459561	0.00366426532647911	0.00347666092924396	0.00286011380194024	0.00357936751863624	0.00185818404912202	0.00375268658393343	0.00508913194287712	0.012019643642691	0.0113223626526175	0.00557966270706536	0.00181951797523902	0.00375269112983136	0.010276465332159	0.0074769229218559	0.00247268757416349	0.00588345457905422	0.00792809760944671
HT29_G1_3E_3	0.0103109329286581	0.0142726713579365	0.0184563459469177	0.0125920717996157	0.0270151278941227	0.016443067113286	0	0.0169232121650848	0.013798281489128	0.0128836218390375	0.0105968389491818	0.0110990259662079	0.00825439114463534	0.0143016809743459	0.0049212038824044	0.013659426920114	0.00923610790983193	0.0171723928043786	0.00427838188887821	0.0137544405714991	0.0184349473941786	0.00816019418377524	0.0149208602048503	0.0226506590331963	0.00916429089136198	0.0130614980322415	0.0144957620775078	0.00426256929313168	0.0102701540365412	0.0223146062298131	0.0198034733395484	0.0183944880251274	0.0106311717773214	0.0229950585483919	0.0215415043393764	0.00765978901659436	0.0182492123601742	0.0100786688137185	0.0121268981372706	0.0227931864140733	0.0219258966373811	0.0186189621376883	0.00103900156964931	0.0146997481138428	0.0332475449691515	0.0106003700277446	0.019183199440543	0.0212142062477854	0.00995110127817467	0.014701608802684	0.0182333592091734	0.00965913454070424	0.00642633216394584	0.0207125947786282	0.0247332512165783	0.00889922675206991	0.00792852087642503	0.00983582971217404	0.00806908948513687	0.0118590930258536	0.0171528950572725	0.00907730468873756	0.01346414582403	0.0123242352731324	0.0133277718671535	0.020106777889547	0.0197708913682063	0.0179053159168985	0.0152361160092957	0.0145850872188022	0.0133050483030596	0.0115789313457352	0.0111393030730631	0.006541333690807	0.0217922917523408	0.018214339825503	0.0183928224339247	0.00691242474813004	0.0103521640101899	0.0188295559846675	0.0111613167737496	0.0240698069460903
HT29_G1_3F_1	0.0272315269110775	0.00572856494264347	0.0345334187928028	0.00767156736905484	0.0112431487983792	0.00217238548375902	0.0169232121650848	0	0.00860656845352699	0.00441542121562762	0.0121381725550124	0.00637704745567786	0.0113543862801495	0.00265944822322685	0.015955129375046	0.0261448770313527	0.0109059841933594	0.00397193624180363	0.012754743157084	0.00496377612332241	0.00163788298434028	0.0101308391658402	0.0103809295501294	0.0110764339208982	0.00778936027351966	0.00396239513280204	0.00437489811164774	0.0140488781114062	0.0100314378573935	0.00539491330325346	0.00410025583420568	0.00817585175606348	0.00632131767925724	0.00928952348127718	0.00464241345022898	0.0118345422919724	0.00541506775005944	0.00740752745941477	0.00762789715247817	0.0058783697596001	0.00540464780471237	0.00272725103058893	0.0175598970096158	0.00422191760802708	0.0164601375345666	0.0130207238185532	0.00360470554679323	0.00543884872023179	0.0088831050564944	0.00558542372852007	0.00378167008236771	0.00726518108047871	0.0153812397755013	0.00382782366416992	0.00782300370246322	0.00841186077865786	0.0131057057923404	0.0210640211223732	0.0119550552160234	0.0150081799928176	0.00333276402032041	0.0162871355570238	0.00934692218501103	0.00480865999939353	0.00563025800686747	0.00394791818416221	0.00313284373758368	0.00102229970220343	0.00218217351385587	0.00307657813290371	0.00538226421089774	0.00535114622653726	0.013791212484128	0.0124369190810482	0.00632790899067835	0.0022228448806037	0.00567112995926386	0.0113003305782968	0.00893070948451603	0.00249725244453354	0.00722646421771542	0.00858039237835291
HT29_G1_3F_2	0.0233181960646378	0.0028799187348046	0.0322165247770478	0.00172683308230349	0.0144149647197423	0.00659611440020854	0.013798281489128	0.00860656845352699	0	0.00550821068744926	0.00450854058827957	0.00499521488414039	0.0056454936805618	0.00700083784380322	0.0105093398465927	0.0188456449072029	0.00469477179013453	0.00568012112675381	0.00985820066356041	0.00384399727564666	0.00909105881271393	0.00572776110257413	0.00207311812602923	0.00888459409595139	0.00704399305573344	0.00784847032514755	0.0105657004642989	0.0096607862567822	0.0130170780400905	0.0126509432354756	0.00856377200429495	0.00473426978432449	0.00663432368235456	0.00969780404421259	0.0116035989789965	0.0130552579715087	0.00576243572521598	0.00523611370803992	0.00222824258910132	0.0131291183808894	0.0109484554805593	0.0113335031040618	0.0147591486149993	0.00439176184295578	0.0216129426067357	0.00525722477765551	0.00811106748700733	0.00956019654175956	0.00403433047737734	0.011874449177514	0.00682734841771262	0.00727214110687376	0.00927836956454503	0.0116200270053737	0.0143718422519263	0.00607139455221714	0.0067351583385364	0.0139489385903099	0.00600524912437744	0.00677492698524967	0.00613618476709955	0.00897644404703115	0.000789592005106246	0.0058030710230111	0.00330081024213562	0.00919549689474426	0.00960754027411021	0.0094360128090647	0.00892420066502753	0.00574162349428949	0.00360966953067957	0.00677868111350139	0.00576790172363741	0.00736442851818694	0.00972040736139549	0.00805128534752568	0.00576781407220957	0.00689807755521527	0.00354645528225066	0.00865726865511163	0.0037246293929646	0.0115878150438434
HT29_G1_3F_3	0.0231594104129603	0.00313344500884978	0.0309569960207177	0.00402482701143124	0.0142854836462135	0.00356098547799345	0.0128836218390375	0.00441542121562762	0.00550821068744926	0	0.00805341049958437	0.00196602377609212	0.00696456856679696	0.00189007878403728	0.0115527280502964	0.0217717538294255	0.00658776929322927	0.00460280059355172	0.00862371823601276	0.00194020386711078	0.00570454368483072	0.00571610096522835	0.00756614007102436	0.0116002570442316	0.0037879685878723	0.00234290090974597	0.0050707411810701	0.00971024594589844	0.00829167592275519	0.00968353051696853	0.00694836269834667	0.00757442800893498	0.00242099414893887	0.0109043242197035	0.00880642183197872	0.00917976181294066	0.00602664741175989	0.00301274253417227	0.00376674582973516	0.0101797226860326	0.00904675523367463	0.00683966245212487	0.0136176133974528	0.00234032891155998	0.0203793601031006	0.00893358613688188	0.00632462484311917	0.00838255448769709	0.00453440230714336	0.00636682503527437	0.0054942999508254	0.00346458100755312	0.0109689515925633	0.00820084291938514	0.0119849150088655	0.00408771699318737	0.0087320096489388	0.0166880726919876	0.00756917320016536	0.0110593737005591	0.00441175740288917	0.0119844020033866	0.00606832662022031	0.000633219204877591	0.00225290203784824	0.00722461656084344	0.00693298146227057	0.00543567793332319	0.00372983454155812	0.00170401829623836	0.0019503929188574	0.00180410598417402	0.00977426737740392	0.00802467757770754	0.0090365998322931	0.00533812071902935	0.00624299031213418	0.0069014912349736	0.00465833646975253	0.00596534852780585	0.00292929987921169	0.0113693472432408
