C59-A_1	C59-C_1	C59-D_1	C59-D2_2	C59-E_1	C59-F-L1_1	C59-F-L2_2	C59-G_2	C59-H_2	C59-I_1	C59-J_2	C59-M_1	C59-N_1
777	474	135	168	212	186	127	153	820	513	461	416	222
1628	1028	276	438	470	456	233	338	1728	1056	1014	904	449
3515	2297	685	931	875	758	408	715	3772	2209	2147	1876	981
5347	3644	1376	1856	1436	1294	529	1050	5586	3399	3277	2868	1587
6008	4350	2895	3716	1776	1605	502	1236	6100	3979	3694	3391	1922
4975	3799	4450	5794	1723	1543	385	1063	4997	3333	3252	2988	1772
2880	2171	5058	6467	1160	1161	212	557	2327	1626	1988	1711	1162
1090	851	3948	4790	517	607	109	179	681	497	795	549	525
324	280	1689	1974	197	218	0	0	168	125	258	150	175
