C6L2_3	C6L3_1	C6L5_1	C6L6_3	C6L7_3	C6N1_1	C6N2_1	C6P1a_1	C6P1b_3	C6P1c_3	C6P1d_3
2527	2130	874	1597	451	53	94	2662	8045	3962	2732
16173	5510	5074	7530	2637	126	172	13000	26818	9786	14593
25126	3415	8816	15367	4615	443	578	23432	30238	13718	24039
13240	1479	4582	9430	2582	1382	1587	12508	8292	12485	12636
9853	979	2097	3496	1009	3905	4502	3898	2237	7898	6594
4610	1531	2261	3306	789	8369	9745	2417	1484	4048	8735
6536	3353	3665	5732	1316	14044	16409	3747	2370	4878	15043
6270	3044	3508	5491	1356	13839	16031	3441	2160	4551	14372
1358	794	1287	1377	361	6263	7480	1369	733	1197	5258
