C6L2_2	C6L3_2	C6L5_3	C6L7_2	C6N1_3	C6N2_3	C6P1a_2	C6P1b_2	C6P1c_1	C6P1d_3
1055	155	1592	686	383	491	1794	899	2059	2332
4817	460	6943	1529	784	1141	7646	4546	2243	7674
2502	911	3299	5486	2760	3470	12535	5641	1213	4622
3323	1219	5433	2495	7479	10245	18194	7917	2895	8784
10938	2575	15513	6247	17105	21949	9636	5087	6905	26605
1284	1122	3391	1306	6025	7991	3596	1643	2706	5869
885	740	3230	913	5618	7673	3629	1414	1224	5269
663	181	2120	395	4220	5675	2428	1128	1129	3056
