C6L2_1	C6L3_3	C6L5_2	C6L6_2	C6L7_1	C6N1_1	C6N2_2	C6P1a_3	C6P1b_3	C6P1c_1	C6P1d_1
330	103	870	74	188	164	95	1233	1711	301	1019
1026	373	2572	184	631	398	312	3941	5108	1095	2909
3331	1480	3971	568	1986	1231	809	11681	11552	2051	5626
5421	1997	3791	1703	3565	4954	4559	18612	13993	3044	5126
5474	4097	7259	3068	4511	11961	11786	16720	6910	3882	10653
6148	6568	10432	5344	6974	20173	20146	18702	6918	4040	15686
4580	5207	8414	5314	5628	18256	19768	12788	5286	3201	12598
522	682	779	1126	450	3163	3794	1305	733	269	1265
