C6L2_1	C6L3_2	C6L5_2	C6L6_2	C6L7_3	C6N1_2	C6N2_3	C6P1a_2	C6P1b_3	C6P1c_2	C6P1d_3
295	111	1004	109	154	0	0	244	465	91	1559
4219	1602	7046	1481	1934	0	51	5705	9923	2000	6836
15870	7998	6838	6996	9940	663	1108	23469	28428	9697	9383
10511	4061	9317	10054	13087	4586	5761	23414	11239	13444	9045
5814	4679	7382	6010	6392	16333	19313	9286	3879	7548	9498
7420	5728	9338	7644	5883	25082	28690	10254	3214	8364	13502
3057	1497	2863	1830	1924	10166	14793	4098	1769	2353	4290
1699	1267	883	645	1004	4061	7761	2171	933	942	1726
