C6L2_3	C6L3_2	C6L5_3	C6L6_3	C6L7_1	C6N1_1	C6N2_3	C6P1a_3	C6P1b_2	C6P1c_2	C6P1d_3
3436	504	1048	865	1632	451	965	4789	1133	1656	1401
2661	944	2504	1744	1826	1158	1224	1461	1534	893	2987
4843	1323	5161	2943	1271	2750	3384	2148	3021	1746	6958
7191	1833	6028	4613	2084	5626	8747	4367	4402	2966	10068
7625	1968	6194	6154	2635	8229	12394	6825	5188	3518	11096
6700	2119	5525	3514	2465	6972	12123	5289	3759	3525	9823
3130	746	2709	2019	1349	4341	7037	3817	2328	2024	5514
1211	422	1546	1251	712	2319	3085	2665	1536	958	2537
