C6L2_3	C6L3_3	C6L5_3	C6L6_3	C6L7_3	C6N1_1	C6N2_1	C6P1a_3	C6P1b_3	C6P1c_3	C6P1d_3
1146	82	137	132	224	0	0	1260	4894	1612	299
2663	222	352	381	384	81	52	1091	1035	862	1059
2394	336	866	646	738	113	0	2203	821	1055	1901
990	500	1508	860	883	79	0	2915	879	939	2483
362	482	1565	1182	686	85	0	1410	1127	967	2218
661	720	1748	569	859	330	592	704	1312	1334	2744
450	525	1492	456	773	1130	954	340	872	989	2551
213	184	1235	211	343	1985	1622	841	627	729	2656
405	311	1310	356	508	3159	2461	1058	645	724	2888
492	363	1520	443	566	3868	3064	1323	709	642	3207
542	426	1391	437	530	3541	2883	1350	644	614	2832
316	261	788	242	304	2036	1564	740	347	425	1698
