C6L2_1	C6L3_1	C6L5_3	C6L7_3	C6N1_1	C6N2_1	C6P1a_3	C6P1b_1	C6P1c_3	C6P1d_3
377	298	2207	53	56	51	17501	4081	560	7397
1045	443	3876	118	145	85	9016	2521	1349	10130
734	511	1612	259	226	226	7241	1817	1109	4116
282	1062	387	354	180	466	1594	338	580	1324
417	2633	201	538	445	897	833	90	56	491
484	3379	335	585	836	1831	981	145	85	934
440	3266	650	619	1641	2909	1507	274	103	1947
393	2508	1274	614	2888	5377	2570	526	179	3843
387	1482	1733	712	4060	7401	3612	775	293	5436
302	934	1889	683	4382	7978	4077	865	346	5803
206	384	1514	415	3500	6133	3692	754	330	4615
120	173	799	142	1849	3154	2151	455	218	2378
