C6L2_3	C6L3_3	C6L5_1	C6L6_2	C6L7_1	C6N1_3	C6N2_3	C6P1a_3	C6P1b_1	C6P1c_3	C6P1d_2
2076	344	397	421	818	604	784	2010	579	1029	721
2229	1036	1018	1785	3638	1400	1548	6502	2207	3276	1543
4094	1931	2253	722	1692	4034	3988	3761	1393	5734	3630
7323	2589	2913	4391	10497	7664	7483	22707	6385	9200	5039
10368	5795	8126	2888	6803	13247	14571	20781	6057	19559	16709
11988	5042	6832	2760	5639	24363	24908	24805	4979	15235	14817
6139	2635	3132	1523	3539	23536	23486	11502	2217	5782	7065
3350	1604	1798	954	2257	16982	16401	4979	961	3426	4449
1039	491	734	324	886	4886	4664	1946	282	1278	1425
