C102L2_1	C102L3_2	C102M1_2	C102M2_1	C102M4_2	C102M5_1	C102M6_2	C102M7_2	C102N3_1	C102N4_3	C102P1j_2	C102P1b_1	C102P1c_2	C102P1d_2	C102P1e_1	C102P1f_1	C102P1g_1
16707	19651	0	16581	18702	18679	27818	23010	57	0	576	18688	15407	20587	13440	18081	25902
937	1095	61	1000	970	1167	1624	1176	114	281	0	2686	4519	8831	14399	5227	2887
4714	1424	1362	1492	4344	1260	4923	4925	1022	2208	819	1262	1503	16202	6394	19916	2702
20793	8641	10032	7913	20968	8577	28075	25569	5137	9825	5987	8427	8536	5815	7365	2133	15391
3420	13487	22739	17504	5557	16867	10358	6448	11467	21997	16485	21264	17516	9487	20710	3933	18740
2224	3463	9021	6601	3337	4233	5083	4982	12756	25064	4533	5448	7553	3444	4845	4292	4772
271	507	1462	755	312	370	848	691	2395	4792	397	615	853	482	656	751	457
179	528	800	676	267	362	889	582	2244	3262	149	394	434	503	605	787	485
506	751	1085	1033	609	796	1426	1134	4073	5664	356	796	777	1146	1170	1542	934
924	1218	1391	1284	1156	1287	2008	1565	5457	7586	827	1282	1259	1854	1900	2343	1402
1000	1085	1438	1375	1174	1469	2043	1363	5086	7027	963	1463	1223	1731	2000	2210	1330
