C102L2_1	C102L3_2	C102L4_1	C102M1_2	C102M2_2	C102M4_1	C102M5_3	C102M6_1	C102M7_1	C102N3_3	C102N4_2	C102P1j_3	C102P1b_1	C102P1c_1	C102P1d_1	C102P1e_1	C102P1f_1	C102P1g_2
170	60	0	0	0	78	81	135	152	0	73	0	278	73	201	152	140	109
518	214	67	208	141	277	181	478	453	93	213	83	1033	329	754	636	682	450
0	0	0	0	0	0	0	61	0	0	0	0	80	0	0	0	58	70
1369	632	203	704	510	827	538	1468	1344	344	868	229	3086	1166	2351	2035	2297	1462
115	0	71	88	71	135	0	148	187	80	188	0	332	180	260	280	300	189
1173	233	67	1188	1450	1575	195	1889	2611	1290	3301	541	5530	2497	5167	4030	5076	2607
0	0	65	0	97	0	0	0	81	263	584	0	0	81	0	124	219	0
680	176	107	440	1934	418	156	765	1008	2581	6822	181	1620	1238	2134	1741	3089	716
0	0	0	0	110	0	0	0	52	122	398	0	92	0	137	115	188	0
