C102L3_3	C102M1_3	C102M2_3	C102M4_2	C102M5_3	C102M6_1	C102M7_3	C102N3_3	C102N4_3	C102P1j_1	C102P1b_1	C102P1c_2	C102P1d_2	C102P1e_2	C102P1f_3	C102P1g_2
1479	12625	14619	30432	13387	4007	2893	180	321	13062	30423	29025	29883	30161	29489	30086
2466	15112	16333	8601	25675	6625	5527	368	679	10185	27531	29025	29883	30161	29489	30086
2340	2416	3600	532	20695	4941	5194	717	1703	1088	4581	8445	8536	5952	7063	8682
561	723	1265	1460	4552	793	785	2638	5554	428	1972	5244	1810	1504	2611	1491
342	1346	2265	3482	2742	572	520	6085	13349	963	3364	5100	3327	2857	5273	2213
374	1843	3165	4983	3288	801	683	8101	18001	1342	4728	5505	4890	4153	7128	3031
349	1591	2892	4541	2854	706	576	6821	15575	1225	4163	4537	4360	3539	6088	2521
214	876	1708	2668	1728	391	356	3689	8984	664	2346	2566	2511	1862	3192	1272
