C102L2_1	C102L3_1	C102M1_1	C102M2_2	C102M4_2	C102M5_1	C102M6_1	C102M7_1	C102N3_1	C102N4_1	C102P1j_1	C102P1b_1	C102P1c_2	C102P1d_2	C102P1e_1	C102P1f_2	C102P1g_1
57	0	63	119	121	57	0	0	0	0	281	224	0	580	146	263	148
139	102	153	261	256	137	61	70	0	0	601	555	120	1048	396	597	386
225	274	217	319	340	371	177	184	0	0	722	1046	371	1092	997	809	793
190	420	202	273	316	560	277	354	0	0	539	1208	634	957	1493	837	1329
186	349	145	214	205	523	284	387	0	57	243	860	679	615	1319	706	1353
176	238	88	135	71	253	173	287	118	139	79	343	542	293	742	509	1092
90	106	58	86	0	56	57	118	227	309	0	114	339	236	224	249	905
62	56	63	81	0	0	0	0	428	571	0	108	178	195	131	194	673
50	0	56	108	57	61	0	0	707	956	0	152	152	179	151	229	466
53	0	79	128	65	66	0	52	885	1245	61	177	164	162	174	260	255
61	0	57	109	59	60	0	0	844	1217	69	169	155	155	162	236	175
0	0	0	83	0	0	0	0	584	916	0	113	117	113	144	179	108
0	0	0	59	0	0	0	0	339	574	0	79	74	71	93	131	69
