C102L2_2	C102L3_1	C102M1_2	C102M2_1	C102M4_1	C102M5_1	C102M6_2	C102M7_2	C102N3_3	C102N4_2	C102P1j_2	C102P1b_1	C102P1c_1	C102P1d_2	C102P1e_1	C102P1f_1	C102P1g_1
1913	7396	3270	3042	710	7098	5925	4507	0	0	7300	8735	2852	4540	4046	780	1022
6673	21548	6157	10528	3582	4750	9339	7640	0	0	3212	17544	9023	14553	10852	7361	10954
14015	1452	11585	20159	10534	3141	11456	10972	567	606	6261	17939	19419	29846	29888	21235	29632
2346	875	2756	4128	15824	7748	3290	1539	4946	5474	5070	2410	10136	6936	8403	7805	10152
2232	2375	3065	5121	4711	3899	2041	2237	12887	15220	2520	3125	4196	3312	4599	5944	4434
1808	2836	2500	4410	2445	2576	1509	1522	15250	18265	2623	3533	3976	3493	4699	6048	3502
240	442	788	939	531	585	325	312	3551	4577	415	711	849	806	1052	1342	764
143	264	296	762	302	337	312	255	2177	2841	419	448	692	630	697	990	568
191	427	321	957	363	514	404	316	2876	3345	487	668	859	953	967	1189	681
210	458	284	878	312	537	399	331	2825	2974	497	665	812	950	952	1124	674
