C53-A_1	C53-B_1	C53-C_1	C53-E_2	C53-F_1	C53-G_1	C53-H_1	C53-I_1	C53-I_Nod_2	C53-J_1
1468	1086	2076	364	1719	1443	1240	1157	1147	1485
4135	2951	4944	874	4575	3203	3372	2778	2908	3723
5780	4166	6509	1022	6736	4165	4933	3858	3942	5241
4925	3510	5189	831	5904	3375	4400	3255	3245	4458
2107	1513	1865	513	2594	1532	2399	1357	1394	1909
1211	874	873	410	1488	887	1895	784	803	1133
1151	700	1240	369	1306	788	1656	761	766	1029
951	457	1882	258	950	487	1114	655	643	784
