C38-A_2	C38-B_2	C38-C_2	C38-D_1	C38-E_2	C38-F_2	C38-G_1	C38-H_1	C38-I_2	C38-J-N1_2	C38-J-N2_1	C38-K_2	C38-L_2
0	0	0	0	0	0	58	0	220	126	0	506	0
693	303	393	384	725	0	595	341	1317	931	495	1619	477
2102	1356	1133	1248	1772	0	1188	763	2306	1694	1115	825	772
2412	1621	1382	1327	1468	0	720	472	1192	791	701	721	337
1803	1193	1260	1037	854	76	640	600	808	739	944	418	457
668	539	684	583	435	398	310	497	231	392	900	362	488
90	324	195	258	141	900	62	271	99	129	503	221	319
0	216	0	0	54	1370	0	103	147	70	100	115	74
0	191	0	0	0	1421	0	56	142	65	0	74	0
0	113	0	0	0	1059	0	0	118	54	0	50	0
0	0	0	0	0	485	0	0	0	0	0	0	0
