C38-A_2	C38-B_1	C38-C_2	C38-D_1	C38-E_1	C38-F_1	C38-G_2	C38-H_2	C38-I_1	C38-J-N1_1	C38-J-N2_1	C38-K_2	C38-L_2
246	296	0	70	268	0	0	179	170	811	157	78	169
1064	2276	354	897	1346	0	507	994	1847	4075	1369	1041	988
2865	2803	1235	2546	2612	0	1446	2091	5208	2018	3881	3086	2280
816	1680	1426	499	381	115	826	302	3029	2631	2479	2185	611
1008	1521	941	592	0	379	210	79	883	573	481	564	112
1630	1408	330	897	0	1227	147	162	754	453	196	308	121
1389	991	229	785	87	2177	232	258	1137	637	281	444	189
550	760	199	401	75	2337	237	274	1126	572	277	479	212
172	325	105	105	0	1337	113	167	520	242	133	215	126
0	85	0	0	0	311	0	0	96	0	0	70	0
