C38-A_3	C38-B_2	C38-C_3	C38-D_2	C38-E_2	C38-F_1	C38-G_1	C38-H_1	C38-I_3	C38-J-N1_2	C38-J-N2_1	C38-K_1	C38-L_2
304	153	532	945	131	0	0	0	219	412	56	66	0
1501	892	873	1483	824	0	263	157	944	1385	413	447	394
2241	1353	151	253	1232	0	355	338	1426	1129	689	870	651
867	631	244	298	575	544	120	171	632	493	331	261	345
1172	627	519	592	752	1674	246	307	1050	1056	427	375	512
1084	653	575	488	614	3178	323	359	1155	1278	357	731	518
233	412	211	103	54	3799	145	130	505	414	108	700	164
89	123	56	0	0	1877	0	0	234	156	0	158	57
