C38-A_1	C38-B_1	C38-C_2	C38-D_1	C38-E_1	C38-F_2	C38-G_1	C38-H_1	C38-I_1	C38-J-N1_1	C38-J-N2_1	C38-K_1	C38-L_2
345	316	119	203	383	0	59	0	372	302	82	132	80
574	897	195	323	332	0	73	57	961	898	143	237	122
2516	2143	802	1542	1876	87	321	206	2492	1965	567	676	623
3086	3895	1103	1978	444	255	530	387	2821	3364	901	1230	925
6810	3719	2703	4588	1132	990	1256	923	2407	3140	2391	1828	2390
4948	1643	2023	3100	910	2467	1096	609	460	628	1448	2984	1081
961	568	535	777	1195	3708	276	162	678	595	389	762	361
689	696	555	338	329	5688	193	112	732	829	290	617	161
0	0	0	0	0	770	0	0	0	0	0	0	0
