	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_1	0	0.00047808877167559	0.00318782338130129	0.0018627966516045	0.00390000893710628	0.00606382811768159	0.00855795004245362	0.0102336082614722	0.00460735612837167	0.00218122720121861	0.00438624629428923	0.000662807680307853	0.0167255237079811	0.00798624941730675	0.00873741630362681	0.00341540851036025	0.00589235627940682	0.00272120857977744	0.00777785857980215	0.0186952020716851	0.0175730340046429	0.00407029545792546	0.0101987547269947	0.00224845905286413	0.00388785619070426	0.00776542297806262	0.0122073339384714	0.0156810908567111	0.00773889621755099	0.00862540706906038	0.00157515626913105	0.00115349846991451	0.0141199972698099	0.00247843761502636	0.0101275859055087	0.0110769949495038	0.00958513304117123	0.00610255033297903	0.00611621935944151	0.00355573483744526	0.0128963163086944	0.0167760964305364	0.00177007075753146	0.014338349920613	0.00806336537762685	0.0136418652871873	0.000381915418158004	0.00430228909274129	0.0163412063212535	0.00126091004028216	0.0108301009184012	0.022568248866097	0.00490445579715116	0.00934363259500275	0.00520134618962709	0.0157633839431132	0.0160817489026946	0.00695813070319469	0.00884682614249946	0.00960035211787471	0.0164817899306501	0.00115668230065145	0.0101408681874811	0.0120733977203439
OM3_B_B_2	0.00047808877167559	0	0.00366591019235174	0.00138470831329258	0.00342192240849889	0.00654191023873215	0.00903602585723111	0.00975553629830501	0.00508544097045279	0.00265931499944165	0.0048643314874289	0.000184718929107781	0.016247480774347	0.0075081707348277	0.00921549158452125	0.00293732142466152	0.00541427287265232	0.00319929589063938	0.00729977936079533	0.0182171707812863	0.0180510697329115	0.00359220914388375	0.0106768252606516	0.00177037094999101	0.00340976964717222	0.00728734372750603	0.0117292692870935	0.0152030422857231	0.00726081689984832	0.00814733012372668	0.00109706778776215	0.00163158692566563	0.0136419409649647	0.00200034967637709	0.00964951358693401	0.0105989259491582	0.0100632056549625	0.00562446733362251	0.00563813638709445	0.00307764790489698	0.0124182545207754	0.0162980537792933	0.00224815886130985	0.0138602946476674	0.00758528689741332	0.0131638067793849	9.61733595491586e-05	0.0047803744148646	0.0158631612700528	0.000782821434478279	0.0103520310257655	0.0220902443361811	0.00442637067519033	0.00886555776656462	0.00567943000768685	0.0152853358028133	0.0156037024503428	0.00648004951604329	0.00836874983116739	0.00912227808842257	0.0160037456482153	0.000678593660762442	0.00966279591321183	0.0115953325310204
OM3_B_B_3	0.00318782338130129	0.00366591019235174	0	0.0050506095046361	0.00708780136923417	0.00287602421502492	0.00537017796276424	0.0134212776080526	0.00141954005451682	0.00100659863468963	0.00119842878644798	0.00385062820641145	0.019912972893647	0.0111739727791334	0.00554964704801925	0.00660320664432592	0.00908011972640752	0.000466616220957837	0.0109655863734221	0.0218825655577207	0.0143854922721257	0.00725808576128666	0.00701101113444365	0.00543626875449184	0.00707564877228952	0.0109531510330548	0.0153949464426436	0.0188685819085906	0.0109266248289076	0.0118131162277526	0.00476297125550578	0.00203432753538429	0.0173075462841611	0.00566624527867206	0.0133152580564307	0.0142646410839715	0.00639737809404157	0.00929031020162092	0.00930397899193976	0.00674353137454512	0.0160839068966624	0.0199635435261042	0.00141775542953867	0.0175258911600085	0.0112510870746505	0.0168294309493364	0.0035697372744401	0.00111447106897723	0.0195286712003255	0.00444872714529321	0.0140177540143284	0.0257554180692944	0.00809223473139458	0.0125313246945504	0.0020135345082035	0.0189508717861273	0.0192692241869336	0.0101458749805468	0.0120345301661197	0.0127880378376015	0.0196692491079631	0.00434450005951708	0.0133285399884654	0.015261014360304
OM3_C_7A_2	0.0018627966516045	0.00138470831329258	0.0050506095046361	0	0.00203721749046875	0.00792659336098683	0.010420688454621	0.00837086782759523	0.00647013329360447	0.00404401808323662	0.00624902502767426	0.00119998949191444	0.0148628905038444	0.00612348483885535	0.0106001524730186	0.00155261533222612	0.00402957519097987	0.00458399707352958	0.00591509209967767	0.0168326124508538	0.0194356080630709	0.00220750469289708	0.0120614710757393	0.000385662969042534	0.00202506469689665	0.00590265638627176	0.0103446202059201	0.0138184366330563	0.00587612938822191	0.00676264868001307	0.000287640679186317	0.00301629284519508	0.0122573143259748	0.000615641962647201	0.00826484418288685	0.00921426529574628	0.0114478580506829	0.00423977064148224	0.00425343976079084	0.00169294212902083	0.0110336131091339	0.0149134642809442	0.00363286320268696	0.0124756707996451	0.00620060151739909	0.0117791741928499	0.00148088160351816	0.00616506840485848	0.014478565214263	0.000601887108075011	0.0089673680116453	0.0207057600095741	0.00304166892098278	0.00748088180334359	0.00706411882659375	0.0139007313230975	0.0142191025712468	0.00509535729735289	0.00698407002312993	0.00773760420676972	0.0146191516917805	0.000706114885656987	0.00827812662549868	0.010210682013074
OM3_C_7A_3	0.00390000893710628	0.00342192240849889	0.00708780136923417	0.00203721749046875	0	0.00996375435606999	0.0124578131400794	0.00633368843145048	0.00850731139553721	0.00608121796445896	0.00828620546228357	0.00323720419872767	0.0128258102495902	0.00408628531546122	0.0126372742044986	0.000484602697660212	0.00199236346178908	0.0066211928341548	0.0038778910787436	0.0147955743635231	0.0214725278434576	0.000170287471793357	0.0140985670499625	0.00165155497797253	1.21528073320379e-05	0.00386545527793694	0.00830746449844853	0.0117813363067235	0.00383892809422999	0.00472545413995925	0.00232485769028531	0.00505349941823224	0.0102201869488718	0.00142157615526143	0.00622766367347665	0.00717709533332761	0.0134849652100563	0.00220255985274375	0.00221622903540485	0.000344275779428871	0.00899646699676505	0.0128763850388053	0.0056700659421556	0.0104385469936598	0.00416340256403043	0.00974203923718901	0.00351809536100029	0.00820224970694547	0.0124414773899615	0.00263910346019521	0.0069301951812562	0.0186688213172781	0.0010044536223912	0.00544369356562312	0.00910129031689448	0.0118636325208202	0.0121820097575921	0.00305815099240298	0.00494687734670342	0.00570041840219817	0.0125820666117277	0.00274333098780903	0.00624094625466629	0.00817352452005562
OM3_C_7B_1	0.00606382811768159	0.00654191023873215	0.00287602421502492	0.00792659336098683	0.00996375435606999	0	0.00249416721910409	0.0162970808674389	0.00145648624174692	0.00388261891343436	0.00167759745243424	0.0067266263170611	0.0227885379110594	0.0140498384929024	0.00267363775575574	0.0094791677357246	0.011956034392869	0.0033426388651738	0.0138414573581005	0.0247580412473799	0.0115096342855286	0.0101340357872578	0.00413501606732136	0.00831224741143068	0.00995160196817506	0.0138290223294881	0.0182706863710795	0.0217441910677389	0.0138024967892921	0.0146889652245256	0.0076389587938921	0.0049103416872318	0.020183217260499	0.00854222069187865	0.0161910644931696	0.0171404182529083	0.00352137653166898	0.0121662203558763	0.0121798888496571	0.00961949016801561	0.0189596228475336	0.0228391063494345	0.00429377351286861	0.0204015537895577	0.0141269508155181	0.019705119862656	0.0064457383013671	0.00176155512238999	0.0224042527201483	0.00732471851512465	0.0168935389710031	0.0286306948773705	0.0109681694046608	0.0154071539151973	0.000862491454731676	0.0218264775482916	0.0221448166767412	0.0130217658429133	0.0149103731780443	0.0156638597349786	0.02254482462628	0.00722049265604995	0.0162043460284057	0.0181367588374869
OM3_C_7B_2	0.00855795004245362	0.00903602585723111	0.00537017796276424	0.010420688454621	0.0124578131400794	0.00249416721910409	0	0.0187909801619656	0.00395064844345345	0.00637676453282047	0.00417175856877151	0.00922073939177945	0.0252822002436944	0.0165438024646006	0.000179470954806946	0.011973235817113	0.0144500506175748	0.00583678906516271	0.0163354268760835	0.0272516169116224	0.00901555732370354	0.0126280912063146	0.00164085475790164	0.0108063361901019	0.0124456609903881	0.0163229921760205	0.020764521511566	0.0242378965617676	0.0162964673357514	0.017182911707928	0.0101330584276398	0.00740447717964882	0.0226769836608138	0.0110363055806388	0.0186849670391556	0.0196342909759376	0.00102721246353933	0.0146602316836005	0.0146738998562364	0.012113555599556	0.0214534339721905	0.0253327665429973	0.00678791530253652	0.0228953119305696	0.016620912715399	0.0221989040537155	0.00893985522063367	0.00425571580418215	0.0248979311598513	0.00981882294315122	0.0193874196026242	0.0311240799869957	0.0134622076042516	0.0179010798876697	0.00335665614974609	0.0243201797117691	0.0246385058423184	0.0155157564356603	0.0174043134351811	0.0181577781554189	0.0250384972044077	0.00971459863598252	0.0186982481681374	0.0206305985491364
OM3_C_7B_3	0.0102336082614722	0.00975553629830501	0.0134212776080526	0.00837086782759523	0.00633368843145048	0.0162970808674389	0.0187909801619656	0	0.0148407183125032	0.0124147379440082	0.0146196237642807	0.00957082344385598	0.00649230868848023	0.00224742366842392	0.0189704286896989	0.006818283744898	0.00434134431449832	0.0129546899083058	0.00245581866418262	0.00846216709175192	0.0278048895162643	0.00616340330542433	0.0204316141583247	0.00798521394618141	0.00634584107028493	0.00246825450414186	0.00197381281187457	0.00544779186218368	0.00249478176899845	0.00160825130258595	0.00865850115874275	0.0113870594162346	0.00388658758411699	0.00775523995491475	0.000106026236773128	0.000843420461870222	0.0198180585546908	0.00413114893030785	0.00411747980626604	0.00667795907257415	0.00266283226025945	0.0065428856792255	0.0120036024945072	0.00410495464976756	0.00217030608967313	0.00340842524892342	0.00985170640249474	0.0145356722751769	0.00610795947630967	0.00897273900361043	0.000596516009568915	0.0123356507161565	0.00532924677756184	0.000890005712985587	0.0154346655765888	0.00553009127639535	0.00584848118134564	0.00327555984983663	0.00138682644219203	0.00063327811214879	0.00624855460246465	0.00907696380555657	9.27434721168802e-05	0.00183986978630629
OM3_C_7C_1	0.00460735612837167	0.00508544097045279	0.00141954005451682	0.00647013329360447	0.00850731139553721	0.00145648624174692	0.00395064844345345	0.0148407183125032	0	0.00242613747473838	0.000221111399880396	0.00527015816276268	0.021332300697675	0.0125934426848326	0.00413011837494902	0.00802272032029805	0.0104996122797703	0.00188615583774125	0.012385058730039	0.0233018506935285	0.0129660446718145	0.00867759444937232	0.00559149053998151	0.00685579025617352	0.00849515889299379	0.0123726235345532	0.0168143573149331	0.020287930745742	0.0123460976389313	0.0132325783444742	0.00618249665371852	0.0034538640950574	0.0187269245052587	0.00708576534572146	0.0147347002525186	0.0156840695204097	0.00497785384967573	0.0107098006798844	0.0107234693337218	0.00816304401782527	0.0175033064320509	0.0213828702836928	0.0028372934835518	0.0189452654190681	0.0126705560623349	0.0182488176782883	0.0049892684669647	0.000305069154388636	0.0209480068720526	0.00586825420726998	0.015437186116161	0.0271746078357865	0.00951173644511695	0.0139507775695175	0.000593995048001818	0.0203702190060371	0.0206885650858334	0.0115653565555464	0.013453989488948	0.0142074872835525	0.0210885819190001	0.00576402765155111	0.0147479819982982	0.0166804273809629
OM3_C_7C_2	0.00218122720121861	0.00265931499944165	0.00100659863468963	0.00404401808323662	0.00608121796445896	0.00388261891343436	0.00637676453282047	0.0124147379440082	0.00242613747473838	0	0.00220502648923552	0.00284403343822415	0.0189065077413125	0.0101674143296237	0.00655623286449188	0.0055966210660366	0.00807354700780833	0.000539982502797969	0.00995902636413009	0.0208761289800307	0.0153920130442491	0.00625150315978591	0.00801758997238161	0.00442967862511904	0.00606906531096646	0.00994659093165817	0.0143884262458389	0.0178621027334959	0.00992006453142053	0.0108065627549677	0.00375637893900847	0.00102772963855475	0.0163010476062473	0.0046596559698984	0.0123087174252998	0.0132581093983696	0.00740396004499282	0.00828373877472697	0.00829740765013585	0.00573694640852376	0.0150773941501678	0.0189570790726234	0.000411157000629625	0.0165193951050549	0.0102445292101743	0.0158229266469366	0.00256314186994209	0.00212106887003588	0.0185222007971484	0.00344213391784488	0.0130112199405955	0.0247490458139522	0.0070856563620165	0.0115247771611342	0.00302013099881117	0.0179443936875504	0.0182627502987199	0.00913930913537685	0.0110279784851979	0.0117814925162423	0.0186627806132707	0.00333790654537269	0.0123219994780485	0.0142544927545362
