	OM3_B_B_1	OM3_B_B_3	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8C_1	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_3	OM3_C_9G_3	OM3_C_9H_1	OM3_H_3C_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3F_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2
OM3_C_8B_1	0.0673481551262712	0.0404963523017233	0.0249346991960496	0.0522500352015574	0.00539278938051627	0.00668018809117099	0.0248403291162588	0.113782269022402	0.10518342032052	0.105350352456479	0	0.0318450062565979	0.0303939219833315	0.0110182967803547	0.0342229648667537	0.0430190839838467	0.0519750828262209	0.039916068398858	0.095877349543493	0.0248336078774696	0.0346718344566335	0.0278016651945299	0.0130852973508993	0.0446086964603472	0.0119118712827809	0.00238366781526634	0.0322668120713389	0.0234342143709168	0.0468628827414786	0.0107125030702076	0.0639511486941455	0.0155512526651179	0.00395192426005036
OM3_C_8C_1	0.036552781349637	0.0093058571594937	0.0119027995187689	0.0242803494739704	0.0353923532344612	0.0383464992700805	0.0563682952653142	0.0822561338486236	0.073761401827599	0.0741765201810084	0.0318450062565979	0	0.0139504165072783	0.0417507031573432	0.00706022524044522	0.0118474349836955	0.0463615462469395	0.0713871204028037	0.12720763302543	0.0565811750543301	0.0165494564229726	0.00464732435761283	0.0267263127617621	0.0140297666907845	0.0330764124598927	0.0302327892891096	0.0637150089545129	0.055006231797246	0.0781034426965721	0.0423472784748001	0.0953540323321624	0.0472438049909506	0.032495282679683
OM3_C_8C_3	0.0417290333258047	0.0173864552369988	0.0213473516608057	0.0232409040815514	0.0347021301101072	0.0369513043047144	0.0547839969000436	0.0863970683062286	0.0788309275154677	0.0770274248167908	0.0303939219833315	0.0139504165072783	0	0.0402357701196199	0.00915392208502788	0.0181511665551604	0.032722789412144	0.0696090923094917	0.125111475593421	0.0543735563877244	0.0296167061283725	0.0139334603846205	0.0303236576479618	0.0223243178750063	0.0363367644140524	0.0283400988681894	0.061889567988968	0.0518022546069275	0.0766756302917556	0.0393378843220537	0.0933373493982506	0.044212765362008	0.0310611713564652
OM3_C_8E_1	0.0762341462663616	0.0500505258410253	0.0334595364705849	0.062634731038084	0.0065641081769957	0.00627709461269505	0.0156724411869715	0.123622197280507	0.11530939946358	0.115326880266528	0.0110182967803547	0.0417507031573432	0.0402357701196199	0	0.0440573458443004	0.0531685751947931	0.0590655433472836	0.0302104438851161	0.0863454144502848	0.016146007650462	0.0434448746829236	0.0379777117951033	0.0182775754050139	0.0536838936174742	0.0160945929715456	0.0132264544016251	0.022284368717199	0.0167452420759134	0.0370005773472052	0.00704902045840339	0.0540386991767551	0.00973422475598172	0.0130043620815655
OM3_C_8F_2	0.0343835719344155	0.00833903422057215	0.0174306951707901	0.0199811565012616	0.0380218495908899	0.0408904587392849	0.0589843270879754	0.0802478399735945	0.0724511359971563	0.0715382757223422	0.0342229648667537	0.00706022524044522	0.00915392208502788	0.0440573458443004	0	0.0104410479385283	0.0402715649052272	0.0739658151553526	0.129823485295303	0.0589557453179042	0.0235440990588397	0.00998533636709962	0.0306692383683656	0.0134641148328777	0.0375526525324075	0.0324231732041175	0.0661827120608229	0.0570095352411647	0.0808402314022386	0.0442194464132362	0.0978692617254339	0.0492039345543082	0.0350564386240867
OM3_C_8F_3	0.0273692282073221	0.00634447272801768	0.0232855237075259	0.0138768975260703	0.0468762069311493	0.0495916306456372	0.0677218987001662	0.0710098008238149	0.0625918452017638	0.0626139075407859	0.0430190839838467	0.0118474349836955	0.0181511665551604	0.0531685751947931	0.0104410479385283	0	0.0456138256741786	0.0827764429084903	0.138476168766074	0.0677745671604632	0.0234128377529913	0.015720632104171	0.0385593020844552	0.0100009183024145	0.0446107223924582	0.0412178351314549	0.0751242296008901	0.0658036446695768	0.0895779721207538	0.0532667836760272	0.106748186808354	0.058140529360525	0.0434059917648968
OM3_C_9A_1	0.0607306606306415	0.0467029469177639	0.05346446377747	0.0396852884916975	0.0561376665825364	0.0566664569236319	0.0704731649853926	0.0963648748091056	0.0913123583399086	0.0851318259551627	0.0519750828262209	0.0463615462469395	0.032722789412144	0.0590655433472836	0.0402715649052272	0.0456138256741786	0	0.0829018259307972	0.133635299957309	0.0689477569902869	0.0619833681397346	0.0464201201395618	0.0576825933350808	0.0503967900362127	0.062061159350368	0.0499899482087333	0.076117178228571	0.0648059142468724	0.0899190429936888	0.0557815232441506	0.103956946348149	0.0592984758448801	0.0522673137040142
OM3_C_9A_2	0.106189713882593	0.0799652787271249	0.0626303783696057	0.091869082137319	0.0361811020802575	0.0333076023641842	0.0151237732642203	0.153128256984124	0.144403673485579	0.144914823543833	0.039916068398858	0.0713871204028037	0.0696090923094917	0.0302104438851161	0.0739658151553526	0.0827764429084903	0.0829018259307972	0	0.056238529819442	0.0155041935338574	0.0705113543059668	0.0673478920254391	0.04675342728555	0.0836083344141156	0.0406776456517756	0.0418767590432927	0.0080188544903269	0.0196527233073286	0.00725442091934735	0.0304256525331271	0.024095955361972	0.0258572723498319	0.0399375195353003
OM3_C_9C_2	0.161821963692644	0.135828771745816	0.118305806634576	0.147141416868301	0.0923029602126351	0.0892623931095159	0.0711799427600374	0.208200355304245	0.199240417138267	0.200083745180746	0.095877349543493	0.12720763302543	0.125111475593421	0.0863454144502848	0.129823485295303	0.138476168766074	0.133635299957309	0.056238529819442	0	0.0711987563339433	0.125017625771459	0.123094990948162	0.102423672052663	0.139425690641271	0.095701846708924	0.097732103157745	0.0641346408468502	0.0738401691989285	0.0496376805967557	0.0860814773835877	0.0326373484580897	0.0812220405718152	0.0955299335872475
OM3_C_9C_3	0.0918389347631143	0.0652415836728581	0.0486039895448255	0.0765348629621731	0.0217335612675577	0.0182568964087104	0.00281599669440272	0.138362862045166	0.129617421523817	0.129938692862438	0.0248336078774696	0.0565811750543301	0.0543735563877244	0.016146007650462	0.0589557453179042	0.0677745671604632	0.0689477569902869	0.0155041935338574	0.0711987563339433	0	0.056919057268616	0.0524669099795484	0.0333862138133202	0.0691675724271065	0.027320290658949	0.0266514979454244	0.00871272849571156	0.0059053975509468	0.0226918750929522	0.0150669970337312	0.0394011033608742	0.0104174058474111	0.0246640071733594
OM3_C_9D_1	0.0438062315707145	0.0218392532819986	0.0139394156707123	0.0365837624365265	0.0370697574176875	0.0398284770596172	0.0561138597774418	0.0865816099259795	0.0767565787530991	0.0801303229670914	0.0346718344566335	0.0165494564229726	0.0296167061283725	0.0434448746829236	0.0235440990588397	0.0234128377529913	0.0619833681397346	0.0705113543059668	0.125017625771459	0.056919057268616	0	0.0157724787838284	0.0264736386389614	0.0237791022066119	0.029906840727557	0.033765399940405	0.0634518056489382	0.056324290675575	0.0765874273535196	0.0449992971649013	0.0939528100229274	0.0492368217331391	0.0347226787465581
OM3_C_9E_2	0.0411570711153105	0.0139218153939648	0.0101414980381427	0.0273338004625201	0.0315424490137091	0.0342470866396252	0.0522906414497168	0.0863463838724433	0.0775693058118278	0.0782218298158553	0.0278016651945299	0.00464732435761283	0.0139334603846205	0.0379777117951033	0.00998533636709962	0.015720632104171	0.0464201201395618	0.0673478920254391	0.123094990948162	0.0524669099795484	0.0157724787838284	0	0.0234675066671567	0.0186496461155963	0.0289601840538812	0.026147290028434	0.0597526176481228	0.050799239634179	0.0740910708592207	0.0383056398479506	0.0913517985403696	0.0431258232688101	0.0281973325793656
OM3_C_9E_3	0.0603591676553491	0.0347790286397309	0.016277808470001	0.0501776127870803	0.0126335420007352	0.0169494829980941	0.0324024299238678	0.107881393434904	0.0994441146004267	0.100307568533654	0.0130852973508993	0.0267263127617621	0.0303236576479618	0.0182775754050139	0.0306692383683656	0.0385593020844552	0.0576825933350808	0.04675342728555	0.102423672052663	0.0333862138133202	0.0264736386389614	0.0234675066671567	0	0.0377311888325593	0.0111552179775454	0.0137555247235527	0.0391292309916688	0.0338169863417461	0.0530016794442436	0.022046352832613	0.0703323927432846	0.0263466055242925	0.0155379027945249
OM3_C_9F_3	0.0229956174997994	0.00557896126926713	0.0221046245204672	0.0209767470956529	0.0475824734927574	0.051075701789673	0.0688041124157516	0.0707605984530958	0.0633487115726666	0.0631269894134665	0.0446086964603472	0.0140297666907845	0.0223243178750063	0.0536838936174742	0.0134641148328777	0.0100009183024145	0.0503967900362127	0.0836083344141156	0.139425690641271	0.0691675724271065	0.0237791022066119	0.0186496461155963	0.0377311888325593	0	0.0455916143936166	0.0431684217917579	0.0758062896282083	0.0679462314682946	0.0901718563217146	0.0550282359185336	0.107357001796847	0.0600323750778759	0.0457762211951857
OM3_C_9G_3	0.0684532613724564	0.0420232729446092	0.0237644187972707	0.0556823667033129	0.0113544855170298	0.0126326679609227	0.0263380867834654	0.114235027017208	0.1049384239287	0.106663836523428	0.0119118712827809	0.0330764124598927	0.0363367644140524	0.0160945929715456	0.0375526525324075	0.0446107223924582	0.062061159350368	0.0406776456517756	0.095701846708924	0.027320290658949	0.029906840727557	0.0289601840538812	0.0111552179775454	0.0455916143936166	0	0.0130741840305275	0.0337086723054016	0.0275444824826033	0.0468922423819948	0.0181734407138161	0.0643066602143042	0.0212174470832309	0.0117660609063775
OM3_C_9H_1	0.0658552808430575	0.038898490128659	0.0240419800972993	0.0501650115233765	0.00774350363927069	0.00868896421787911	0.0268087140391684	0.112018665311828	0.103403571112687	0.103487219189485	0.00238366781526634	0.0302327892891096	0.0283400988681894	0.0132264544016251	0.0324231732041175	0.0412178351314549	0.0499899482087333	0.0418767590432927	0.097732103157745	0.0266514979454244	0.033765399940405	0.026147290028434	0.0137555247235527	0.0431684217917579	0.0130741840305275	0	0.0342762484942907	0.0248556635558827	0.0488765871290149	0.0121670444739787	0.0658942935777753	0.0170261194157724	0.00382421286697044
OM3_H_3C_2	0.0983460285756381	0.0721949584983973	0.055008947983381	0.0842843880623479	0.028390477237247	0.0257455216442274	0.00794197006582186	0.145518126404324	0.136953584519295	0.137270346072164	0.0322668120713389	0.0637150089545129	0.061889567988968	0.022284368717199	0.0661827120608229	0.0751242296008901	0.076117178228571	0.0080188544903269	0.0641346408468502	0.00871272849571156	0.0634518056489382	0.0597526176481228	0.0391292309916688	0.0758062896282083	0.0337086723054016	0.0342762484942907	0	0.0138795571067343	0.0148869689395423	0.0229320549346256	0.0318065168323037	0.0186963842468855	0.0325921648966845
OM3_H_3E_1	0.0905408162476249	0.0637049392317489	0.0480473648300143	0.0737794858908641	0.0215315236241946	0.017300769529928	0.00849247379787592	0.136372718213384	0.127560858876996	0.127673790866496	0.0234342143709168	0.055006231797246	0.0518022546069275	0.0167452420759134	0.0570095352411647	0.0658036446695768	0.0648059142468724	0.0196527233073286	0.0738401691989285	0.0059053975509468	0.056324290675575	0.050799239634179	0.0338169863417461	0.0679462314682946	0.0275444824826033	0.0248556635558827	0.0138795571067343	0	0.0268252518349906	0.0131201568225002	0.0427005144346049	0.00803891307140765	0.0226701757302101
OM3_H_3E_2	0.11270781616718	0.0866597231285577	0.0690124436488276	0.0988975511761042	0.0429454223423545	0.04025569371321	0.0221060312157923	0.159758449855757	0.151005561254592	0.151690312956626	0.0468628827414786	0.0781034426965721	0.0766756302917556	0.0370005773472052	0.0808402314022386	0.0895779721207538	0.0899190429936888	0.00725442091934735	0.0496376805967557	0.0226918750929522	0.0765874273535196	0.0740910708592207	0.0530016794442436	0.0901718563217146	0.0468922423819948	0.0488765871290149	0.0148869689395423	0.0268252518349906	0	0.0375868282376304	0.017465261613019	0.0330721533466442	0.0469230077657057
OM3_H_3F_1	0.0775845347239025	0.0508723150643923	0.0355498589947614	0.0616520083573613	0.00950199656721396	0.0056310136349083	0.0157485831868904	0.123960038737857	0.115429726565473	0.115305912780656	0.0107125030702076	0.0423472784748001	0.0393378843220537	0.00704902045840339	0.0442194464132362	0.0532667836760272	0.0557815232441506	0.0304256525331271	0.0860814773835877	0.0150669970337312	0.0449992971649013	0.0383056398479506	0.022046352832613	0.0550282359185336	0.0181734407138161	0.0121670444739787	0.0229320549346256	0.0131201568225002	0.0375868282376304	0	0.0542600312659464	0.00509428360048392	0.0109262142918274
OM3_H_3G_2	0.12975508456174	0.103844896696071	0.0863675111770059	0.115705806187957	0.0601424361170766	0.0573690458215912	0.0392109180812035	0.176833233034638	0.168166367899463	0.168670062852467	0.0639511486941455	0.0953540323321624	0.0933373493982506	0.0540386991767551	0.0978692617254339	0.106748186808354	0.103956946348149	0.024095955361972	0.0326373484580897	0.0394011033608742	0.0939528100229274	0.0913517985403696	0.0703323927432846	0.107357001796847	0.0643066602143042	0.0658942935777753	0.0318065168323037	0.0427005144346049	0.017465261613019	0.0542600312659464	0	0.0495794124807964	0.0639558227005836
OM3_H_3H_1	0.0826184641362667	0.0558534653751938	0.0403041649846683	0.0664011404733004	0.0138283249865421	0.00964427031125887	0.0115885071264985	0.128807508738766	0.120158722717597	0.120149226628198	0.0155512526651179	0.0472438049909506	0.044212765362008	0.00973422475598172	0.0492039345543082	0.058140529360525	0.0592984758448801	0.0258572723498319	0.0812220405718152	0.0104174058474111	0.0492368217331391	0.0431258232688101	0.0263466055242925	0.0600323750778759	0.0212174470832309	0.0170261194157724	0.0186963842468855	0.00803891307140765	0.0330721533466442	0.00509428360048392	0.0495794124807964	0	0.015234002764474
OM3_H_3H_2	0.0685428865368379	0.0414072337195187	0.0262237772156226	0.0523221860705831	0.00821002151278094	0.00721362190956794	0.0248678819863026	0.114148715292859	0.105233286942429	0.105675352576366	0.00395192426005036	0.032495282679683	0.0310611713564652	0.0130043620815655	0.0350564386240867	0.0434059917648968	0.0522673137040142	0.0399375195353003	0.0955299335872475	0.0246640071733594	0.0347226787465581	0.0281973325793656	0.0155379027945249	0.0457762211951857	0.0117660609063775	0.00382421286697044	0.0325921648966845	0.0226701757302101	0.0469230077657057	0.0109262142918274	0.0639558227005836	0.015234002764474	0
