	OM3_B_B_1	OM3_B_B_3	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8C_1	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_3	OM3_C_9G_3	OM3_C_9H_1	OM3_H_3C_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3F_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2
OM3_B_B_1	0	0.0273579462912569	0.0448445348967098	0.0273868350565226	0.0702988331851998	0.0738489935663115	0.0915038614988523	0.0499065615185376	0.0448856377746093	0.0429422113443352	0.0673481551262712	0.036552781349637	0.0417290333258047	0.0762341462663616	0.0343835719344155	0.0273692282073221	0.0607306606306415	0.106189713882593	0.161821963692644	0.0918389347631143	0.0438062315707145	0.0411570711153105	0.0603591676553491	0.0229956174997994	0.0684532613724564	0.0658552808430575	0.0983460285756381	0.0905408162476249	0.11270781616718	0.0775845347239025	0.12975508456174	0.0826184641362667	0.0685428865368379
OM3_B_B_3	0.0273579462912569	0	0.0193402532452125	0.0188594729049752	0.0438619471240074	0.0470570559972912	0.0650234102300634	0.0738708757560226	0.0660237390145055	0.0657910215323859	0.0404963523017233	0.0093058571594937	0.0173864552369988	0.0500505258410253	0.00833903422057215	0.00634447272801768	0.0467029469177639	0.0799652787271249	0.135828771745816	0.0652415836728581	0.0218392532819986	0.0139218153939648	0.0347790286397309	0.00557896126926713	0.0420232729446092	0.038898490128659	0.0721949584983973	0.0637049392317489	0.0866597231285577	0.0508723150643923	0.103844896696071	0.0558534653751938	0.0414072337195187
OM3_C_7A_3	0.0448445348967098	0.0193402532452125	0	0.0361514539686658	0.0271647961393537	0.0307959018564445	0.0479343350360175	0.0917721810297969	0.0832602468951222	0.0843593655627988	0.0249346991960496	0.0119027995187689	0.0213473516608057	0.0334595364705849	0.0174306951707901	0.0232855237075259	0.05346446377747	0.0626303783696057	0.118305806634576	0.0486039895448255	0.0139394156707123	0.0101414980381427	0.016277808470001	0.0221046245204672	0.0237644187972707	0.0240419800972993	0.055008947983381	0.0480473648300143	0.0690124436488276	0.0355498589947614	0.0863675111770059	0.0403041649846683	0.0262237772156226
OM3_C_7B_2	0.0273868350565226	0.0188594729049752	0.0361514539686658	0	0.0566624140767262	0.0588211170278099	0.0768903830737818	0.0645535337239213	0.0567736451269358	0.0547886073796752	0.0522500352015574	0.0242803494739704	0.0232409040815514	0.062634731038084	0.0199811565012616	0.0138768975260703	0.0396852884916975	0.091869082137319	0.147141416868301	0.0765348629621731	0.0365837624365265	0.0273338004625201	0.0501776127870803	0.0209767470956529	0.0556823667033129	0.0501650115233765	0.0842843880623479	0.0737794858908641	0.0988975511761042	0.0616520083573613	0.115705806187957	0.0664011404733004	0.0523221860705831
OM3_C_7C_1	0.0702988331851998	0.0438619471240074	0.0271647961393537	0.0566624140767262	0	0.00494253452846045	0.0212928469323873	0.117404273883383	0.108935472029889	0.109185348632432	0.00539278938051627	0.0353923532344612	0.0347021301101072	0.0065641081769957	0.0380218495908899	0.0468762069311493	0.0561376665825364	0.0361811020802575	0.0923029602126351	0.0217335612675577	0.0370697574176875	0.0315424490137091	0.0126335420007352	0.0475824734927574	0.0113544855170298	0.00774350363927069	0.028390477237247	0.0215315236241946	0.0429454223423545	0.00950199656721396	0.0601424361170766	0.0138283249865421	0.00821002151278094
OM3_C_7C_2	0.0738489935663115	0.0470570559972912	0.0307959018564445	0.0588211170278099	0.00494253452846045	0	0.0182025812039775	0.120297790254287	0.111590598446193	0.111930177301287	0.00668018809117099	0.0383464992700805	0.0369513043047144	0.00627709461269505	0.0408904587392849	0.0495916306456372	0.0566664569236319	0.0333076023641842	0.0892623931095159	0.0182568964087104	0.0398284770596172	0.0342470866396252	0.0169494829980941	0.051075701789673	0.0126326679609227	0.00868896421787911	0.0257455216442274	0.017300769529928	0.04025569371321	0.0056310136349083	0.0573690458215912	0.00964427031125887	0.00721362190956794
OM3_C_7G_3	0.0915038614988523	0.0650234102300634	0.0479343350360175	0.0768903830737818	0.0212928469323873	0.0182025812039775	0	0.138236849149938	0.129477582318338	0.129974272305158	0.0248403291162588	0.0563682952653142	0.0547839969000436	0.0156724411869715	0.0589843270879754	0.0677218987001662	0.0704731649853926	0.0151237732642203	0.0711799427600374	0.00281599669440272	0.0561138597774418	0.0522906414497168	0.0324024299238678	0.0688041124157516	0.0263380867834654	0.0268087140391684	0.00794197006582186	0.00849247379787592	0.0221060312157923	0.0157485831868904	0.0392109180812035	0.0115885071264985	0.0248678819863026
OM3_C_8A_1	0.0499065615185376	0.0738708757560226	0.0917721810297969	0.0645535337239213	0.117404273883383	0.120297790254287	0.138236849149938	0	0.0135616542574356	0.0118061514305627	0.113782269022402	0.0822561338486236	0.0863970683062286	0.123622197280507	0.0802478399735945	0.0710098008238149	0.0963648748091056	0.153128256984124	0.208200355304245	0.138362862045166	0.0865816099259795	0.0863463838724433	0.107881393434904	0.0707605984530958	0.114235027017208	0.112018665311828	0.145518126404324	0.136372718213384	0.159758449855757	0.123960038737857	0.176833233034638	0.128807508738766	0.114148715292859
OM3_C_8A_2	0.0448856377746093	0.0660237390145055	0.0832602468951222	0.0567736451269358	0.108935472029889	0.111590598446193	0.129477582318338	0.0135616542574356	0	0.0146985310471118	0.10518342032052	0.073761401827599	0.0788309275154677	0.11530939946358	0.0724511359971563	0.0625918452017638	0.0913123583399086	0.144403673485579	0.199240417138267	0.129617421523817	0.0767565787530991	0.0775693058118278	0.0994441146004267	0.0633487115726666	0.1049384239287	0.103403571112687	0.136953584519295	0.127560858876996	0.151005561254592	0.115429726565473	0.168166367899463	0.120158722717597	0.105233286942429
OM3_C_8A_3	0.0429422113443352	0.0657910215323859	0.0843593655627988	0.0547886073796752	0.109185348632432	0.111930177301287	0.129974272305158	0.0118061514305627	0.0146985310471118	0	0.105350352456479	0.0741765201810084	0.0770274248167908	0.115326880266528	0.0715382757223422	0.0626139075407859	0.0851318259551627	0.144914823543833	0.200083745180746	0.129938692862438	0.0801303229670914	0.0782218298158553	0.100307568533654	0.0631269894134665	0.106663836523428	0.103487219189485	0.137270346072164	0.127673790866496	0.151690312956626	0.115305912780656	0.168670062852467	0.120149226628198	0.105675352576366
