	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_3	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_3	OM3_C_8B_3	OM3_C_8C_3	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_3	OM3_H_3F_3	OM3_H_3G_3	OM3_H_3H_3
OM3_C_9C_2	0.0473430814641887	0.0311717135154951	0.0325199029493878	0.0250281773157322	0.014726177651346	0.0286061636607932	0.0230569875836736	0.02960012920738	0.010005183796016	0.0178321495331825	0.0240390692366388	0.0188992224031148	0.0261344505782077	0.0146537991480676	0.0328082845185975	0.0174661298104408	0.0110080035860638	0.0276493944371227	0.0302072736779405	0.0183272945895567	0	0.0095436369681097	0.00583097885850138	0.00861284346290094	0.0218521170000984	0.0182775463024084	0.0319119781336885	0.0324687597666241	0.0293989651901363	0.025623721114401	0.0188858542501102	0.013775321580086	0.023048946271249	0.00496807784924521	0.00512564994566262	0.00219545761368351	0.00701893794410419	0.0104795858244057	0.0417369170224766
OM3_C_9C_3	0.037845640341042	0.0219553212855776	0.0230161601678606	0.0161534517238511	0.00590689845275017	0.0191144315792783	0.0135311731714726	0.0200742795237099	0.0105085758848495	0.00894985261230756	0.0151755289596124	0.00951129540254676	0.0166783810661935	0.00517184934528323	0.0233793236271823	0.0108934999691218	0.00320598021863583	0.0181207368803584	0.0207106270332073	0.00893874188281372	0.0095436369681097	0	0.00855755930875869	0.00458260582653434	0.0124054567588701	0.00883455727892962	0.0224307386744567	0.0229414558735623	0.0205757526484917	0.016082427952799	0.00944965784810771	0.00641356078819543	0.0135508750171508	0.0133798519110095	0.00868036797438312	0.0101554585950296	0.0116783418678706	0.0168457884515521	0.0329356646478239
OM3_C_9D_1	0.0453633663153677	0.0301658385765873	0.02984401626892	0.0246239006914888	0.0144636397860118	0.0268685827497967	0.0207316038780448	0.0276337348815972	0.014306444379355	0.0174797342772434	0.0236570159633669	0.0177228913591202	0.0245882724041642	0.0133958060100685	0.0312577766427483	0.0189728167463299	0.00814782732160892	0.0256959664301669	0.0275332513920505	0.0171666841861638	0.00583097885850138	0.00855755930875869	0	0.0104755729893232	0.0192218079335048	0.0169752113683548	0.0291385586766974	0.0304401727983468	0.0290360087221446	0.0235241776219516	0.0175827452575202	0.0146266022489572	0.0205633394173904	0.0107180268197756	0.00073983758752851	0.00794945072520447	0.0124311134401454	0.0163040164121388	0.0413511068117798
OM3_C_9D_3	0.0396447146364374	0.0230270162288858	0.025717635648483	0.0166817234856329	0.00677782240464678	0.0210254695323212	0.0163162274768339	0.0221859240974261	0.0059532509387128	0.00968850163244946	0.0157008187594881	0.0113218828519321	0.018478323876972	0.007732299933181	0.0249826918773281	0.00891866642858229	0.00777533891111142	0.0202893819690231	0.0234833891097007	0.0107853991733743	0.00861284346290094	0.00458260582653434	0.0104755729893232	0	0.0155720186676016	0.0108741855510914	0.0252387250140421	0.0250305895331889	0.0209790559470206	0.018490103333443	0.0114262737088609	0.00522991757043818	0.0164935214312635	0.0108807400951669	0.0102676809210449	0.00817718988246654	0.00789670021382427	0.0130714594208848	0.0332552140750874
OM3_C_9E_1	0.0261951879924633	0.012576967435661	0.0107072754209286	0.00992741783731089	0.00943267112088933	0.00825020497308137	0.00183531352853387	0.00866825315669267	0.0208790115211889	0.00823319235798898	0.00945086175466866	0.0055879538336452	0.0066533460324164	0.00784061132216616	0.0126344211076714	0.013994072695657	0.0111696990850973	0.00684725581086291	0.00838616167349116	0.00581694121665106	0.0218521170000984	0.0124054567588701	0.0192218079335048	0.0155720186676016	0	0.00546125434691976	0.0100690192582326	0.0113478625790185	0.013180313186385	0.0046403236854363	0.00522423984555899	0.0121599197161635	0.00140606841232125	0.0257565104328527	0.0196629046916018	0.0225578393660586	0.0234601801716506	0.0286412711106556	0.024114517838467
OM3_C_9E_3	0.0290845225151678	0.0132014362937487	0.0148628637833049	0.00796675751467876	0.00422207764953182	0.0103389054828234	0.00563286755787087	0.0113954426222556	0.0157195159908893	0.00290304981851663	0.00708520911005158	0.000799228315451652	0.00786012534854836	0.00366469518061763	0.0145518237805929	0.008655825550091	0.0090269004489085	0.00946652470447143	0.012658532349347	0.000456252019471476	0.0182775463024084	0.00883455727892962	0.0169752113683548	0.0108741855510914	0.00546125434691976	0	0.0144160628341826	0.0142624136707309	0.0122588779627235	0.0076165758235376	0.000615834050196136	0.00680692412909273	0.00595889717206225	0.0215806945563362	0.0172408664999482	0.0185675401446503	0.018710929018946	0.0238092007927494	0.0244454852460876
OM3_C_9F_1	0.0168395867027015	0.00981851585502621	0.00088026943301762	0.0129777468989494	0.0186307988013774	0.00626840419613016	0.00895499376498001	0.00487079996382992	0.0300610348023368	0.0163842698646002	0.0133279707625022	0.0140960595011552	0.00816902176361852	0.0176069263692202	0.00722731889922844	0.0213851821461256	0.0211940479957105	0.00585282965738069	0.00175773507878781	0.0145760138997244	0.0319119781336885	0.0224307386744567	0.0291385586766974	0.0252387250140421	0.0100690192582326	0.0144160628341826	0	0.00444299159828667	0.0129079332561541	0.00692193739250564	0.0139115522870318	0.02106917158769	0.00888199267938141	0.0357154990023554	0.0296185211228874	0.0325598666812647	0.0331091867870752	0.0382196479039132	0.0187795149252443
OM3_C_9F_3	0.014952215002656	0.00569845877634961	0.00380945444772991	0.0103842760600243	0.0182551375480594	0.00404681978182508	0.0097218288116974	0.00287105855713779	0.0292279345720173	0.0155307471744666	0.0110027271157816	0.0137310861922696	0.0065988082782036	0.0178265475915125	0.00279564149153303	0.0197184960983193	0.0223074219273845	0.00482184650422355	0.00447444562515993	0.0142845293508741	0.0324687597666241	0.0229414558735623	0.0304401727983468	0.0250305895331889	0.0113478625790185	0.0142624136707309	0.00444299159828667	0	0.00913322786220729	0.00692609346159345	0.0136729961007297	0.0203310555746725	0.00995465876754916	0.0358237939067782	0.03083556351058	0.032825376192744	0.0327136520368128	0.0376644549510019	0.0145289313597086
OM3_C_9G_2	0.0201107710664509	0.00363002876989922	0.0125762755828652	0.00442336219297195	0.014778563913474	0.00698510223775503	0.0114436755416215	0.0081408853342137	0.0236522252450146	0.0116614296614554	0.00540532104365322	0.0114674910166258	0.00681274450740911	0.0156702679993417	0.00692239719648728	0.0133490152204434	0.0212636544504997	0.00818285954725966	0.0119454783732135	0.0119864880344272	0.0293989651901363	0.0205757526484917	0.0290360087221446	0.0209790559470206	0.013180313186385	0.0122588779627235	0.0129079332561541	0.00913322786220729	0	0.00940966708775856	0.0116941734377392	0.0157576255289218	0.0120661695250625	0.0316965126342053	0.0292270942198604	0.0291532407958369	0.027769337254739	0.0322216271865721	0.0123792583470495
OM3_C_9G_3	0.0218762534973148	0.00813110768817312	0.0072867724530245	0.00735972428535126	0.0117902178930542	0.00361525413960856	0.00286777411312626	0.00411707790214791	0.0231593125693174	0.00946279602413947	0.00733681431425241	0.00722302418447985	0.00261627864736229	0.0110323672498982	0.00799782822362838	0.0145898050798127	0.0153854197865684	0.00221948800420832	0.00518885324550273	0.00772888858540888	0.025623721114401	0.016082427952799	0.0235241776219516	0.018490103333443	0.0046403236854363	0.0076165758235376	0.00692193739250564	0.00692609346159345	0.00940966708775856	0	0.00707442427288711	0.0141629019686117	0.00324689328556561	0.0291479546402644	0.0239140559133059	0.0260762144641529	0.0263147583986814	0.031386524664073	0.0195720335538163
OM3_C_9H_2	0.0284804706097469	0.0125905868146941	0.0143403238303606	0.00743481364322224	0.00472259021641332	0.00973690407179573	0.00521879547362413	0.010808493466171	0.0161809427181609	0.00301253768652821	0.00657447880014393	0.00041375251736931	0.00725050753843815	0.00428036054140322	0.0139388953494999	0.00878501992009066	0.0096150393437	0.00888620169502806	0.0121550774555188	0.000667656691132672	0.0188858542501102	0.00944965784810771	0.0175827452575202	0.0114262737088609	0.00522423984555899	0.000615834050196136	0.0139115522870318	0.0136729961007297	0.0116941734377392	0.00707442427288711	0	0.00722565104088073	0.00559284859226241	0.0221610811572091	0.0178518862307445	0.0191606773097938	0.0192419521699671	0.0243239188632766	0.0238535742718171
OM3_C_9H_3	0.0346971859618535	0.0179107467908361	0.0214462091026991	0.0114921303392493	0.00278272474766991	0.0162868396649485	0.0124333652203479	0.0175464634053805	0.00899771070646085	0.00480194718600099	0.0105190286371615	0.00699434083445005	0.0137330169818201	0.00511148510676746	0.0200353204362246	0.00448143435589311	0.00891559087651338	0.0157293233496586	0.0193196743830039	0.00655974854478835	0.013775321580086	0.00641356078819543	0.0146266022489572	0.00522991757043818	0.0121599197161635	0.00680692412909273	0.02106917158769	0.0203310555746725	0.0157576255289218	0.0141629019686117	0.00722565104088073	0	0.0127635340153305	0.0159932401962476	0.0146000133743752	0.0134021218873966	0.0124253688630911	0.0173399489428421	0.0280285397596479
OM3_H_3C_3	0.0248279456312286	0.0112632648552558	0.00947417222515626	0.00910287696979239	0.0101162779743142	0.00686161796756402	0.000664200699928366	0.00726265623631155	0.0216254859884054	0.0085099720348542	0.00873979345350373	0.00589770191990184	0.00539577650448629	0.00878605838566165	0.0112337047876348	0.0141722533033527	0.0124772982716336	0.00544558643050471	0.0071623076200909	0.00624113204519559	0.023048946271249	0.0135508750171508	0.0205633394173904	0.0164935214312635	0.00140606841232125	0.00595889717206225	0.00888199267938141	0.00995465876754916	0.0120661695250625	0.00324689328556561	0.00559284859226241	0.0127635340153305	0	0.0268483065856268	0.0209913192281239	0.0236820051233174	0.0243885488719847	0.0295469733494693	0.0227736819242237
OM3_H_3D_2	0.0505049610433457	0.0338828701373276	0.036260337226441	0.0274805517588318	0.0176208403732074	0.0318485415608475	0.0267696459209371	0.0329645644613035	0.00925841049601384	0.0205680532223709	0.026509669084754	0.0220983479568223	0.0293132178406514	0.0181395051540189	0.0358537405278802	0.0188268543846645	0.015441674591192	0.0310436278311833	0.0339775492026005	0.0215443765061723	0.00496807784924521	0.0133798519110095	0.0107180268197756	0.0108807400951669	0.0257565104328527	0.0215806945563362	0.0357154990023554	0.0358237939067782	0.0316965126342053	0.0291479546402644	0.0221610811572091	0.0159932401962476	0.0268483065856268	0	0.00999018642976925	0.00331415797504326	0.00483654579492484	0.00592649282243561	0.0438293459742132
OM3_H_3D_3	0.0457687628412211	0.030438140197158	0.0303138091630211	0.0248089246408622	0.0145780452189129	0.0272227988150132	0.0211407222633552	0.0280168794951848	0.0138453521194851	0.0176278467530058	0.0238362516773952	0.017976779778024	0.0249139297151265	0.0136293393567122	0.0315977139665388	0.0188936098194945	0.00853186041801973	0.0260735338792101	0.0279993205118072	0.0174154852639621	0.00512564994566262	0.00868036797438312	0.00073983758752851	0.0102676809210449	0.0196629046916018	0.0172408664999482	0.0296185211228874	0.03083556351058	0.0292270942198604	0.0239140559133059	0.0178518862307445	0.0146000133743752	0.0209913192281239	0.00999018642976925	0	0.00726505664890819	0.0118142754549958	0.0156044343486254	0.0415634712862028
OM3_H_3E_3	0.047599405743469	0.0311509338213408	0.0331253982593386	0.0248506087685853	0.0147448050795688	0.0288873415172479	0.0236300543722498	0.0299581685683694	0.0083016298103265	0.0177788492659862	0.023867734999679	0.0191266163714927	0.0263718727336838	0.0150459642378763	0.0329797850108245	0.0167044559756617	0.012129838713083	0.0280226529427172	0.0308305034032498	0.0185634155807217	0.00219545761368351	0.0101554585950296	0.00794945072520447	0.00817718988246654	0.0225578393660586	0.0185675401446503	0.0325598666812647	0.032825376192744	0.0291532407958369	0.0260762144641529	0.0191606773097938	0.0134021218873966	0.0236820051233174	0.00331415797504326	0.00726505664890819	0	0.00488868221492572	0.00837272114866575	0.0414114917836956
