	OM3_B_B	OM3_C_7A	OM3_C_7B	OM3_C_7C	OM3_C_7G	OM3_C_7H	OM3_C_8A	OM3_C_8B	OM3_C_8C	OM3_C_8E	OM3_C_8F	OM3_C_9A	OM3_C_9C	OM3_C_9D	OM3_C_9E	OM3_C_9F	OM3_C_9G	OM3_C_9H	OM3_H_3C	OM3_H_3D	OM3_H_3E	OM3_H_3F	OM3_H_3G	OM3_H_3H
OM3_B_B	0	0.0370901480340055	0.00878075910782097	0.0246371176135824	0.0401981491954549	0.0281565076673756	0.0403155832485752	0.0170982240149273	0.00870853948774197	0.0277074553373931	0.022064748248276	0.0367630322524645	0.0445443999298748	0.0225786619059377	0.039735060509993	0.0377774459268687	0.0231145991927489	0.0239243296582429	0.0213658823124858	0.0231868832417627	0.038248835253292	0.0293342456329836	0.0237728074489718	0.01905888280237
OM3_C_7A	0.0370901480340055	0	0.0348507305790405	0.0152474452316785	0.00918824727261107	0.0106261176932541	0.00331936086916954	0.0385138072102003	0.0302875902760096	0.00961071102080021	0.0157694804250961	0.006326047179692	0.0083311640916178	0.0191172016387925	0.00781183664864107	0.000923937131357476	0.0159216544200545	0.0147907848746906	0.0160691188094763	0.0159204337556593	0.00728309904494654	0.0107268349404763	0.0173590345729399	0.0197457300820795
OM3_C_7B	0.00878075910782097	0.0348507305790405	0	0.0204133444855181	0.0398353937230853	0.0249696694466134	0.0381003084617265	0.00912448402509337	0.00527880913918588	0.0254118637583728	0.0190865629952226	0.0358547143567833	0.0427866880294551	0.0173309272781618	0.0391029699235423	0.0354476540747668	0.0194999620150206	0.0206490551724384	0.0196536471463911	0.0192860680656643	0.037572912997633	0.0258667878541911	0.019018850364068	0.0161840045184113
OM3_C_7C	0.0246371176135824	0.0152474452316785	0.0204133444855181	0	0.0223651744653744	0.0056592832330881	0.0183724629785833	0.0233804763185268	0.0165774772684274	0.00718332632855217	0.00388505109464934	0.0180591243861358	0.0233647953056619	0.00392255514992952	0.0212718257073968	0.0157309404277042	0.00326687366181037	0.00384695723944333	0.00720578437409372	0.00161199723555929	0.0199130828931442	0.00659233308317825	0.00288556062873331	0.00757662670270364
OM3_C_7G	0.0401981491954549	0.00918824727261107	0.0398353937230853	0.0223651744653744	0	0.0177619792206047	0.00849439320856715	0.0448638813432688	0.0348136935220186	0.0154307335409437	0.0215204077550312	0.00590142898336931	0.00777820457862436	0.0262394468311962	0.00170625283851737	0.0093372303343963	0.022350210880097	0.0211080835206594	0.0206160810645603	0.0225466579642588	0.00300052306881095	0.0182686313780821	0.0245590091503206	0.0250470727157628
OM3_C_7H	0.0281565076673756	0.0106261176932541	0.0249696694466134	0.0056592832330881	0.0177619792206047	0	0.0138543211438632	0.02809607611315	0.0208241879988782	0.00486094701041435	0.00651011047633175	0.0128926650759572	0.0189547187644376	0.00937427194283158	0.0164854030078837	0.0112636577149139	0.00550914399216733	0.0044154913224947	0.00738814509422287	0.00611792301271501	0.0156446418505424	0.00184779818263937	0.00708337727504947	0.00966061570414313
OM3_C_8A	0.0403155832485752	0.00331936086916954	0.0381003084617265	0.0183724629785833	0.00849439320856715	0.0138543211438632	0	0.0416868986216768	0.0335317328657669	0.0128031499563226	0.0190316465708812	0.00742225211385972	0.00522695294187069	0.0221943192251079	0.00725223617308239	0.00266355202063533	0.0191879043304303	0.0180751444567037	0.0193693672902996	0.0191223583657563	0.0071668997108113	0.0138212783012853	0.0204936881275845	0.0230609838360499
OM3_C_8B	0.0170982240149273	0.0385138072102003	0.00912448402509337	0.0233804763185268	0.0448638813432688	0.02809607611315	0.0416868986216768	0	0.0133772415506804	0.0297936682915871	0.0234262619721178	0.040286645682191	0.0467120107580628	0.0196797264327646	0.0438730584161815	0.0390495838512585	0.0227918059570883	0.0240665307723426	0.0245713329385188	0.0227059935128454	0.0425751516030934	0.0284666386077776	0.0212520137958177	0.020246651369809
OM3_C_8C	0.00870853948774197	0.0302875902760096	0.00527880913918588	0.0165774772684274	0.0348136935220186	0.0208241879988782	0.0335317328657669	0.0133772415506804	0	0.0207503387049875	0.0146335222736928	0.0310418919998986	0.0380707833175334	0.014103726461353	0.0341522276361011	0.0309039706782415	0.0155258236854054	0.0165546586719589	0.0149724145805066	0.015274299906308	0.032569733285434	0.0219335143357603	0.0156358339862874	0.0121612613333931
OM3_C_8E	0.0277074553373931	0.00961071102080021	0.0254118637583728	0.00718332632855217	0.0154307335409437	0.00486094701041435	0.0128031499563226	0.0297936682915871	0.0207503387049875	0	0.00648603243999424	0.0117380461028973	0.0173841609059495	0.010919386273239	0.0144979811759377	0.010197379258796	0.00769704068887771	0.00679702406251241	0.00740142674372155	0.00727072541314935	0.0129163702745351	0.00655092249027642	0.00967248570015119	0.0112072165079712
