	OM3_B_B	OM3_C_7A	OM3_C_7B	OM3_C_7C	OM3_C_7G	OM3_C_7H	OM3_C_8A	OM3_C_8B	OM3_C_8C	OM3_C_8E	OM3_C_8F	OM3_C_9A	OM3_C_9C	OM3_C_9D	OM3_C_9E	OM3_C_9F	OM3_C_9G	OM3_C_9H	OM3_H_3C	OM3_H_3D	OM3_H_3E	OM3_H_3F	OM3_H_3G	OM3_H_3H
OM3_B_B	0	0.0696853958902318	0.0647987207772141	0.0561673419663281	0.0730469883868526	0.0583900703684596	NA	0.0693517068102254	0.0714203657247715	0.0671606441230774	0.0723695573649333	0.0669795530222937	0.0726094455107909	0.00362858088355171	0.0661548117358182	0.0752998736389695	0.0734398873338269	0.0627737223969362	0.0491944262976859	0.0236923166113405	0.0452953700554191	0.0711816517306255	0.0572932418935208	0.0702288647715655
OM3_C_7A	0.0696853958902318	0	0.0106300367677279	0.0352419140577234	0.0183926634114386	0.0165137786134439	NA	0.0157893102022355	0.0232480826180419	0.00267431697325609	0.0111837129878871	0.016123410672582	0.00409278848350589	0.0682299640053361	0.00353883760260358	0.00752171947083556	0.0101009513253316	0.00693159940820962	0.0207517174974233	0.0470623167328939	0.0249071269014172	0.0150175684683197	0.0147916257605437	0.00531082477129335
OM3_C_7B	0.0647987207772141	0.0106300367677279	0	0.0404145719482367	0.0282126510818687	0.00707306084636908	NA	0.0249574899357635	0.0144875973845185	0.0103728264646194	0.00763248505745085	0.00648073133360163	0.0146443204918623	0.0638327839338825	0.00941011820227145	0.0179994094097306	0.00868104022955497	0.00950604781774516	0.0163836801004761	0.0413249713762218	0.0230884624790759	0.0246983053303419	0.0179324294265134	0.0155312933334524
OM3_C_7C	0.0561673419663281	0.0352419140577234	0.0404145719482367	0	0.0242401474858153	0.0401458430324466	NA	0.0227837934438986	0.0547559370875527	0.0330764182394258	0.0454623024090954	0.0467310736899281	0.0348626553097067	0.0532313108282232	0.0331440345035547	0.0351551469600225	0.0449177790422048	0.0312946752580641	0.0308337680789811	0.0424860350301565	0.0245095772911911	0.0248212090738015	0.0225007493722136	0.0313975890957172
OM3_C_7G	0.0730469883868526	0.0183926634114386	0.0282126510818687	0.0242401474858153	0	0.0322325822216921	NA	0.00415750281430482	0.0416266398810664	0.0178700968169766	0.0294025155660482	0.0342888025771387	0.0155566591608626	0.0707929107669245	0.0188079218964907	0.0138978679624934	0.0280429543651397	0.0197133956088119	0.0301191779708083	0.0534576667950439	0.0293927958025854	0.00353188806063705	0.0177789132252676	0.0130827068064215
OM3_C_7H	0.0583900703684596	0.0165137786134439	0.00707306084636908	0.0401458430324466	0.0322325822216921	0	NA	0.0285088053893605	0.0159201184585294	0.0153614667568298	0.0141945451406264	0.00903775175533918	0.0205985656209051	0.0576057210567415	0.0141596954660769	0.0240310423156048	0.0155409352942996	0.0125268710080918	0.0117311359957762	0.0347739543937829	0.0192998314148397	0.0287231384540688	0.0182558494628613	0.0206306973974615
OM3_C_8A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM3_C_8B	0.0693517068102254	0.0157893102022355	0.0249574899357635	0.0227837934438986	0.00415750281430482	0.0285088053893605	NA	0	0.0387932902813284	0.0147998835968625	0.0269676266293222	0.0312138096852804	0.0136724176151144	0.0671774848452591	0.015592947601085	0.0129082502606076	0.0257875385271779	0.0160572687470221	0.0259712199814973	0.0494400416141939	0.0253330779139234	0.0021146777909939	0.0136260809971037	0.0106362645180395
OM3_C_8C	0.0714203657247715	0.0232480826180419	0.0144875973845185	0.0547559370875527	0.0416266398810664	0.0159201184585294	NA	0.0387932902813284	0	0.0240093592455525	0.0127514238256681	0.00804608821989796	0.0265388281317096	0.0711234221694649	0.0233154919201112	0.029326092150005	0.0145282879404504	0.0239680163494886	0.0276273881221291	0.0478941871880761	0.0352144976479729	0.0382166927789797	0.0322820090200004	0.028555902391022
OM3_C_8E	0.0671606441230774	0.00267431697325609	0.0103728264646194	0.0330764182394258	0.0178700968169766	0.0153614667568298	NA	0.0147998835968625	0.0240093592455525	0	0.0126651439219693	0.0164506737264418	0.00578636067162373	0.0656656014703209	0.00124238419047703	0.00908259558076649	0.0118931427551054	0.00442083623846784	0.0183820605748266	0.0446665581411701	0.022274137866388	0.014372475436708	0.0121762491874967	0.00529754870328034
