	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3E_1	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_3
OM3_B_B_1	0	0.00893667672605081	0.0092847487137146	0.00379255185541071	0.00195112361794805	0.0216376051587236	0.00266103491866649	0.00718914645943658	0.00363379892174047	0.00647919987066968	0.00914991384775725	0.00728884738092128	0.0059910396548032	0.0127511599988176	0.000303256272089121	0.00324626222331496	0.00349040094720149	0.0111576800990504	0.00712294332285634	0.0070208514935377	0.0337479321443911	0.0489145712352368	0.0393829683286857	0.00735769964792139	0.0175679057809378	0.0122669781792935	0.0168156819812176	0.00887791175022748	0.00111820782341738	0.0101587433562138	0.0135466704545394	0.0109288589983882	0.0102663304876224	0.0225496001887979	0.00903768410357003	0.00256740843142874	0.0247982855221267	0.0103926827728033	0.0187840212600326	0.0156164002327459	0.0148638526004069	0.0149539042658928	0.0101401756240246	0.00900627225396793	0.0223848654590936	0.00853675306612209	0.0130008978795909	0.0174618376893624	0.00448297954078087	0.00278432779671743	0.00434977027755353	0.00718581222160256	0.0110998548453497	0.00343241056953182	0.0170728778768435	0.00694091096195611
OM3_B_B_2	0.00893667672605081	0	0.00039345628675822	0.00696334387170395	0.00698753102856514	0.013124491885381	0.010956814561854	0.00257107319382636	0.0123223760841157	0.0025582246241141	0.00223148927356486	0.0160267130159324	0.014811453495263	0.00515403740026575	0.00908839248126767	0.00985217307979957	0.01219420915952	0.0200377227624024	0.00764213228991802	0.00602794624491274	0.0249970068378292	0.0404743448520698	0.0306432547518127	0.00236692315425091	0.0259917566439134	0.00343117510823352	0.0255022325478051	0.00426990704708503	0.00925529134017605	0.00149728337352745	0.00477429738158906	0.00265895692469292	0.00394315049902955	0.0314820804726603	0.0176092960625667	0.00804433694445684	0.033423967461151	0.002316294634813	0.00987740916620344	0.00676444310553708	0.0231782651703242	0.0237394358965775	0.00204223877779779	0.0175903248353154	0.0295583428399501	0.000758906676993148	0.0216158476513408	0.0261443520735067	0.0132450074250778	0.0113117391259591	0.00458748071519783	0.00175524804046193	0.00689140362978456	0.00698266942623173	0.00952749216912077	0.0140731772578728
OM3_B_B_3	0.0092847487137146	0.00039345628675822	0	0.00721191880229933	0.0073380413310614	0.0128819119838489	0.0113309672933049	0.0029565298365138	0.0126444362001914	0.00286259912103147	0.0020841753899721	0.0163963145839187	0.0151384077549809	0.00510591857858757	0.00943104536202406	0.0102406775318047	0.0125611229707345	0.0203682473673138	0.00773007725382826	0.00639135729526832	0.0247055140275503	0.0402194622641886	0.0303516335657776	0.00275055629437584	0.0262750120628905	0.00316376019837008	0.0258077471056227	0.00454736216784357	0.0096221621404688	0.00111128692951499	0.00451514903923193	0.0025866524302141	0.0040958345745682	0.0318256877508437	0.0179124723739522	0.00832863005994792	0.0337203675487728	0.00231532718657834	0.00955689834010989	0.00646969098722801	0.0234563479822513	0.024109328384626	0.00171551317576028	0.017966996109132	0.0297603124684028	0.00112219532904937	0.0219176877314348	0.0264491496050352	0.0135695638083004	0.0116297345406686	0.0049354122583153	0.00211895495769548	0.00709803248664637	0.00724713995695356	0.00942099808366278	0.0143166462984765
OM3_C_7A_1	0.00379255185541071	0.00696334387170395	0.00721191880229933	0	0.0029387893552774	0.0200865325207308	0.00645290601317416	0.00629872635340092	0.00598116843986988	0.00446647024943681	0.00633911960991584	0.0107528279366018	0.00845725703731559	0.0117467250928468	0.00370822425606303	0.00669896748266058	0.00713958111813347	0.0136393667312856	0.00340675632224223	0.00797013139583442	0.031871938648587	0.0474250935976083	0.0375138742701423	0.00637456726753489	0.0191183226183267	0.0103755625001688	0.018774726358194	0.00872256388742604	0.00479891425059887	0.00778623684855986	0.0117264167408488	0.009466019160852	0.009643832821034	0.0252081123353515	0.0108980401501479	0.00144701656902769	0.0266171977687884	0.00899607445160368	0.0166548888683961	0.0136560873238354	0.0162840158384841	0.0182133586453791	0.00750114195314827	0.0125500704408971	0.0226723551579836	0.0068696515103926	0.0148703919977783	0.0194091559428164	0.00690504626840423	0.0049567482828214	0.00328145643745911	0.005463328644347	0.0114699627481014	0.000379393959868164	0.0162185628065611	0.00711039557507114
OM3_C_7A_2	0.00195112361794805	0.00698753102856514	0.0073380413310614	0.0029387893552774	0	0.0197290322429023	0.0042211218006292	0.00528934653191168	0.00548368935572092	0.00455258975977395	0.0072985846205547	0.00914397236010569	0.00790811972746792	0.010893847681217	0.00212508857584519	0.00391208160472518	0.00530334035069138	0.0130985146447544	0.00630019667936742	0.00566793588151949	0.031816415177671	0.0470345842320215	0.037454226314063	0.00544866897328641	0.0193949620574279	0.0103177708881367	0.0187108620440425	0.00716597073829173	0.00242529633687951	0.00822807703557664	0.0116018336771256	0.0090007339658163	0.00846064880044609	0.0245000252432826	0.0108829945315012	0.0024497704430711	0.0266845214073968	0.00846781239169459	0.0168335684341302	0.013668334402992	0.0166543034830045	0.0168417500615125	0.00824345519001892	0.0108061453466238	0.0238977986497136	0.00658718505348476	0.014871205879658	0.019356602931963	0.0063718114798647	0.00453983243045196	0.00240310333003718	0.00523548492308188	0.0095925995450343	0.0025706412881882	0.0152661632488363	0.00825452765438577
OM3_C_7A_3	0.0216376051587236	0.013124491885381	0.0128819119838489	0.0200865325207308	0.0197290322429023	0	0.0231009166350761	0.0144494762753759	0.0252075827990327	0.0156548126927889	0.0141956229062336	0.0281008548713639	0.0276264390966004	0.0090068379408576	0.0218448334552939	0.0214822506972085	0.0244688764564028	0.0327632797197791	0.0202220161146701	0.0158391568470611	0.0122378647672499	0.0273668035746992	0.0178246405939967	0.0142831888217724	0.0390448099176302	0.00972361049768656	0.0384332443780012	0.0132058850230449	0.0216568251712193	0.0124642527020045	0.00837106850788989	0.0107491205035155	0.0115951130841918	0.0439214593087786	0.03058555819246	0.0211351252270835	0.0463976287549274	0.0112719249518976	0.004602852905135	0.0066067489414101	0.0362533652132653	0.0356161928452357	0.0129950879841853	0.0293761264027572	0.0425824501847838	0.0132903084199011	0.0345847177150566	0.039078539506504	0.0260992803936866	0.0242377555352162	0.0174555883394372	0.0147160927404395	0.0124517219947668	0.0201026225059944	0.00556647297943799	0.0271939832059922
OM3_C_7B_3	0.00266103491866649	0.010956814561854	0.0113309672933049	0.00645290601317416	0.0042211218006292	0.0231009166350761	0	0.00884551427349052	0.00374296700790797	0.00867577192913048	0.0114977458462255	0.00509023735329584	0.0052206121382359	0.0141000567060637	0.00276349428143383	0.0019790231584378	0.00139190846204048	0.00985262512986843	0.00975691380333785	0.00758684454909224	0.0353098458147696	0.0501717336340111	0.0409157323334016	0.0090417498819624	0.0168327231574234	0.0141127532368582	0.0157701928737932	0.00996111878108267	0.00179684663155535	0.0122995719484934	0.0153175966457179	0.0126076817026466	0.0115213162308947	0.0208322773087928	0.00845715550864018	0.00517862913644557	0.0237289021152068	0.0120634378096955	0.0206195104917486	0.0174124528059652	0.014313256173072	0.0127931793757707	0.012393307591073	0.00664235605778221	0.0224880934026436	0.0104445798572668	0.0121571631241268	0.0164103893213529	0.00415749772564509	0.00356386618587236	0.00650352538190148	0.00921477546572991	0.0116712794271677	0.00609340959611448	0.0181954268815477	0.00791417829845389
OM3_C_7C_1	0.00718914645943658	0.00257107319382636	0.0029565298365138	0.00629872635340092	0.00528934653191168	0.0144494762753759	0.00884551427349052	0	0.0107728192288529	0.00234693376915459	0.00434037836095576	0.0139326573425288	0.0131793684404991	0.00562898862995672	0.00739813171018624	0.00752335162968891	0.0101622363907847	0.0183300940632504	0.00810284325579724	0.0035356828276172	0.0265790982097343	0.0417499282356954	0.0322100455192012	0.000213177491214657	0.0246725321381262	0.00528726053048594	0.0239955363083564	0.0026008400770117	0.00726856363627263	0.0040672085774386	0.00647245427697104	0.00377428147575023	0.0033498051888879	0.029612786514013	0.0161701338937933	0.00699014047667394	0.0319708910378716	0.00323108912134071	0.0117762077746014	0.0085675584610614	0.021915814261259	0.0216149791093917	0.00455583077617877	0.0154018207600143	0.0288611852571285	0.00185000833991909	0.0201598321057582	0.0246413965069464	0.0116562817151588	0.00982171951397882	0.00315526565809124	0.00158116857125218	0.00548282804089555	0.00617765398309302	0.0100579740379559	0.0131860391487918
OM3_C_7C_2	0.00363379892174047	0.0123223760841157	0.0126444362001914	0.00598116843986988	0.00548368935572092	0.0252075827990327	0.00374296700790797	0.0107728192288529	0	0.00978475298747887	0.0121814429469693	0.00526542742384223	0.00250996055928081	0.0163664500015755	0.00339194307851174	0.00559121967041596	0.0030096337390075	0.00774496417518073	0.00850679816925105	0.0105479463742207	0.0372645461933694	0.0525118873029418	0.0429051692875994	0.0109317237707505	0.0139357529146524	0.0157191081023836	0.0132323500193082	0.0125089575154672	0.00401858514683954	0.013419718992746	0.0170279366801605	0.0144697101421671	0.0138966045252375	0.0192841970086334	0.00540791192729945	0.00456141892449179	0.021202828857661	0.0139407604904744	0.0221981022189177	0.0190708804430131	0.011233056512912	0.0123174348855118	0.0132777515923554	0.00710290911008114	0.0189574315185743	0.0120007378053065	0.00938815203699862	0.0138777599276969	0.000935166408737064	0.00103486942191593	0.00778361559327847	0.0106035457677139	0.014661156325618	0.00576008365421083	0.0207041911579985	0.00423053691468859
OM3_C_7C_3	0.00647919987066968	0.0025582246241141	0.00286259912103147	0.00446647024943681	0.00455258975977395	0.0156548126927889	0.00867577192913048	0.00234693376915459	0.00978475298747887	0	0.00291808962838975	0.0136838866817713	0.0122821709952733	0.00732600263183045	0.00660754222649316	0.00782473135943111	0.00983993209129664	0.0175150940158608	0.00578860527828888	0.00547554613934932	0.027554445216688	0.0430108559210533	0.0332003240547286	0.00231398309188968	0.0234363186352329	0.00598776505225867	0.0229478587467501	0.00494051273608336	0.00691579571533784	0.00367970356234859	0.00732623045761524	0.00500014302025891	0.00543961414374635	0.0289933646633673	0.0150532691625779	0.00549019124612818	0.0308671277218054	0.00453697528869771	0.0124192184833559	0.00932180880240483	0.0206254175011073	0.0213891203659003	0.00371818579281893	0.0153120107097129	0.0271287932359586	0.00240374222934212	0.0190595405126099	0.023589643654137	0.0107115061014753	0.00876817266624525	0.00217406459893214	0.00102472204830442	0.00782360743490444	0.00445372049551383	0.0117918482020107	0.011565977553862
