	OM3_B_B	OM3_C_7A	OM3_C_7B	OM3_C_7C	OM3_C_7G	OM3_C_7H	OM3_C_8A	OM3_C_8B	OM3_C_8C	OM3_C_8E	OM3_C_8F	OM3_C_9A	OM3_C_9C	OM3_C_9D	OM3_C_9E	OM3_C_9F	OM3_C_9G	OM3_C_9H	OM3_H_3C	OM3_H_3D	OM3_H_3E	OM3_H_3F	OM3_H_3G	OM3_H_3H
OM3_B_B	0	0.0162617108152354	0.0270889955932063	0.0205508356675989	0.0255613199317861	0.0228049808203247	0.0184819767615955	0.0212165484187676	0.0178052122762565	0.018322038603026	0.0212523482307355	0.0258761759632722	0.0300392242808419	0.0294689861410363	0.0241506496807417	0.0172879798599033	0.015863574790499	0.0234206047867536	0.0229638951838011	0.0201634655245264	0.0274680046053565	0.0261648628177944	0.022141891030644	0.0184336726752817
OM3_C_7A	0.0162617108152354	0	0.0216403859635752	0.0156587606995419	0.0203461303363989	0.0182352985226601	0.0182410662721565	0.0159585530452731	0.0164737784982915	0.0146376178030201	0.0174684025782304	0.0172593398990363	0.0246946278211176	0.0237489965202486	0.0183648119107723	0.0124085790076381	0.010820871936917	0.016441637526638	0.0155411296177338	0.0151703917376761	0.0188774764653834	0.0178017336456205	0.0164415817933119	0.0151648824967119
OM3_C_7B	0.0270889955932063	0.0216403859635752	0	0.0221739860976506	0.02814194944489	0.0235367044705	0.0262308873147895	0.025182727813673	0.0241524860500033	0.0234416124951624	0.0287597755508453	0.0300176197561359	0.0349167638900086	0.0335065434076267	0.0308232704331769	0.0217584122325614	0.0264873125911777	0.02655667098072	0.0231612996434903	0.0220942318363307	0.0269781275162345	0.02399160461655	0.0241393170256341	0.023957549144102
OM3_C_7C	0.0205508356675989	0.0156587606995419	0.0221739860976506	0	0.0216406796649292	0.0176701277163442	0.0214137457330516	0.019247824189376	0.0189263542874724	0.0182957081292567	0.0187007140494007	0.0170516748429348	0.0253260681472056	0.0252732865183928	0.0210910350817083	0.0144608710963235	0.01957316981511	0.0227409318693094	0.0180104915951443	0.0175602619864527	0.0223367465799654	0.0191349579137983	0.0202701491927155	0.0215487017778341
OM3_C_7G	0.0255613199317861	0.0203461303363989	0.02814194944489	0.0216406796649292	0	0.0222304676988826	0.026016737910175	0.0300857879373348	0.0247362923335014	0.0220282388439267	0.0190764300623615	0.0230700437706031	0.0245008701126235	0.0264175907846887	0.0214372741904564	0.0194284265412369	0.021560628031158	0.0205912490080668	0.0142790668406378	0.0175063843174363	0.0189809213245776	0.0184102646478857	0.0198063970020531	0.0231032710580182
OM3_C_7H	0.0228049808203247	0.0182352985226601	0.0235367044705	0.0176701277163442	0.0222304676988826	0	0.0239427225201678	0.0247382921272345	0.0216683312052251	0.018700661459486	0.0167204931605979	0.0184875265835327	0.0240463887019622	0.0191852472314999	0.0168002829385705	0.022135060266267	0.0207589039627835	0.0226136842669722	0.0198576993639548	0.0170028294469092	0.0230084716949468	0.0173835418214325	0.0237066414797491	0.0237427890384592
OM3_C_8A	0.0184819767615955	0.0182410662721565	0.0262308873147895	0.0214137457330516	0.026016737910175	0.0239427225201678	0	0.0255101743802538	0.026147895451272	0.0219919518502069	0.0211350282081249	0.0256275105887581	0.0280289129403843	0.0265844769726358	0.0222777357676404	0.0170731277263125	0.0212585783676691	0.0256459005734957	0.0216532244041349	0.0181489495722094	0.0222276052547327	0.0244754863831018	0.0202749810782382	0.0230062723888349
OM3_C_8B	0.0212165484187676	0.0159585530452731	0.025182727813673	0.019247824189376	0.0300857879373348	0.0247382921272345	0.0255101743802538	0	0.0186478534521908	0.022086166129291	0.0249145384291741	0.0207713941720982	0.0324885838821013	0.0308437463308264	0.0275829386462461	0.0211009135665369	0.0196881582715058	0.0268068179601038	0.0246230121786778	0.0226540532974497	0.0282739061743092	0.0246738719485078	0.0242018052712633	0.0229031726350905
OM3_C_8C	0.0178052122762565	0.0164737784982915	0.0241524860500033	0.0189263542874724	0.0247362923335014	0.0216683312052251	0.026147895451272	0.0186478534521908	0	0.0177087499019961	0.0214498714856241	0.0223273840457156	0.0272560674983153	0.0301216068151037	0.0270236958490528	0.0181071328671524	0.0168906014095743	0.0227999288255425	0.0228318683870083	0.0195529819554605	0.0264493714883449	0.0220778797818294	0.0231255196294012	0.0216132829150936
OM3_C_8E	0.018322038603026	0.0146376178030201	0.0234416124951624	0.0182957081292567	0.0220282388439267	0.018700661459486	0.0219919518502069	0.022086166129291	0.0177087499019961	0	0.0200716542479876	0.0233287672207258	0.0262071123336777	0.0283514100917231	0.0223335038423367	0.0136880895652771	0.0143504220271907	0.0200553125001334	0.0187208897873644	0.0139192317709951	0.0195317835838052	0.0190089616967534	0.020337924279028	0.0191226028280013
