C90L1_2	C90L2_2	C90L3_1	C90L4_1	C90L5_1	C90M1a_1	C90M1b_2	C90M1c_2	C90N1_2	C90N2_1	C90N3_2	C90N4_1	C90P1b_1	C90P1c_2	C90P1d_2	C90P1e_2	C90P1f_2	C90P1g_2	C90P1j_2	C90P1k_2	C90Ad1_1	C90Ad2a_2	C90Ad2b_2
269	338	399	158	281	1359	2460	2184	221	245	202	123	355	2667	0	1002	1905	1971	476	817	797	399	172
708	876	1322	648	779	4566	6952	6890	678	786	556	601	1147	10749	164	3830	7066	7139	840	3170	1803	1114	393
1369	1361	2170	1152	1288	6429	10006	9228	1743	2356	1759	1619	1744	18516	296	6707	11892	11273	588	5265	3009	2953	691
1150	886	1836	795	978	3841	4924	5259	4608	5015	3841	4452	1211	13871	903	5509	8973	8070	185	3830	2919	6211	812
1217	363	1752	675	732	2745	3215	4252	6765	7222	5455	7163	1117	9621	1408	4900	7298	3638	114	2966	3369	8217	823
696	276	838	352	325	1620	1669	2521	6178	6437	4978	6828	743	5042	1484	2509	2978	2358	106	1862	3156	6755	566
391	188	374	156	165	740	689	1331	3428	3326	2456	3723	377	2531	905	1116	1123	1305	73	1047	1835	2979	240
209	93	167	84	88	330	316	605	1196	1222	1066	1427	200	1155	311	614	440	523	0	484	699	1082	107
