C90L1_3	C90L2_3	C90L3_3	C90L4_3	C90L5_3	C90M1a_3	C90M1b_1	C90M1c_2	C90N1_3	C90N2_3	C90N3_3	C90N4_3	C90P1b_3	C90P1c_1	C90P1d_3	C90P1e_2	C90P1f_2	C90P1g_2	C90P1j_3	C90P1k_3	C90Ad1_2	C90Ad2a_3	C90Ad2b_2
545	217	964	659	810	794	407	551	1068	982	1002	783	502	360	339	516	617	482	204	828	555	809	238
1321	419	1308	915	1384	1742	976	1024	1244	1260	1181	963	961	845	481	767	825	1076	345	1728	673	1165	336
3149	940	2682	2078	3018	4078	2017	2110	3087	2955	3029	2371	2169	2213	1261	1615	1620	2472	818	4044	1732	2837	766
3122	992	4613	3855	5165	5296	2457	2492	4576	4836	4948	3758	3941	2816	1825	2752	2856	2706	1724	4739	2520	3447	1420
13025	3531	9728	6804	9057	16868	8165	7389	9590	10178	10308	7824	7434	8150	3356	5471	6080	10659	2288	16995	5557	11123	2304
12620	5209	23244	15825	20916	26733	12041	12810	24869	24785	26434	19406	19285	14380	8043	13788	15900	10083	5524	23397	13764	22007	5553
9284	4386	17928	12289	17118	21829	9653	10825	18563	18977	19773	14576	15318	10382	6259	10840	12312	8384	4360	18011	9621	15864	4181
4563	1529	6029	4095	5641	8571	3398	4584	13325	14326	14514	10286	4961	3668	4442	3862	3456	3265	1132	6682	6867	12233	1458
1047	107	983	586	747	1533	470	1128	4213	4636	4881	3219	797	762	1505	643	428	550	168	1182	2047	4112	275
